trial	deck	gain	loss	subjID	net
1	3	50	0	103	50
2	3	60	0	103	60
3	3	40	-50	103	-10
4	4	50	0	103	50
5	3	55	0	103	55
6	1	100	0	103	100
7	1	120	0	103	120
8	2	100	0	103	100
9	4	40	0	103	40
10	1	80	-150	103	-70
11	2	80	0	103	80
12	2	110	0	103	110
13	3	55	-50	103	5
14	1	90	0	103	90
15	2	120	0	103	120
16	3	45	0	103	45
17	2	90	0	103	90
18	1	110	-300	103	-190
19	2	100	0	103	100
20	1	100	0	103	100
21	1	80	-200	103	-120
22	1	120	0	103	120
23	1	110	-250	103	-140
24	1	90	-350	103	-260
25	2	90	0	103	90
26	1	110	0	103	110
27	1	130	-350	103	-220
28	1	90	0	103	90
29	1	100	-250	103	-150
30	4	45	0	103	45
31	3	50	-50	103	0
32	3	45	0	103	45
33	2	120	0	103	120
34	2	110	-1250	103	-1140
35	1	120	-200	103	-80
36	2	80	0	103	80
37	2	110	0	103	110
38	4	45	0	103	45
39	2	100	0	103	100
40	3	60	-50	103	10
41	2	90	0	103	90
42	3	40	-50	103	-10
43	2	130	-1500	103	-1370
44	1	110	0	103	110
45	1	90	-300	103	-210
46	2	120	0	103	120
47	2	130	0	103	130
48	2	110	0	103	110
49	3	55	0	103	55
50	2	90	0	103	90
51	2	100	0	103	100
52	1	130	-150	103	-20
53	1	120	-250	103	-130
54	2	120	0	103	120
55	4	55	0	103	55
56	4	60	0	103	60
57	4	40	0	103	40
58	4	55	0	103	55
59	3	55	-25	103	30
60	4	50	0	103	50
61	4	60	-250	103	-190
62	4	55	0	103	55
63	4	40	0	103	40
64	4	60	0	103	60
65	4	40	0	103	40
66	4	45	0	103	45
67	4	55	0	103	55
68	4	65	0	103	65
69	4	70	0	103	70
70	4	50	0	103	50
71	4	70	-275	103	-205
72	4	60	0	103	60
73	4	55	0	103	55
74	2	120	-1750	103	-1630
75	4	65	0	103	65
76	4	80	0	103	80
77	4	40	0	103	40
78	4	80	0	103	80
79	1	100	0	103	100
80	2	110	0	103	110
81	1	120	-250	103	-130
82	3	65	-75	103	-10
83	4	40	0	103	40
84	4	65	0	103	65
85	4	55	-300	103	-245
86	4	60	0	103	60
87	4	65	0	103	65
88	4	75	0	103	75
89	4	60	0	103	60
90	4	65	0	103	65
91	4	75	-325	103	-250
92	4	85	0	103	85
93	4	45	0	103	45
94	4	55	0	103	55
95	4	70	0	103	70
96	4	55	0	103	55
97	4	70	0	103	70
98	4	80	0	103	80
99	4	65	0	103	65
100	4	70	0	103	70
1	1	100	0	104	100
2	2	100	0	104	100
3	3	50	0	104	50
4	4	50	0	104	50
5	2	80	0	104	80
6	3	60	0	104	60
7	1	120	0	104	120
8	1	80	-150	104	-70
9	3	40	-50	104	-10
10	2	110	0	104	110
11	2	120	0	104	120
12	1	90	0	104	90
13	4	40	0	104	40
14	2	90	0	104	90
15	1	110	-300	104	-190
16	1	100	0	104	100
17	2	100	0	104	100
18	4	45	0	104	45
19	3	55	0	104	55
20	2	90	0	104	90
21	2	120	0	104	120
22	2	110	-1250	104	-1140
23	2	80	0	104	80
24	2	110	0	104	110
25	2	100	0	104	100
26	2	90	0	104	90
27	1	80	-200	104	-120
28	1	120	0	104	120
29	1	110	-250	104	-140
30	2	130	-1500	104	-1370
31	4	45	0	104	45
