trial	deck	gain	loss	subjID	net
1	3	50	0	105	50
2	3	60	0	105	60
3	3	40	-50	105	-10
4	1	100	0	105	100
5	3	55	0	105	55
6	4	50	0	105	50
7	1	120	0	105	120
8	1	80	-150	105	-70
9	3	55	-50	105	5
10	4	40	0	105	40
11	4	45	0	105	45
12	3	45	0	105	45
13	1	90	0	105	90
14	4	45	0	105	45
15	2	100	0	105	100
16	2	80	0	105	80
17	1	110	-300	105	-190
18	2	110	0	105	110
19	2	120	0	105	120
20	4	55	0	105	55
21	3	50	-50	105	0
22	4	60	0	105	60
23	2	90	0	105	90
24	2	100	0	105	100
25	4	40	0	105	40
26	1	100	0	105	100
27	2	90	0	105	90
28	2	120	0	105	120
29	4	55	0	105	55
30	1	80	-200	105	-120
31	2	110	-1250	105	-1140
32	4	50	0	105	50
33	4	60	-250	105	-190
34	2	80	0	105	80
35	1	120	0	105	120
36	2	110	0	105	110
37	2	100	0	105	100
38	1	110	-250	105	-140
39	2	90	0	105	90
40	4	55	0	105	55
41	4	40	0	105	40
42	2	130	-1500	105	-1370
43	4	60	0	105	60
44	4	40	0	105	40
45	2	120	0	105	120
46	1	90	-350	105	-260
47	2	130	0	105	130
48	4	45	0	105	45
49	2	110	0	105	110
50	2	90	0	105	90
51	4	55	0	105	55
52	2	100	0	105	100
53	2	120	0	105	120
54	2	120	-1750	105	-1630
55	4	65	0	105	65
56	3	45	0	105	45
57	4	70	0	105	70
58	3	60	-50	105	10
59	2	110	0	105	110
60	2	140	0	105	140
61	4	50	0	105	50
62	4	70	-275	105	-205
63	1	110	0	105	110
64	1	130	-350	105	-220
65	2	130	0	105	130
66	2	100	0	105	100
67	4	60	0	105	60
68	2	110	0	105	110
69	1	90	0	105	90
70	1	100	-250	105	-150
71	2	120	0	105	120
72	1	120	-200	105	-80
73	2	120	0	105	120
74	4	55	0	105	55
75	4	65	0	105	65
76	3	40	-50	105	-10
77	4	80	0	105	80
78	4	40	0	105	40
79	4	80	0	105	80
80	4	40	0	105	40
81	4	65	0	105	65
82	4	55	-300	105	-245
83	2	140	0	105	140
84	2	110	0	105	110
85	1	110	0	105	110
86	4	60	0	105	60
87	3	55	0	105	55
88	1	90	-300	105	-210
89	2	130	0	105	130
90	4	65	0	105	65
91	3	55	-25	105	30
92	4	75	0	105	75
93	2	140	-2000	105	-1860
94	4	60	0	105	60
95	2	120	0	105	120
96	4	65	0	105	65
97	4	75	-325	105	-250
98	1	130	-150	105	-20
99	2	110	0	105	110
100	2	130	0	105	130
1	2	100	0	111	100
2	3	50	0	111	50
3	2	80	0	111	80
4	1	100	0	111	100
5	1	120	0	111	120
6	4	50	0	111	50
7	3	60	0	111	60
8	3	40	-50	111	-10
9	2	110	0	111	110
10	1	80	-150	111	-70
11	4	40	0	111	40
12	3	55	0	111	55
13	3	55	-50	111	5
14	2	120	0	111	120
15	4	45	0	111	45
16	3	45	0	111	45
17	1	90	0	111	90
18	1	110	-300	111	-190
19	1	100	0	111	100
20	2	90	0	111	90
21	2	100	0	111	100
22	3	50	-50	111	0
23	4	45	0	111	45
24	4	55	0	111	55
25	4	60	0	111	60
26	2	90	0	111	90
27	3	45	0	111	45
28	1	80	-200	111	-120
29	1	120	0	111	120
30	4	40	0	111	40
31	2	120	0	111	120
32	2	110	-1250	111	-1140
33	3	60	-50	111	10
34	4	55	0	111	55
35	1	110	-250	111	-140
36	1	90	-350	111	-260
37	2	80	0	111	80
38	3	40	-50	111	-10
39	3	55	0	111	55
40	2	110	0	111	110
41	2	100	0	111	100
42	4	50	0	111	50
43	1	110	0	111	110
44	4	60	-250	111	-190
45	1	130	-350	111	-220
46	2	90	0	111	90
47	3	55	-25	111	30
48	2	130	-1500	111	-1370
49	3	65	-75	111	-10
50	4	55	0	111	55
51	4	40	0	111	40
52	1	90	0	111	90
53	2	120	0	111	120
54	2	130	0	111	130
55	1	100	-250	111	-150
56	1	120	-200	111	-80
57	2	110	0	111	110
58	3	45	0	111	45
59	4	60	0	111	60
60	2	90	0	111	90
61	3	70	-25	111	45
62	2	100	0	111	100
63	1	110	0	111	110
64	1	90	-300	111	-210
65	4	40	0	111	40
66	2	120	0	111	120
67	3	40	0	111	40
68	1	130	-150	111	-20
69	2	120	-1750	111	-1630
70	4	45	0	111	45
71	4	55	0	111	55
72	1	120	-250	111	-130
73	2	110	0	111	110
74	4	65	0	111	65
75	4	70	0	111	70
76	1	100	0	111	100
77	4	50	0	111	50
78	2	140	0	111	140
79	4	70	-275	111	-205
80	3	50	-25	111	25
81	2	130	0	111	130
82	1	120	-250	111	-130
83	3	60	-75	111	-15
84	4	60	0	111	60
85	2	100	0	111	100
86	2	110	0	111	110
87	1	140	-300	111	-160
88	4	55	0	111	55
89	3	70	0	111	70
90	1	110	0	111	110
91	2	120	0	111	120
92	4	65	0	111	65
93	3	40	-50	111	-10
94	2	120	0	111	120
95	1	110	-350	111	-240
96	4	80	0	111	80
97	3	60	0	111	60
98	4	40	0	111	40
99	2	140	0	111	140
100	3	65	-25	111	40
1	2	100	0	133	100
2	3	50	0	133	50
3	3	60	0	133	60
4	3	40	-50	133	-10
5	4	50	0	133	50
6	4	40	0	133	40
7	4	45	0	133	45
8	1	100	0	133	100
9	4	45	0	133	45
10	3	55	0	133	55
11	1	120	0	133	120
12	4	55	0	133	55
13	4	60	0	133	60
14	4	40	0	133	40
15	2	80	0	133	80
16	4	55	0	133	55
17	1	80	-150	133	-70
18	2	110	0	133	110
19	2	120	0	133	120
20	2	90	0	133	90
21	4	50	0	133	50
22	1	90	0	133	90
23	1	110	-300	133	-190
24	4	60	-250	133	-190
25	4	55	0	133	55
26	4	40	0	133	40
27	4	60	0	133	60
28	2	100	0	133	100
29	2	90	0	133	90
30	2	120	0	133	120
31	2	110	-1250	133	-1140
32	3	55	-50	133	5
33	1	100	0	133	100
34	1	80	-200	133	-120
35	2	80	0	133	80
36	4	40	0	133	40
37	4	45	0	133	45
38	4	55	0	133	55
39	2	110	0	133	110
40	2	100	0	133	100
41	3	45	0	133	45
42	3	50	-50	133	0
43	4	65	0	133	65
44	4	70	0	133	70
45	4	50	0	133	50
46	4	70	-275	133	-205
47	3	45	0	133	45
48	3	60	-50	133	10
49	1	120	0	133	120
50	2	90	0	133	90
51	2	130	-1500	133	-1370
52	1	110	-250	133	-140
53	1	90	-350	133	-260
54	1	110	0	133	110
55	1	130	-350	133	-220
56	1	90	0	133	90
57	1	100	-250	133	-150
58	1	120	-200	133	-80
59	2	120	0	133	120
60	2	130	0	133	130
61	4	60	0	133	60
62	4	55	0	133	55
63	4	65	0	133	65
64	4	80	0	133	80
65	4	40	0	133	40
66	4	80	0	133	80
67	4	40	0	133	40
68	3	40	-50	133	-10
69	4	65	0	133	65
70	4	55	-300	133	-245
71	1	110	0	133	110
72	1	90	-300	133	-210
73	1	130	-150	133	-20
74	1	120	-250	133	-130
75	4	60	0	133	60
76	4	65	0	133	65
77	3	55	0	133	55
78	2	110	0	133	110
79	3	55	-25	133	30
80	3	65	-75	133	-10
81	3	45	0	133	45
82	3	70	-25	133	45
83	3	40	0	133	40
84	3	50	-25	133	25
85	3	60	-75	133	-15
86	2	90	0	133	90
87	2	100	0	133	100
88	2	120	0	133	120
89	2	120	-1750	133	-1630
90	3	70	0	133	70
91	3	40	-50	133	-10
92	4	75	0	133	75
93	4	60	0	133	60
94	2	110	0	133	110
95	4	65	0	133	65
96	2	140	0	133	140
97	4	75	-325	133	-250
98	2	130	0	133	130
99	3	60	0	133	60
100	3	65	-25	133	40
1	3	50	0	134	50
2	4	50	0	134	50
3	3	60	0	134	60
4	2	100	0	134	100
5	1	100	0	134	100
6	2	80	0	134	80
7	1	120	0	134	120
8	2	110	0	134	110
9	1	80	-150	134	-70
10	3	40	-50	134	-10
11	4	40	0	134	40
12	4	45	0	134	45
13	4	45	0	134	45
14	4	55	0	134	55
15	1	90	0	134	90
16	4	60	0	134	60
17	4	40	0	134	40
18	2	120	0	134	120
19	2	90	0	134	90
20	4	55	0	134	55
21	1	110	-300	134	-190
22	2	100	0	134	100
23	3	55	0	134	55
24	3	55	-50	134	5
25	4	50	0	134	50
26	4	60	-250	134	-190
27	1	100	0	134	100
28	1	80	-200	134	-120
29	4	55	0	134	55
30	4	40	0	134	40
31	3	45	0	134	45
32	3	50	-50	134	0
33	4	60	0	134	60
34	4	40	0	134	40
35	1	120	0	134	120
36	1	110	-250	134	-140
37	3	45	0	134	45
38	4	45	0	134	45
39	2	90	0	134	90
40	2	120	0	134	120
41	2	110	-1250	134	-1140
42	3	60	-50	134	10
43	2	80	0	134	80
44	2	110	0	134	110
45	4	55	0	134	55
46	4	65	0	134	65
47	3	40	-50	134	-10
48	1	90	-350	134	-260
49	4	70	0	134	70
50	4	50	0	134	50
51	4	70	-275	134	-205
52	3	55	0	134	55
53	3	55	-25	134	30
54	2	100	0	134	100
55	2	90	0	134	90
56	4	60	0	134	60
57	2	130	-1500	134	-1370
58	3	65	-75	134	-10
59	4	55	0	134	55
60	1	110	0	134	110
61	2	120	0	134	120
62	4	65	0	134	65
63	3	45	0	134	45
64	3	70	-25	134	45
65	2	130	0	134	130
66	2	110	0	134	110
67	2	90	0	134	90
68	4	80	0	134	80
69	3	40	0	134	40
70	1	130	-350	134	-220
71	2	100	0	134	100
72	2	120	0	134	120
73	3	50	-25	134	25
74	4	40	0	134	40
75	4	80	0	134	80
76	2	120	-1750	134	-1630
77	4	40	0	134	40
78	3	60	-75	134	-15
79	4	65	0	134	65
80	4	55	-300	134	-245
81	3	70	0	134	70
82	3	40	-50	134	-10
83	3	60	0	134	60
84	3	65	-25	134	40
85	4	60	0	134	60
86	4	65	0	134	65
87	4	75	0	134	75
88	4	60	0	134	60
89	4	65	0	134	65
90	1	90	0	134	90
91	1	100	-250	134	-150
92	2	110	0	134	110
93	1	120	-200	134	-80
94	2	140	0	134	140
95	4	75	-325	134	-250
96	4	85	0	134	85
97	4	45	0	134	45
98	3	55	0	134	55
99	2	130	0	134	130
100	2	100	0	134	100
1	2	100	0	136	100
2	3	50	0	136	50
3	1	100	0	136	100
4	3	60	0	136	60
5	3	40	-50	136	-10
6	4	50	0	136	50
7	1	120	0	136	120
8	1	80	-150	136	-70
9	3	55	0	136	55
10	2	80	0	136	80
11	2	110	0	136	110
12	4	40	0	136	40
13	3	55	-50	136	5
14	1	90	0	136	90
15	4	45	0	136	45
16	4	45	0	136	45
17	3	45	0	136	45
18	4	55	0	136	55
19	1	110	-300	136	-190
20	1	100	0	136	100
21	1	80	-200	136	-120
22	3	50	-50	136	0
23	1	120	0	136	120
24	4	60	0	136	60
25	4	40	0	136	40
26	2	120	0	136	120
27	1	110	-250	136	-140
28	1	90	-350	136	-260
29	4	55	0	136	55
30	3	45	0	136	45
31	4	50	0	136	50
32	2	90	0	136	90
33	4	60	-250	136	-190
34	1	110	0	136	110
35	3	60	-50	136	10
36	2	100	0	136	100
37	2	90	0	136	90
38	4	55	0	136	55
39	2	120	0	136	120
40	1	130	-350	136	-220
41	2	110	-1250	136	-1140
42	1	90	0	136	90
43	1	100	-250	136	-150
44	4	40	0	136	40
45	1	120	-200	136	-80
46	3	40	-50	136	-10
47	2	80	0	136	80
48	2	110	0	136	110
49	1	110	0	136	110
50	4	60	0	136	60
51	3	55	0	136	55
52	4	40	0	136	40
53	2	100	0	136	100
54	2	90	0	136	90
55	1	90	-300	136	-210
56	1	130	-150	136	-20
57	3	55	-25	136	30
58	4	45	0	136	45
59	1	120	-250	136	-130
60	1	100	0	136	100
61	1	120	-250	136	-130
62	3	65	-75	136	-10
63	2	130	-1500	136	-1370
64	1	140	-300	136	-160
65	1	110	0	136	110
66	1	110	-350	136	-240
67	4	55	0	136	55
68	3	45	0	136	45
69	2	120	0	136	120
70	4	65	0	136	65
71	1	100	0	136	100
72	2	130	0	136	130
73	3	70	-25	136	45
74	4	70	0	136	70
75	4	50	0	136	50
76	1	120	-200	136	-80
77	2	110	0	136	110
78	3	40	0	136	40
79	4	70	-275	136	-205
80	1	130	-250	136	-120
81	2	90	0	136	90
82	3	50	-25	136	25
83	2	100	0	136	100
84	4	60	0	136	60
85	1	110	-150	136	-40
86	4	55	0	136	55
87	2	120	0	136	120
88	3	60	-75	136	-15
89	1	140	-250	136	-110
90	4	65	0	136	65
91	1	120	0	136	120
92	4	80	0	136	80
93	3	70	0	136	70
94	2	120	-1750	136	-1630
95	4	40	0	136	40
96	1	130	-350	136	-220
97	1	120	-200	136	-80
98	1	140	-250	136	-110
99	1	130	-250	136	-120
100	3	40	-50	136	-10
1	2	100	0	138	100
2	3	50	0	138	50
3	1	100	0	138	100
4	4	50	0	138	50
5	1	120	0	138	120
6	4	40	0	138	40
7	2	80	0	138	80
8	2	110	0	138	110
9	1	80	-150	138	-70
10	3	60	0	138	60
11	4	45	0	138	45
12	1	90	0	138	90
13	2	120	0	138	120
14	4	45	0	138	45
15	2	90	0	138	90
16	2	100	0	138	100
17	1	110	-300	138	-190
18	3	40	-50	138	-10
19	2	90	0	138	90
20	4	55	0	138	55
21	1	100	0	138	100
22	3	55	0	138	55
23	2	120	0	138	120
24	4	60	0	138	60
25	1	80	-200	138	-120
26	2	110	-1250	138	-1140
27	3	55	-50	138	5
28	2	80	0	138	80
29	1	120	0	138	120
30	3	45	0	138	45
31	4	40	0	138	40
32	1	110	-250	138	-140
33	3	50	-50	138	0
34	4	55	0	138	55
35	2	110	0	138	110
36	3	45	0	138	45
37	1	90	-350	138	-260
38	3	60	-50	138	10
39	2	100	0	138	100
40	2	90	0	138	90
41	1	110	0	138	110
42	1	130	-350	138	-220
43	3	40	-50	138	-10
44	4	50	0	138	50
45	3	55	0	138	55
46	1	90	0	138	90
47	2	130	-1500	138	-1370
48	3	55	-25	138	30
49	2	120	0	138	120
50	1	100	-250	138	-150
51	3	65	-75	138	-10
52	2	130	0	138	130
53	1	120	-200	138	-80
54	4	60	-250	138	-190
55	2	110	0	138	110
56	3	45	0	138	45
57	1	110	0	138	110
58	4	55	0	138	55
59	2	90	0	138	90
60	3	70	-25	138	45
61	1	90	-300	138	-210
62	2	100	0	138	100
63	3	40	0	138	40
64	4	40	0	138	40
65	2	120	0	138	120
66	3	50	-25	138	25
67	2	120	-1750	138	-1630
68	2	110	0	138	110
69	1	130	-150	138	-20
70	2	140	0	138	140
71	3	60	-75	138	-15
72	2	130	0	138	130
73	4	60	0	138	60
74	1	120	-250	138	-130
75	2	100	0	138	100
76	1	100	0	138	100
77	3	70	0	138	70
78	4	40	0	138	40
79	2	110	0	138	110
80	1	120	-250	138	-130
81	2	120	0	138	120
82	3	40	-50	138	-10
83	4	45	0	138	45
84	2	120	0	138	120
85	3	60	0	138	60
86	2	140	0	138	140
87	4	55	0	138	55
88	2	110	0	138	110
89	3	65	-25	138	40
90	1	140	-300	138	-160
91	2	130	0	138	130
92	3	55	0	138	55
93	4	65	0	138	65
94	2	140	-2000	138	-1860
95	3	80	-50	138	30
96	2	120	0	138	120
97	4	70	0	138	70
98	2	110	0	138	110
99	3	40	-25	138	15
100	2	130	0	138	130
1	1	100	0	147	100
2	2	100	0	147	100
3	3	50	0	147	50
4	4	50	0	147	50
5	2	80	0	147	80
6	2	110	0	147	110
