"trial","deckA","deckB","deckC","deckD","wins","losses","subjID","deck","net"
1,1,0,0,0,100,-300,"01",1,-200
2,1,0,0,0,100,-200,"01",1,-100
3,0,0,0,1,50,-250,"01",4,-200
4,0,1,0,0,100,0,"01",2,100
5,0,1,0,0,100,0,"01",2,100
6,0,1,0,0,100,0,"01",2,100
7,0,1,0,0,100,0,"01",2,100
8,0,1,0,0,100,-1250,"01",2,-1150
9,0,1,0,0,100,0,"01",2,100
10,0,1,0,0,100,0,"01",2,100
11,0,1,0,0,100,0,"01",2,100
12,0,1,0,0,100,0,"01",2,100
13,0,1,0,0,100,0,"01",2,100
14,0,1,0,0,100,0,"01",2,100
15,0,1,0,0,100,0,"01",2,100
16,0,0,1,0,50,-50,"01",3,0
17,0,1,0,0,100,0,"01",2,100
18,0,1,0,0,100,0,"01",2,100
19,0,1,0,0,100,0,"01",2,100
20,0,1,0,0,100,-1250,"01",2,-1150
21,0,1,0,0,100,0,"01",2,100
22,0,1,0,0,100,0,"01",2,100
23,0,1,0,0,100,0,"01",2,100
24,0,1,0,0,100,0,"01",2,100
25,0,1,0,0,100,0,"01",2,100
26,0,1,0,0,100,0,"01",2,100
27,0,1,0,0,100,0,"01",2,100
28,1,0,0,0,100,0,"01",1,100
29,1,0,0,0,100,-350,"01",1,-250
30,0,1,0,0,100,0,"01",2,100
31,0,1,0,0,100,0,"01",2,100
32,0,0,0,1,50,0,"01",4,50
33,0,1,0,0,100,0,"01",2,100
34,0,0,1,0,50,0,"01",3,50
35,0,1,0,0,100,0,"01",2,100
36,1,0,0,0,100,-250,"01",1,-150
37,0,1,0,0,100,-1250,"01",2,-1150
38,0,0,0,1,50,0,"01",4,50
39,0,1,0,0,100,0,"01",2,100
40,0,1,0,0,100,0,"01",2,100
41,1,0,0,0,100,0,"01",1,100
42,0,0,1,0,50,-50,"01",3,0
43,0,1,0,0,100,0,"01",2,100
44,1,0,0,0,100,0,"01",1,100
45,0,1,0,0,100,0,"01",2,100
46,1,0,0,0,100,0,"01",1,100
47,0,1,0,0,100,0,"01",2,100
48,1,0,0,0,100,0,"01",1,100
49,0,1,0,0,100,0,"01",2,100
50,1,0,0,0,100,-150,"01",1,-50
51,0,1,0,0,100,0,"01",2,100
52,1,0,0,0,100,0,"01",1,100
53,0,1,0,0,100,0,"01",2,100
54,1,0,0,0,100,-150,"01",1,-50
55,0,1,0,0,100,-1250,"01",2,-1150
56,1,0,0,0,100,0,"01",1,100
57,0,1,0,0,100,0,"01",2,100
58,1,0,0,0,100,-350,"01",1,-250
59,0,0,0,1,50,0,"01",4,50
60,1,0,0,0,100,-200,"01",1,-100
61,0,1,0,0,100,0,"01",2,100
62,0,1,0,0,100,0,"01",2,100
63,0,1,0,0,100,0,"01",2,100
64,0,1,0,0,100,0,"01",2,100
65,0,1,0,0,100,0,"01",2,100
66,0,1,0,0,100,-1250,"01",2,-1150
67,1,0,0,0,100,0,"01",1,100
68,0,1,0,0,100,0,"01",2,100
69,1,0,0,0,100,-250,"01",1,-150
70,0,0,1,0,50,-50,"01",3,0
71,0,0,0,1,50,0,"01",4,50
72,0,0,1,0,50,0,"01",3,50
73,0,1,0,0,100,0,"01",2,100
74,0,0,0,1,50,0,"01",4,50
75,1,0,0,0,100,0,"01",1,100
76,0,0,1,0,50,-50,"01",3,0
77,0,1,0,0,100,0,"01",2,100
78,0,1,0,0,100,0,"01",2,100
79,1,0,0,0,100,0,"01",1,100
80,0,0,0,1,50,0,"01",4,50
81,0,0,1,0,50,0,"01",3,50
82,0,0,1,0,50,-50,"01",3,0
83,0,1,0,0,100,0,"01",2,100
84,1,0,0,0,100,-300,"01",1,-200
85,0,1,0,0,100,0,"01",2,100
86,0,1,0,0,100,-1250,"01",2,-1150
87,1,0,0,0,100,-250,"01",1,-150
88,0,1,0,0,100,0,"01",2,100
