trial,deck,gain,loss,net,trial_type,date,data_set,population,information_level,deckN,subjID
1,A,100,0.0,100.0,ahn-control-high,2025-01-06 22:40:02,ahn,control,high,1,1
2,A,100,0.0,100.0,ahn-control-high,2025-01-06 22:40:02,ahn,control,high,1,1
3,A,100,-250.0,-150.0,ahn-control-high,2025-01-06 22:40:03,ahn,control,high,1,1
4,B,100,0.0,100.0,ahn-control-high,2025-01-06 22:40:04,ahn,control,high,2,1
5,B,100,0.0,100.0,ahn-control-high,2025-01-06 22:40:04,ahn,control,high,2,1
6,B,100,0.0,100.0,ahn-control-high,2025-01-06 22:40:05,ahn,control,high,2,1
7,B,100,0.0,100.0,ahn-control-high,2025-01-06 22:40:05,ahn,control,high,2,1
8,B,100,0.0,100.0,ahn-control-high,2025-01-06 22:40:06,ahn,control,high,2,1
9,C,50,-50.0,0.0,ahn-control-high,2025-01-06 22:40:06,ahn,control,high,3,1
10,B,100,-1250.0,-1150.0,ahn-control-high,2025-01-06 22:40:07,ahn,control,high,2,1
11,C,50,-45.0,5.0,ahn-control-high,2025-01-06 22:40:07,ahn,control,high,3,1
12,C,50,-45.0,5.0,ahn-control-high,2025-01-06 22:40:08,ahn,control,high,3,1
13,D,50,0.0,50.0,ahn-control-high,2025-01-06 22:40:08,ahn,control,high,4,1
14,D,50,0.0,50.0,ahn-control-high,2025-01-06 22:40:09,ahn,control,high,4,1
15,D,50,0.0,50.0,ahn-control-high,2025-01-06 22:40:10,ahn,control,high,4,1
16,D,50,-225.0,-175.0,ahn-control-high,2025-01-06 22:40:10,ahn,control,high,4,1
17,C,50,-45.0,5.0,ahn-control-high,2025-01-06 22:40:23,ahn,control,high,3,1
18,C,50,0.0,50.0,ahn-control-high,2025-01-06 22:40:24,ahn,control,high,3,1
19,C,50,-45.0,5.0,ahn-control-high,2025-01-06 22:40:25,ahn,control,high,3,1
20,D,50,0.0,50.0,ahn-control-high,2025-01-06 22:40:25,ahn,control,high,4,1
21,D,50,0.0,50.0,ahn-control-high,2025-01-06 22:40:26,ahn,control,high,4,1
22,D,50,0.0,50.0,ahn-control-high,2025-01-06 22:40:26,ahn,control,high,4,1
23,D,50,0.0,50.0,ahn-control-high,2025-01-06 22:40:27,ahn,control,high,4,1
24,D,50,0.0,50.0,ahn-control-high,2025-01-06 22:40:27,ahn,control,high,4,1
25,D,50,0.0,50.0,ahn-control-high,2025-01-06 22:40:28,ahn,control,high,4,1
26,D,50,-200.0,-150.0,ahn-control-high,2025-01-06 22:40:28,ahn,control,high,4,1
27,B,100,0.0,100.0,ahn-control-high,2025-01-06 22:40:29,ahn,control,high,2,1
28,B,100,0.0,100.0,ahn-control-high,2025-01-06 22:40:29,ahn,control,high,2,1
