trial,deck,gain,loss,net,trial_type,agentN,data_set,population,information_level,deckN
1,A,100,-250.0,-150.0,ahn-addict-high,Agent_1,ahn,addict,high,1
2,B,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,2
3,B,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,2
4,B,100,-1250.0,-1150.0,ahn-addict-high,Agent_1,ahn,addict,high,2
5,A,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,1
6,A,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,1
7,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
8,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
9,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
10,C,50,-50.0,0.0,ahn-addict-high,Agent_1,ahn,addict,high,3
11,C,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,3
12,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
13,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
14,A,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,1
15,A,100,-280.0,-180.0,ahn-addict-high,Agent_1,ahn,addict,high,1
16,B,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,2
17,B,100,-1400.0,-1300.0,ahn-addict-high,Agent_1,ahn,addict,high,2
18,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
19,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
20,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
21,C,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,3
22,A,100,-310.0,-210.0,ahn-addict-high,Agent_1,ahn,addict,high,1
23,B,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,2
24,B,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,2
25,B,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,2
26,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
27,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
28,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
29,A,100,-310.0,-210.0,ahn-addict-high,Agent_1,ahn,addict,high,1
30,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
31,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
32,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
33,A,100,-340.0,-240.0,ahn-addict-high,Agent_1,ahn,addict,high,1
34,B,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,2
35,B,100,-1700.0,-1600.0,ahn-addict-high,Agent_1,ahn,addict,high,2
36,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
37,D,50,-175.0,-125.0,ahn-addict-high,Agent_1,ahn,addict,high,4
38,A,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,1
39,A,100,-340.0,-240.0,ahn-addict-high,Agent_1,ahn,addict,high,1
40,B,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,2
41,B,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,2
42,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
43,D,50,-150.0,-100.0,ahn-addict-high,Agent_1,ahn,addict,high,4
44,A,100,-370.0,-270.0,ahn-addict-high,Agent_1,ahn,addict,high,1
45,B,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,2
46,B,100,0.0,100.0,ahn-addict-high,Agent_1,ahn,addict,high,2
47,D,50,0.0,50.0,ahn-addict-high,Agent_1,ahn,addict,high,4
