trial,deck,gain,loss,net,trial_type,date,data_set,population,information_level,deckN,subjID
1,A,100,-250.0,-150.0,ahn-addict-high,2024-12-21 12:11:56,ahn,addict,high,1,1
2,B,100,0.0,100.0,ahn-addict-high,2024-12-21 12:11:56,ahn,addict,high,2,1
3,B,100,0.0,100.0,ahn-addict-high,2024-12-21 12:11:58,ahn,addict,high,2,1
4,B,100,-1250.0,-1150.0,ahn-addict-high,2024-12-21 12:11:59,ahn,addict,high,2,1
5,A,100,0.0,100.0,ahn-addict-high,2024-12-21 12:11:59,ahn,addict,high,1,1
6,A,100,0.0,100.0,ahn-addict-high,2024-12-21 12:12:01,ahn,addict,high,1,1
7,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:02,ahn,addict,high,4,1
8,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:02,ahn,addict,high,4,1
9,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:03,ahn,addict,high,4,1
10,C,50,-50.0,0.0,ahn-addict-high,2024-12-21 12:12:05,ahn,addict,high,3,1
11,C,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:06,ahn,addict,high,3,1
12,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:07,ahn,addict,high,4,1
13,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:07,ahn,addict,high,4,1
14,A,100,0.0,100.0,ahn-addict-high,2024-12-21 12:12:08,ahn,addict,high,1,1
15,A,100,-280.0,-180.0,ahn-addict-high,2024-12-21 12:12:08,ahn,addict,high,1,1
16,B,100,0.0,100.0,ahn-addict-high,2024-12-21 12:12:09,ahn,addict,high,2,1
17,B,100,-1400.0,-1300.0,ahn-addict-high,2024-12-21 12:12:14,ahn,addict,high,2,1
18,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:14,ahn,addict,high,4,1
19,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:16,ahn,addict,high,4,1
20,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:18,ahn,addict,high,4,1
21,C,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:20,ahn,addict,high,3,1
22,A,100,-310.0,-210.0,ahn-addict-high,2024-12-21 12:12:20,ahn,addict,high,1,1
23,B,100,0.0,100.0,ahn-addict-high,2024-12-21 12:12:21,ahn,addict,high,2,1
24,B,100,0.0,100.0,ahn-addict-high,2024-12-21 12:12:21,ahn,addict,high,2,1
25,B,100,0.0,100.0,ahn-addict-high,2024-12-21 12:12:22,ahn,addict,high,2,1
26,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:23,ahn,addict,high,4,1
27,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:24,ahn,addict,high,4,1
28,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:24,ahn,addict,high,4,1
29,A,100,-310.0,-210.0,ahn-addict-high,2024-12-21 12:12:25,ahn,addict,high,1,1
30,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:25,ahn,addict,high,4,1
31,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:26,ahn,addict,high,4,1
32,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:26,ahn,addict,high,4,1
33,A,100,-340.0,-240.0,ahn-addict-high,2024-12-21 12:12:27,ahn,addict,high,1,1
34,B,100,0.0,100.0,ahn-addict-high,2024-12-21 12:12:28,ahn,addict,high,2,1
35,B,100,-1700.0,-1600.0,ahn-addict-high,2024-12-21 12:12:36,ahn,addict,high,2,1
36,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:38,ahn,addict,high,4,1
37,D,50,-175.0,-125.0,ahn-addict-high,2024-12-21 12:12:38,ahn,addict,high,4,1
38,A,100,0.0,100.0,ahn-addict-high,2024-12-21 12:12:39,ahn,addict,high,1,1
39,A,100,-340.0,-240.0,ahn-addict-high,2024-12-21 12:12:39,ahn,addict,high,1,1
40,B,100,0.0,100.0,ahn-addict-high,2024-12-21 12:12:40,ahn,addict,high,2,1
41,B,100,0.0,100.0,ahn-addict-high,2024-12-21 12:12:40,ahn,addict,high,2,1
42,D,50,0.0,50.0,ahn-addict-high,2024-12-21 12:12:41,ahn,addict,high,4,1
