trial,deck,gain,loss,net,trial_type,date,data_set,population,information_level,deckN,subjID
1,A,100,0.0,100.0,ahn-addict-low,2024-12-21 13:38:51,ahn,addict,low,1,1
2,A,100,-250.0,-150.0,ahn-addict-low,2024-12-21 13:38:51,ahn,addict,low,1,1
3,B,100,0.0,100.0,ahn-addict-low,2024-12-21 13:38:52,ahn,addict,low,2,1
4,B,100,-1250.0,-1150.0,ahn-addict-low,2024-12-21 13:38:52,ahn,addict,low,2,1
5,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:38:53,ahn,addict,low,3,1
6,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:38:53,ahn,addict,low,3,1
7,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:38:54,ahn,addict,low,3,1
8,C,50,-50.0,0.0,ahn-addict-low,2024-12-21 13:38:55,ahn,addict,low,3,1
9,D,50,-250.0,-200.0,ahn-addict-low,2024-12-21 13:38:55,ahn,addict,low,4,1
10,C,50,-50.0,0.0,ahn-addict-low,2024-12-21 13:38:56,ahn,addict,low,3,1
11,C,50,-45.0,5.0,ahn-addict-low,2024-12-21 13:38:56,ahn,addict,low,3,1
12,C,50,-45.0,5.0,ahn-addict-low,2024-12-21 13:38:57,ahn,addict,low,3,1
13,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:38:57,ahn,addict,low,3,1
14,C,50,-45.0,5.0,ahn-addict-low,2024-12-21 13:38:58,ahn,addict,low,3,1
15,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:38:59,ahn,addict,low,3,1
16,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:39:02,ahn,addict,low,3,1
17,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:39:04,ahn,addict,low,3,1
18,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:39:04,ahn,addict,low,3,1
19,C,50,-45.0,5.0,ahn-addict-low,2024-12-21 13:39:05,ahn,addict,low,3,1
20,C,50,-45.0,5.0,ahn-addict-low,2024-12-21 13:39:05,ahn,addict,low,3,1
21,C,50,-40.0,10.0,ahn-addict-low,2024-12-21 13:39:06,ahn,addict,low,3,1
22,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:39:06,ahn,addict,low,3,1
23,C,50,-40.0,10.0,ahn-addict-low,2024-12-21 13:39:07,ahn,addict,low,3,1
24,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:39:08,ahn,addict,low,3,1
25,C,50,-40.0,10.0,ahn-addict-low,2024-12-21 13:39:08,ahn,addict,low,3,1
26,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:39:09,ahn,addict,low,3,1
27,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:39:09,ahn,addict,low,3,1
28,C,50,-40.0,10.0,ahn-addict-low,2024-12-21 13:39:10,ahn,addict,low,3,1
29,C,50,-40.0,10.0,ahn-addict-low,2024-12-21 13:39:11,ahn,addict,low,3,1
30,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:39:13,ahn,addict,low,3,1
31,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:39:13,ahn,addict,low,3,1
32,C,50,-35.0,15.0,ahn-addict-low,2024-12-21 13:39:16,ahn,addict,low,3,1
33,C,50,-35.0,15.0,ahn-addict-low,2024-12-21 13:39:17,ahn,addict,low,3,1
34,C,50,0.0,50.0,ahn-addict-low,2024-12-21 13:39:19,ahn,addict,low,3,1
35,C,50,-35.0,15.0,ahn-addict-low,2024-12-21 13:39:19,ahn,addict,low,3,1
36,C,50,-35.0,15.0,ahn-addict-low,2024-12-21 13:39:21,ahn,addict,low,3,1
