trial,deck,gain,loss,net,trial_type,agentN,data_set,population,information_level,deckN
1,A,100,0.0,100.0,ahn-addict-low,Agent_1,ahn,addict,low,1
2,A,100,-250.0,-150.0,ahn-addict-low,Agent_1,ahn,addict,low,1
3,B,100,0.0,100.0,ahn-addict-low,Agent_1,ahn,addict,low,2
4,B,100,-1250.0,-1150.0,ahn-addict-low,Agent_1,ahn,addict,low,2
5,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
6,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
7,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
8,C,50,-50.0,0.0,ahn-addict-low,Agent_1,ahn,addict,low,3
9,D,50,-250.0,-200.0,ahn-addict-low,Agent_1,ahn,addict,low,4
10,C,50,-50.0,0.0,ahn-addict-low,Agent_1,ahn,addict,low,3
11,C,50,-45.0,5.0,ahn-addict-low,Agent_1,ahn,addict,low,3
12,C,50,-45.0,5.0,ahn-addict-low,Agent_1,ahn,addict,low,3
13,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
14,C,50,-45.0,5.0,ahn-addict-low,Agent_1,ahn,addict,low,3
15,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
16,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
17,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
18,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
19,C,50,-45.0,5.0,ahn-addict-low,Agent_1,ahn,addict,low,3
20,C,50,-45.0,5.0,ahn-addict-low,Agent_1,ahn,addict,low,3
21,C,50,-40.0,10.0,ahn-addict-low,Agent_1,ahn,addict,low,3
22,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
23,C,50,-40.0,10.0,ahn-addict-low,Agent_1,ahn,addict,low,3
24,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
25,C,50,-40.0,10.0,ahn-addict-low,Agent_1,ahn,addict,low,3
26,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
27,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
28,C,50,-40.0,10.0,ahn-addict-low,Agent_1,ahn,addict,low,3
29,C,50,-40.0,10.0,ahn-addict-low,Agent_1,ahn,addict,low,3
30,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
31,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
32,C,50,-35.0,15.0,ahn-addict-low,Agent_1,ahn,addict,low,3
33,C,50,-35.0,15.0,ahn-addict-low,Agent_1,ahn,addict,low,3
34,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
35,C,50,-35.0,15.0,ahn-addict-low,Agent_1,ahn,addict,low,3
36,C,50,-35.0,15.0,ahn-addict-low,Agent_1,ahn,addict,low,3
37,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
38,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
39,C,50,-35.0,15.0,ahn-addict-low,Agent_1,ahn,addict,low,3
40,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
41,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
42,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
43,C,50,-30.0,20.0,ahn-addict-low,Agent_1,ahn,addict,low,3
44,C,50,-30.0,20.0,ahn-addict-low,Agent_1,ahn,addict,low,3
45,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
46,C,50,-30.0,20.0,ahn-addict-low,Agent_1,ahn,addict,low,3
47,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
48,C,50,-30.0,20.0,ahn-addict-low,Agent_1,ahn,addict,low,3
49,C,50,-30.0,20.0,ahn-addict-low,Agent_1,ahn,addict,low,3
50,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
51,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
52,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
53,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
54,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
55,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
56,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
57,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
58,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
59,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
60,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
61,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
62,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
63,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
64,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
65,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
66,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
67,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
68,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
69,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
70,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
71,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
72,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
73,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
74,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
75,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
76,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
77,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
78,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
79,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
80,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
81,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
82,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
83,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
84,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
85,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
86,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
87,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
88,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
89,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
90,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
91,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
92,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
93,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
94,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
95,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
96,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
97,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
98,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
99,C,50,-25.0,25.0,ahn-addict-low,Agent_1,ahn,addict,low,3
100,C,50,0.0,50.0,ahn-addict-low,Agent_1,ahn,addict,low,3
1,A,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,1
2,A,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,1
3,A,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,1
4,A,100,-250.0,-150.0,ahn-addict-low,Agent_2,ahn,addict,low,1
5,B,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,2
6,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
7,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
8,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
9,C,50,-50.0,0.0,ahn-addict-low,Agent_2,ahn,addict,low,3
10,C,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,3
11,A,100,-280.0,-180.0,ahn-addict-low,Agent_2,ahn,addict,low,1
12,B,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,2
13,B,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,2
14,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
15,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
16,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
17,B,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,2
18,B,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,2
19,B,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,2
20,A,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,1
21,A,100,-310.0,-210.0,ahn-addict-low,Agent_2,ahn,addict,low,1
22,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
23,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
24,C,50,-40.0,10.0,ahn-addict-low,Agent_2,ahn,addict,low,3
25,C,50,-40.0,10.0,ahn-addict-low,Agent_2,ahn,addict,low,3
26,B,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,2
27,B,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,2
28,B,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,2
29,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
30,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
31,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
32,A,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,1
33,A,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,1
34,A,100,-340.0,-240.0,ahn-addict-low,Agent_2,ahn,addict,low,1
35,B,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,2
36,B,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,2
37,B,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,2
38,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
39,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
40,C,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,3
41,C,50,-30.0,20.0,ahn-addict-low,Agent_2,ahn,addict,low,3
42,C,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,3
43,B,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,2
44,B,100,0.0,100.0,ahn-addict-low,Agent_2,ahn,addict,low,2
45,B,100,-1850.0,-1750.0,ahn-addict-low,Agent_2,ahn,addict,low,2
46,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
47,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
48,D,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,4
49,A,100,-370.0,-270.0,ahn-addict-low,Agent_2,ahn,addict,low,1
50,C,50,0.0,50.0,ahn-addict-low,Agent_2,ahn,addict,low,3
