trial,deck,gain,loss,net,trial_type,date,data_set,population,information_level,deckN,subjID
1,A,100,0.0,100.0,ahn-control-high,2024-12-20 13:31:01,ahn,control,high,1,1
2,A,100,0.0,100.0,ahn-control-high,2024-12-20 13:31:02,ahn,control,high,1,1
3,A,100,-250.0,-150.0,ahn-control-high,2024-12-20 13:31:02,ahn,control,high,1,1
4,B,100,0.0,100.0,ahn-control-high,2024-12-20 13:31:03,ahn,control,high,2,1
5,B,100,-1250.0,-1150.0,ahn-control-high,2024-12-20 13:31:04,ahn,control,high,2,1
6,C,50,-50.0,0.0,ahn-control-high,2024-12-20 13:31:06,ahn,control,high,3,1
7,C,50,-50.0,0.0,ahn-control-high,2024-12-20 13:31:08,ahn,control,high,3,1
8,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:09,ahn,control,high,4,1
9,D,50,-250.0,-200.0,ahn-control-high,2024-12-20 13:31:10,ahn,control,high,4,1
10,C,50,-50.0,0.0,ahn-control-high,2024-12-20 13:31:10,ahn,control,high,3,1
11,C,50,-45.0,5.0,ahn-control-high,2024-12-20 13:31:11,ahn,control,high,3,1
12,C,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:12,ahn,control,high,3,1
13,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:14,ahn,control,high,4,1
14,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:14,ahn,control,high,4,1
15,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:15,ahn,control,high,4,1
16,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:15,ahn,control,high,4,1
17,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:16,ahn,control,high,4,1
18,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:17,ahn,control,high,4,1
19,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:20,ahn,control,high,4,1
20,D,50,-225.0,-175.0,ahn-control-high,2024-12-20 13:31:21,ahn,control,high,4,1
21,C,50,-40.0,10.0,ahn-control-high,2024-12-20 13:31:22,ahn,control,high,3,1
22,C,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:23,ahn,control,high,3,1
23,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:23,ahn,control,high,4,1
24,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:24,ahn,control,high,4,1
25,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:25,ahn,control,high,4,1
26,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:26,ahn,control,high,4,1
27,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:27,ahn,control,high,4,1
28,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:27,ahn,control,high,4,1
29,D,50,-200.0,-150.0,ahn-control-high,2024-12-20 13:31:28,ahn,control,high,4,1
30,C,50,-40.0,10.0,ahn-control-high,2024-12-20 13:31:31,ahn,control,high,3,1
31,C,50,-35.0,15.0,ahn-control-high,2024-12-20 13:31:31,ahn,control,high,3,1
32,C,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:33,ahn,control,high,3,1
33,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:33,ahn,control,high,4,1
34,D,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:34,ahn,control,high,4,1
35,D,50,-175.0,-125.0,ahn-control-high,2024-12-20 13:31:34,ahn,control,high,4,1
36,C,50,-35.0,15.0,ahn-control-high,2024-12-20 13:31:35,ahn,control,high,3,1
37,C,50,0.0,50.0,ahn-control-high,2024-12-20 13:31:35,ahn,control,high,3,1
