trial,deck,gain,loss,net,trial_type,agentN,data_set,population,information_level,deckN
1,A,100,-250.0,-150.0,ahn-control-low,Agent_1,ahn,control,low,1
2,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
3,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
4,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
5,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
6,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
7,C,50,0.0,50.0,ahn-control-low,Agent_1,ahn,control,low,3
8,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
9,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
10,B,100,-1250.0,-1150.0,ahn-control-low,Agent_1,ahn,control,low,2
11,C,50,0.0,50.0,ahn-control-low,Agent_1,ahn,control,low,3
12,D,50,0.0,50.0,ahn-control-low,Agent_1,ahn,control,low,4
13,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
14,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
15,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
16,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
17,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
18,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
19,B,100,-1400.0,-1300.0,ahn-control-low,Agent_1,ahn,control,low,2
20,C,50,0.0,50.0,ahn-control-low,Agent_1,ahn,control,low,3
21,B,100,-1550.0,-1450.0,ahn-control-low,Agent_1,ahn,control,low,2
22,D,50,0.0,50.0,ahn-control-low,Agent_1,ahn,control,low,4
23,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
24,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
25,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
26,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
27,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
28,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
29,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
30,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
31,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
32,B,100,-1700.0,-1600.0,ahn-control-low,Agent_1,ahn,control,low,2
33,C,50,-35.0,15.0,ahn-control-low,Agent_1,ahn,control,low,3
34,D,50,0.0,50.0,ahn-control-low,Agent_1,ahn,control,low,4
35,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
36,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
37,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
38,B,100,0.0,100.0,ahn-control-low,Agent_1,ahn,control,low,2
