trial,deck,gain,loss,net,trial_type,agentN,data_set,population,information_level,deckN
1,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
2,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
3,B,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,2
4,B,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,2
5,B,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,2
6,B,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,2
7,B,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,2
8,B,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,2
9,C,50,0.0,50.0,wetzels-addict-high,Agent_1,wetzels,addict,high,3
10,D,50,0.0,50.0,wetzels-addict-high,Agent_1,wetzels,addict,high,4
11,D,50,0.0,50.0,wetzels-addict-high,Agent_1,wetzels,addict,high,4
12,D,50,0.0,50.0,wetzels-addict-high,Agent_1,wetzels,addict,high,4
13,C,50,0.0,50.0,wetzels-addict-high,Agent_1,wetzels,addict,high,3
14,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
15,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
16,B,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,2
17,B,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,2
18,B,100,-1250.0,-1150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,2
19,D,50,0.0,50.0,wetzels-addict-high,Agent_1,wetzels,addict,high,4
20,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
21,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
22,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
23,C,50,-50.0,0.0,wetzels-addict-high,Agent_1,wetzels,addict,high,3
24,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
25,D,50,0.0,50.0,wetzels-addict-high,Agent_1,wetzels,addict,high,4
26,D,50,0.0,50.0,wetzels-addict-high,Agent_1,wetzels,addict,high,4
27,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
28,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
29,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
30,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
31,B,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,2
32,B,100,-1250.0,-1150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,2
33,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
34,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
35,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
36,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
37,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
38,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
39,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
40,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
41,D,50,0.0,50.0,wetzels-addict-high,Agent_1,wetzels,addict,high,4
42,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
43,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
44,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
45,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
46,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
47,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
48,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
49,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
50,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
51,A,100,0.0,100.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
52,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
53,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,wetzels,addict,high,1
