trial,deck,gain,loss,net,trial_type,agentN,data_set,population,information_level,deckN
1,A,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,1
2,A,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,1
3,A,100,-250.0,-150.0,wetzels-addict-low,Agent_1,wetzels,addict,low,1
4,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
5,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
6,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
7,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
8,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
9,D,50,0.0,50.0,wetzels-addict-low,Agent_1,wetzels,addict,low,4
10,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
11,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
12,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
13,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
14,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
15,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
16,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
17,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
18,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
19,C,50,-50.0,0.0,wetzels-addict-low,Agent_1,wetzels,addict,low,3
20,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
21,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
22,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
23,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
24,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
25,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
26,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
27,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
28,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
29,D,50,0.0,50.0,wetzels-addict-low,Agent_1,wetzels,addict,low,4
30,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
31,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
32,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
33,A,100,-250.0,-150.0,wetzels-addict-low,Agent_1,wetzels,addict,low,1
34,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
35,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
36,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
37,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
38,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
39,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
40,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
41,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
42,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
43,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
44,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
45,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
46,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
47,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
48,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
49,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
50,D,50,0.0,50.0,wetzels-addict-low,Agent_1,wetzels,addict,low,4
51,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
52,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
53,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
54,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
55,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
56,A,100,-250.0,-150.0,wetzels-addict-low,Agent_1,wetzels,addict,low,1
57,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
58,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
59,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
60,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
61,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
62,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
63,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
64,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
65,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
66,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
67,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
68,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
69,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
70,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
71,C,50,-50.0,0.0,wetzels-addict-low,Agent_1,wetzels,addict,low,3
72,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
73,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
74,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
75,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
76,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
77,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
78,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
79,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
80,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
81,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
82,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
83,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
84,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
85,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
86,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
87,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
88,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
89,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
90,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
91,A,100,-250.0,-150.0,wetzels-addict-low,Agent_1,wetzels,addict,low,1
92,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
93,D,50,0.0,50.0,wetzels-addict-low,Agent_1,wetzels,addict,low,4
94,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
95,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
96,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
97,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
98,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
99,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
100,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
101,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
102,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
103,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
104,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
105,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
106,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
107,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
108,C,50,-50.0,0.0,wetzels-addict-low,Agent_1,wetzels,addict,low,3
109,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
110,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
111,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
112,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
113,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
114,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
115,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
116,D,50,0.0,50.0,wetzels-addict-low,Agent_1,wetzels,addict,low,4
117,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
118,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
119,B,100,0.0,100.0,wetzels-addict-low,Agent_1,wetzels,addict,low,2
