trial,deck,gain,loss,net,trial_type,agentN,data_set,population,information_level,deckN
1,A,100,0.0,100.0,wetzels-control-high,Agent_1,wetzels,control,high,1
2,A,100,-250.0,-150.0,wetzels-control-high,Agent_1,wetzels,control,high,1
3,B,100,-1250.0,-1150.0,wetzels-control-high,Agent_1,wetzels,control,high,2
4,C,50,-50.0,0.0,wetzels-control-high,Agent_1,wetzels,control,high,3
5,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
6,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
7,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
8,D,50,-250.0,-200.0,wetzels-control-high,Agent_1,wetzels,control,high,4
9,C,50,-50.0,0.0,wetzels-control-high,Agent_1,wetzels,control,high,3
10,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
11,D,50,-250.0,-200.0,wetzels-control-high,Agent_1,wetzels,control,high,4
12,A,100,0.0,100.0,wetzels-control-high,Agent_1,wetzels,control,high,1
13,A,100,-250.0,-150.0,wetzels-control-high,Agent_1,wetzels,control,high,1
14,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
15,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
16,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
17,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
18,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
19,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
20,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
21,D,50,-250.0,-200.0,wetzels-control-high,Agent_1,wetzels,control,high,4
22,C,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,3
23,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
24,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
25,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
26,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
27,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
28,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
29,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
30,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
31,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
32,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
33,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
34,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
35,D,50,0.0,50.0,wetzels-control-high,Agent_1,wetzels,control,high,4
