trial,deck,gain,loss,net,trial_type,agentN,data_set,population,information_level,deckN
1,A,100,-250.0,-150.0,wetzels-control-low,Agent_1,wetzels,control,low,1
2,B,100,0.0,100.0,wetzels-control-low,Agent_1,wetzels,control,low,2
3,B,100,-1250.0,-1150.0,wetzels-control-low,Agent_1,wetzels,control,low,2
4,C,50,-50.0,0.0,wetzels-control-low,Agent_1,wetzels,control,low,3
5,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
6,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
7,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
8,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
9,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
10,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
11,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
12,D,50,-250.0,-200.0,wetzels-control-low,Agent_1,wetzels,control,low,4
13,C,50,-50.0,0.0,wetzels-control-low,Agent_1,wetzels,control,low,3
14,A,100,-250.0,-150.0,wetzels-control-low,Agent_1,wetzels,control,low,1
15,B,100,0.0,100.0,wetzels-control-low,Agent_1,wetzels,control,low,2
16,B,100,-1250.0,-1150.0,wetzels-control-low,Agent_1,wetzels,control,low,2
17,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
18,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
19,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
20,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
21,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
22,D,50,-250.0,-200.0,wetzels-control-low,Agent_1,wetzels,control,low,4
23,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
24,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
25,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
26,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
27,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
28,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
29,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
30,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
31,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
32,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
33,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
34,D,50,0.0,50.0,wetzels-control-low,Agent_1,wetzels,control,low,4
35,D,50,-250.0,-200.0,wetzels-control-low,Agent_1,wetzels,control,low,4
