trial,deck,gain,loss,net,trial_type,date,data_set,population,information_level,deckN,subjID
1,A,100,-250.0,-150.0,wetzels-control-low,2024-12-20 18:05:14,wetzels,control,low,1,1
2,B,100,0.0,100.0,wetzels-control-low,2024-12-20 18:05:14,wetzels,control,low,2,1
3,B,100,-1250.0,-1150.0,wetzels-control-low,2024-12-20 18:05:14,wetzels,control,low,2,1
4,C,50,-50.0,0.0,wetzels-control-low,2024-12-20 18:05:14,wetzels,control,low,3,1
5,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:15,wetzels,control,low,4,1
6,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:17,wetzels,control,low,4,1
7,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:19,wetzels,control,low,4,1
8,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:20,wetzels,control,low,4,1
9,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:25,wetzels,control,low,4,1
10,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:26,wetzels,control,low,4,1
11,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:31,wetzels,control,low,4,1
12,D,50,-250.0,-200.0,wetzels-control-low,2024-12-20 18:05:31,wetzels,control,low,4,1
13,C,50,-50.0,0.0,wetzels-control-low,2024-12-20 18:05:32,wetzels,control,low,3,1
14,A,100,-250.0,-150.0,wetzels-control-low,2024-12-20 18:05:34,wetzels,control,low,1,1
15,B,100,0.0,100.0,wetzels-control-low,2024-12-20 18:05:34,wetzels,control,low,2,1
16,B,100,-1250.0,-1150.0,wetzels-control-low,2024-12-20 18:05:36,wetzels,control,low,2,1
17,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:37,wetzels,control,low,4,1
18,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:37,wetzels,control,low,4,1
19,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:38,wetzels,control,low,4,1
20,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:40,wetzels,control,low,4,1
21,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:44,wetzels,control,low,4,1
22,D,50,-250.0,-200.0,wetzels-control-low,2024-12-20 18:05:44,wetzels,control,low,4,1
23,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:45,wetzels,control,low,4,1
24,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:47,wetzels,control,low,4,1
25,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:48,wetzels,control,low,4,1
26,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:48,wetzels,control,low,4,1
27,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:49,wetzels,control,low,4,1
28,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:50,wetzels,control,low,4,1
29,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:50,wetzels,control,low,4,1
30,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:52,wetzels,control,low,4,1
31,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:53,wetzels,control,low,4,1
32,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:53,wetzels,control,low,4,1
33,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:54,wetzels,control,low,4,1
34,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:55,wetzels,control,low,4,1
35,D,50,-250.0,-200.0,wetzels-control-low,2024-12-20 18:05:56,wetzels,control,low,4,1
36,B,100,0.0,100.0,wetzels-control-low,2024-12-20 18:05:56,wetzels,control,low,2,1
37,B,100,-1250.0,-1150.0,wetzels-control-low,2024-12-20 18:05:57,wetzels,control,low,2,1
38,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:58,wetzels,control,low,4,1
39,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:59,wetzels,control,low,4,1
40,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:05:59,wetzels,control,low,4,1
41,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:01,wetzels,control,low,4,1
42,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:02,wetzels,control,low,4,1
43,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:02,wetzels,control,low,4,1
44,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:06,wetzels,control,low,4,1
45,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:06,wetzels,control,low,4,1
46,D,50,-250.0,-200.0,wetzels-control-low,2024-12-20 18:06:07,wetzels,control,low,4,1
47,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:08,wetzels,control,low,4,1
48,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:09,wetzels,control,low,4,1
49,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:10,wetzels,control,low,4,1
50,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:11,wetzels,control,low,4,1
51,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:11,wetzels,control,low,4,1
52,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:12,wetzels,control,low,4,1
53,D,50,-250.0,-200.0,wetzels-control-low,2024-12-20 18:06:15,wetzels,control,low,4,1
54,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:16,wetzels,control,low,4,1
55,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:17,wetzels,control,low,4,1
56,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:17,wetzels,control,low,4,1
57,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:18,wetzels,control,low,4,1
58,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:19,wetzels,control,low,4,1
59,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:20,wetzels,control,low,4,1
60,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:21,wetzels,control,low,4,1
61,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:22,wetzels,control,low,4,1
62,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:23,wetzels,control,low,4,1
63,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:25,wetzels,control,low,4,1
64,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:27,wetzels,control,low,4,1
65,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:28,wetzels,control,low,4,1
66,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:29,wetzels,control,low,4,1
67,D,50,-250.0,-200.0,wetzels-control-low,2024-12-20 18:06:29,wetzels,control,low,4,1
68,B,100,0.0,100.0,wetzels-control-low,2024-12-20 18:06:32,wetzels,control,low,2,1
69,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:35,wetzels,control,low,4,1
70,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:37,wetzels,control,low,4,1
71,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:38,wetzels,control,low,4,1
72,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:39,wetzels,control,low,4,1
73,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:39,wetzels,control,low,4,1
74,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:40,wetzels,control,low,4,1
75,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:41,wetzels,control,low,4,1
76,D,50,-250.0,-200.0,wetzels-control-low,2024-12-20 18:06:41,wetzels,control,low,4,1
77,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:42,wetzels,control,low,4,1
78,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:45,wetzels,control,low,4,1
79,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:48,wetzels,control,low,4,1
80,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:48,wetzels,control,low,4,1
81,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:49,wetzels,control,low,4,1
82,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:51,wetzels,control,low,4,1
83,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:51,wetzels,control,low,4,1
84,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:52,wetzels,control,low,4,1
85,D,50,-250.0,-200.0,wetzels-control-low,2024-12-20 18:06:52,wetzels,control,low,4,1
86,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:53,wetzels,control,low,4,1
87,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:54,wetzels,control,low,4,1
88,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:56,wetzels,control,low,4,1
89,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:56,wetzels,control,low,4,1
90,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:57,wetzels,control,low,4,1
91,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:57,wetzels,control,low,4,1
92,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:58,wetzels,control,low,4,1
93,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:06:58,wetzels,control,low,4,1
94,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:00,wetzels,control,low,4,1
95,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:00,wetzels,control,low,4,1
96,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:01,wetzels,control,low,4,1
97,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:01,wetzels,control,low,4,1
98,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:02,wetzels,control,low,4,1
99,D,50,-250.0,-200.0,wetzels-control-low,2024-12-20 18:07:02,wetzels,control,low,4,1
100,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:03,wetzels,control,low,4,1
101,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:03,wetzels,control,low,4,1
102,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:04,wetzels,control,low,4,1
103,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:06,wetzels,control,low,4,1
104,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:07,wetzels,control,low,4,1
105,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:07,wetzels,control,low,4,1
106,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:08,wetzels,control,low,4,1
107,D,50,-250.0,-200.0,wetzels-control-low,2024-12-20 18:07:09,wetzels,control,low,4,1
108,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:10,wetzels,control,low,4,1
109,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:11,wetzels,control,low,4,1
110,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:12,wetzels,control,low,4,1
111,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:12,wetzels,control,low,4,1
112,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:13,wetzels,control,low,4,1
113,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:13,wetzels,control,low,4,1
114,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:14,wetzels,control,low,4,1
115,D,50,-250.0,-200.0,wetzels-control-low,2024-12-20 18:07:18,wetzels,control,low,4,1
116,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:18,wetzels,control,low,4,1
117,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:20,wetzels,control,low,4,1
118,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:21,wetzels,control,low,4,1
119,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:21,wetzels,control,low,4,1
120,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:22,wetzels,control,low,4,1
121,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:23,wetzels,control,low,4,1
122,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:24,wetzels,control,low,4,1
123,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:26,wetzels,control,low,4,1
124,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:27,wetzels,control,low,4,1
125,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:28,wetzels,control,low,4,1
126,D,50,-250.0,-200.0,wetzels-control-low,2024-12-20 18:07:30,wetzels,control,low,4,1
127,D,50,0.0,50.0,wetzels-control-low,2024-12-20 18:07:30,wetzels,control,low,4,1
