trial,deck,gain,loss,net,trial_type,agentN,date
1,A,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:02
2,A,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:02
3,A,100,-250.0,-150.0,ahn-control-high,Agent_1,2025-01-06 22:40:03
4,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:04
5,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:04
6,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:05
7,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:05
8,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:06
9,C,50,-50.0,0.0,ahn-control-high,Agent_1,2025-01-06 22:40:06
10,B,100,-1250.0,-1150.0,ahn-control-high,Agent_1,2025-01-06 22:40:07
11,C,50,-45.0,5.0,ahn-control-high,Agent_1,2025-01-06 22:40:07
12,C,50,-45.0,5.0,ahn-control-high,Agent_1,2025-01-06 22:40:08
13,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:08
14,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:09
15,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:10
16,D,50,-225.0,-175.0,ahn-control-high,Agent_1,2025-01-06 22:40:10
17,C,50,-45.0,5.0,ahn-control-high,Agent_1,2025-01-06 22:40:23
18,C,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:24
19,C,50,-45.0,5.0,ahn-control-high,Agent_1,2025-01-06 22:40:25
20,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:25
21,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:26
22,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:26
23,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:27
24,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:27
25,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:28
26,D,50,-200.0,-150.0,ahn-control-high,Agent_1,2025-01-06 22:40:28
27,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:29
28,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:29
29,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:30
30,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:31
31,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:31
32,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:32
33,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:32
34,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:33
35,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:34
36,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:40:34
37,B,100,-1700.0,-1600.0,ahn-control-high,Agent_1,2025-01-06 22:40:35
38,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:36
39,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:36
40,D,50,-175.0,-125.0,ahn-control-high,Agent_1,2025-01-06 22:40:37
41,C,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:37
42,C,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:39
43,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:39
44,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:40
45,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:41
46,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:41
47,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:42
48,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:42
49,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:43
50,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:43
51,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:44
52,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:45
53,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:45
54,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:46
55,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:47
56,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:47
57,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:48
58,D,50,-125.0,-75.0,ahn-control-high,Agent_1,2025-01-06 22:40:48
59,C,50,-25.0,25.0,ahn-control-high,Agent_1,2025-01-06 22:40:49
60,C,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:50
61,C,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:50
62,C,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:51
63,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:51
64,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:52
65,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:53
66,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:53
67,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:54
68,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:54
69,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:55
70,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:55
71,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:56
72,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:56
73,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:57
74,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:58
75,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:58
76,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:59
77,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:40:59
78,D,50,-125.0,-75.0,ahn-control-high,Agent_1,2025-01-06 22:41:01
79,C,50,-25.0,25.0,ahn-control-high,Agent_1,2025-01-06 22:41:02
80,C,50,-25.0,25.0,ahn-control-high,Agent_1,2025-01-06 22:41:02
81,C,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:41:03
82,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:41:03
83,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:41:04
84,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:41:04
85,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:41:05
86,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:41:05
87,D,50,-125.0,-75.0,ahn-control-high,Agent_1,2025-01-06 22:41:06
88,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:41:06
89,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:41:07
90,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:41:07
91,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:41:08
92,B,100,0.0,100.0,ahn-control-high,Agent_1,2025-01-06 22:41:08
93,B,100,-2000.0,-1900.0,ahn-control-high,Agent_1,2025-01-06 22:41:09
94,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:41:09
95,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:41:10
96,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:41:11
97,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:41:11
98,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:41:12
99,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:41:12
100,D,50,0.0,50.0,ahn-control-high,Agent_1,2025-01-06 22:41:13
1,A,100,0.0,100.0,ahn-control-high,Agent_2,2025-01-06 22:41:13
2,A,100,0.0,100.0,ahn-control-high,Agent_2,2025-01-06 22:41:13
3,A,100,-250.0,-150.0,ahn-control-high,Agent_2,2025-01-06 22:41:14
4,B,100,0.0,100.0,ahn-control-high,Agent_2,2025-01-06 22:41:14
5,B,100,0.0,100.0,ahn-control-high,Agent_2,2025-01-06 22:41:14
6,B,100,0.0,100.0,ahn-control-high,Agent_2,2025-01-06 22:41:14
7,B,100,0.0,100.0,ahn-control-high,Agent_2,2025-01-06 22:41:14
8,B,100,-1250.0,-1150.0,ahn-control-high,Agent_2,2025-01-06 22:41:14
9,C,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:14
10,C,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:15
11,C,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:16
12,C,50,-45.0,5.0,ahn-control-high,Agent_2,2025-01-06 22:41:30
13,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:31
14,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:31
15,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:32
16,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:46
17,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:46
18,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:47
19,D,50,-225.0,-175.0,ahn-control-high,Agent_2,2025-01-06 22:41:47
20,C,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:48
21,C,50,-40.0,10.0,ahn-control-high,Agent_2,2025-01-06 22:41:48
22,D,50,-200.0,-150.0,ahn-control-high,Agent_2,2025-01-06 22:41:49
23,C,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:50
24,C,50,-40.0,10.0,ahn-control-high,Agent_2,2025-01-06 22:41:50
25,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:51
26,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:51
27,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:52
28,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:52
29,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:53
30,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:53
31,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:54
32,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:54
33,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:55
34,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:55
35,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:56
36,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:41:57
37,D,50,-175.0,-125.0,ahn-control-high,Agent_2,2025-01-06 22:41:58
38,B,100,0.0,100.0,ahn-control-high,Agent_2,2025-01-06 22:41:59
39,B,100,0.0,100.0,ahn-control-high,Agent_2,2025-01-06 22:42:00
40,B,100,0.0,100.0,ahn-control-high,Agent_2,2025-01-06 22:42:00
41,B,100,0.0,100.0,ahn-control-high,Agent_2,2025-01-06 22:42:02
42,B,100,0.0,100.0,ahn-control-high,Agent_2,2025-01-06 22:42:03
43,B,100,0.0,100.0,ahn-control-high,Agent_2,2025-01-06 22:42:03
44,B,100,-1850.0,-1750.0,ahn-control-high,Agent_2,2025-01-06 22:42:04
45,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:05
46,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:05
47,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:06
48,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:06
49,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:07
50,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:08
51,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:08
52,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:09
53,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:10
54,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:11
55,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:11
56,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:12
57,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:12
58,D,50,-125.0,-75.0,ahn-control-high,Agent_2,2025-01-06 22:42:13
59,C,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:14
60,C,50,-25.0,25.0,ahn-control-high,Agent_2,2025-01-06 22:42:14
61,C,50,-25.0,25.0,ahn-control-high,Agent_2,2025-01-06 22:42:15
62,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:16
63,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:17
64,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:18
65,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:18
66,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:19
67,D,50,-125.0,-75.0,ahn-control-high,Agent_2,2025-01-06 22:42:19
68,C,50,-25.0,25.0,ahn-control-high,Agent_2,2025-01-06 22:42:20
69,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:20
70,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:21
71,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:22
72,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:22
73,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:23
74,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:24
75,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:24
76,D,50,-125.0,-75.0,ahn-control-high,Agent_2,2025-01-06 22:42:25
77,B,100,0.0,100.0,ahn-control-high,Agent_2,2025-01-06 22:42:25
78,B,100,-2000.0,-1900.0,ahn-control-high,Agent_2,2025-01-06 22:42:26
79,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:26
80,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:27
81,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:27
82,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:28
83,D,50,-125.0,-75.0,ahn-control-high,Agent_2,2025-01-06 22:42:29
84,C,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:29
85,C,50,-25.0,25.0,ahn-control-high,Agent_2,2025-01-06 22:42:30
86,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:30
87,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:31
88,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:32
89,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:32
90,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:33
91,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:33
92,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:34
93,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:34
94,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:35
95,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:35
96,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:36
97,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:37
98,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:38
99,D,50,0.0,50.0,ahn-control-high,Agent_2,2025-01-06 22:42:39
100,D,50,-125.0,-75.0,ahn-control-high,Agent_2,2025-01-06 22:42:39
1,A,100,-250.0,-150.0,ahn-control-high,Agent_3,2025-01-06 22:42:40
2,B,100,-1250.0,-1150.0,ahn-control-high,Agent_3,2025-01-06 22:42:40
3,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:42:41
4,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:42:42
5,C,50,-50.0,0.0,ahn-control-high,Agent_3,2025-01-06 22:42:42
6,D,50,-250.0,-200.0,ahn-control-high,Agent_3,2025-01-06 22:42:43
7,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:42:44
8,C,50,-50.0,0.0,ahn-control-high,Agent_3,2025-01-06 22:42:45
9,C,50,-50.0,0.0,ahn-control-high,Agent_3,2025-01-06 22:42:46
10,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:42:47
11,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:42:47
12,C,50,-45.0,5.0,ahn-control-high,Agent_3,2025-01-06 22:42:48
13,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:42:48
14,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:42:49
15,C,50,-45.0,5.0,ahn-control-high,Agent_3,2025-01-06 22:42:49
16,C,50,-45.0,5.0,ahn-control-high,Agent_3,2025-01-06 22:42:50
17,C,50,-45.0,5.0,ahn-control-high,Agent_3,2025-01-06 22:42:51
18,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:42:52
19,C,50,-45.0,5.0,ahn-control-high,Agent_3,2025-01-06 22:42:52
20,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:42:53
21,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:04
22,C,50,-40.0,10.0,ahn-control-high,Agent_3,2025-01-06 22:43:04
23,C,50,-40.0,10.0,ahn-control-high,Agent_3,2025-01-06 22:43:05
24,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:05
25,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:06
26,C,50,-40.0,10.0,ahn-control-high,Agent_3,2025-01-06 22:43:07
27,C,50,-40.0,10.0,ahn-control-high,Agent_3,2025-01-06 22:43:07
28,C,50,-40.0,10.0,ahn-control-high,Agent_3,2025-01-06 22:43:08
29,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:09
30,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:09
31,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:10
32,C,50,-35.0,15.0,ahn-control-high,Agent_3,2025-01-06 22:43:11
33,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:12
34,C,50,-35.0,15.0,ahn-control-high,Agent_3,2025-01-06 22:43:12
35,C,50,-35.0,15.0,ahn-control-high,Agent_3,2025-01-06 22:43:13
36,C,50,-35.0,15.0,ahn-control-high,Agent_3,2025-01-06 22:43:14
37,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:22
38,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:23
39,C,50,-35.0,15.0,ahn-control-high,Agent_3,2025-01-06 22:43:23
40,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:25
41,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:25
42,C,50,-30.0,20.0,ahn-control-high,Agent_3,2025-01-06 22:43:26
43,C,50,-30.0,20.0,ahn-control-high,Agent_3,2025-01-06 22:43:27
44,C,50,-30.0,20.0,ahn-control-high,Agent_3,2025-01-06 22:43:27
45,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:28
46,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:29
47,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:30
48,C,50,-30.0,20.0,ahn-control-high,Agent_3,2025-01-06 22:43:30
49,C,50,-30.0,20.0,ahn-control-high,Agent_3,2025-01-06 22:43:31
50,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:32
51,C,50,-25.0,25.0,ahn-control-high,Agent_3,2025-01-06 22:43:34
52,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:35
53,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:35
54,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:36
55,C,50,-25.0,25.0,ahn-control-high,Agent_3,2025-01-06 22:43:37
56,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:40
57,C,50,-25.0,25.0,ahn-control-high,Agent_3,2025-01-06 22:43:40
58,C,50,-25.0,25.0,ahn-control-high,Agent_3,2025-01-06 22:43:41
59,C,50,-25.0,25.0,ahn-control-high,Agent_3,2025-01-06 22:43:41
60,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:42
61,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:42
62,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:43
63,C,50,-25.0,25.0,ahn-control-high,Agent_3,2025-01-06 22:43:43
64,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:44
65,C,50,-25.0,25.0,ahn-control-high,Agent_3,2025-01-06 22:43:45
66,C,50,-25.0,25.0,ahn-control-high,Agent_3,2025-01-06 22:43:46
67,C,50,-25.0,25.0,ahn-control-high,Agent_3,2025-01-06 22:43:46
68,C,50,-25.0,25.0,ahn-control-high,Agent_3,2025-01-06 22:43:47
69,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:48
70,C,50,0.0,50.0,ahn-control-high,Agent_3,2025-01-06 22:43:48
71,C,50,-25.0,25.0,ahn-control-high,Agent_3,2025-01-06 22:43:49
