trial,deck,gain,loss,net,trial_type,agentN,date
1,A,100,-250.0,-150.0,ahn-addict-high,Agent_1,2024-12-21 12:11:56
2,B,100,0.0,100.0,ahn-addict-high,Agent_1,2024-12-21 12:11:56
3,B,100,0.0,100.0,ahn-addict-high,Agent_1,2024-12-21 12:11:58
4,B,100,-1250.0,-1150.0,ahn-addict-high,Agent_1,2024-12-21 12:11:59
5,A,100,0.0,100.0,ahn-addict-high,Agent_1,2024-12-21 12:11:59
6,A,100,0.0,100.0,ahn-addict-high,Agent_1,2024-12-21 12:12:01
7,D,50,0.0,50.0,ahn-addict-high,Agent_1,2024-12-21 12:12:02
8,D,50,0.0,50.0,ahn-addict-high,Agent_1,2024-12-21 12:12:02
9,D,50,0.0,50.0,ahn-addict-high,Agent_1,2024-12-21 12:12:03
10,C,50,-50.0,0.0,ahn-addict-high,Agent_1,2024-12-21 12:12:05
11,C,50,0.0,50.0,ahn-addict-high,Agent_1,2024-12-21 12:12:06
12,D,50,0.0,50.0,ahn-addict-high,Agent_1,2024-12-21 12:12:07
13,D,50,0.0,50.0,ahn-addict-high,Agent_1,2024-12-21 12:12:07
14,A,100,0.0,100.0,ahn-addict-high,Agent_1,2024-12-21 12:12:08
15,A,100,-280.0,-180.0,ahn-addict-high,Agent_1,2024-12-21 12:12:08
16,B,100,0.0,100.0,ahn-addict-high,Agent_1,2024-12-21 12:12:09
17,B,100,-1400.0,-1300.0,ahn-addict-high,Agent_1,2024-12-21 12:12:14
18,D,50,0.0,50.0,ahn-addict-high,Agent_1,2024-12-21 12:12:14
19,D,50,0.0,50.0,ahn-addict-high,Agent_1,2024-12-21 12:12:16
20,D,50,0.0,50.0,ahn-addict-high,Agent_1,2024-12-21 12:12:18
21,C,50,0.0,50.0,ahn-addict-high,Agent_1,2024-12-21 12:12:20
22,A,100,-310.0,-210.0,ahn-addict-high,Agent_1,2024-12-21 12:12:20
23,B,100,0.0,100.0,ahn-addict-high,Agent_1,2024-12-21 12:12:21
