trial,deck,gain,loss,net,trial_type,agentN,date
1,A,100,0.0,100.0,ahn-addict-low,Agent_1,2024-12-21 13:38:51
2,A,100,-250.0,-150.0,ahn-addict-low,Agent_1,2024-12-21 13:38:51
3,B,100,0.0,100.0,ahn-addict-low,Agent_1,2024-12-21 13:38:52
4,B,100,-1250.0,-1150.0,ahn-addict-low,Agent_1,2024-12-21 13:38:52
5,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:38:53
6,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:38:53
7,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:38:54
8,C,50,-50.0,0.0,ahn-addict-low,Agent_1,2024-12-21 13:38:55
9,D,50,-250.0,-200.0,ahn-addict-low,Agent_1,2024-12-21 13:38:55
10,C,50,-50.0,0.0,ahn-addict-low,Agent_1,2024-12-21 13:38:56
11,C,50,-45.0,5.0,ahn-addict-low,Agent_1,2024-12-21 13:38:56
12,C,50,-45.0,5.0,ahn-addict-low,Agent_1,2024-12-21 13:38:57
13,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:38:57
14,C,50,-45.0,5.0,ahn-addict-low,Agent_1,2024-12-21 13:38:58
15,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:38:59
16,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:39:02
17,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:39:04
18,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:39:04
19,C,50,-45.0,5.0,ahn-addict-low,Agent_1,2024-12-21 13:39:05
20,C,50,-45.0,5.0,ahn-addict-low,Agent_1,2024-12-21 13:39:05
21,C,50,-40.0,10.0,ahn-addict-low,Agent_1,2024-12-21 13:39:06
22,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:39:06
23,C,50,-40.0,10.0,ahn-addict-low,Agent_1,2024-12-21 13:39:07
24,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:39:08
25,C,50,-40.0,10.0,ahn-addict-low,Agent_1,2024-12-21 13:39:08
26,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:39:09
27,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:39:09
28,C,50,-40.0,10.0,ahn-addict-low,Agent_1,2024-12-21 13:39:10
29,C,50,-40.0,10.0,ahn-addict-low,Agent_1,2024-12-21 13:39:11
30,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:39:13
31,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:39:13
32,C,50,-35.0,15.0,ahn-addict-low,Agent_1,2024-12-21 13:39:16
33,C,50,-35.0,15.0,ahn-addict-low,Agent_1,2024-12-21 13:39:17
34,C,50,0.0,50.0,ahn-addict-low,Agent_1,2024-12-21 13:39:19
