trial,deck,gain,loss,net,trial_type,agentN,date
1,A,100,0.0,100.0,ahn-control-high,Agent_1,2024-12-20 13:31:01
2,A,100,0.0,100.0,ahn-control-high,Agent_1,2024-12-20 13:31:02
3,A,100,-250.0,-150.0,ahn-control-high,Agent_1,2024-12-20 13:31:02
4,B,100,0.0,100.0,ahn-control-high,Agent_1,2024-12-20 13:31:03
5,B,100,-1250.0,-1150.0,ahn-control-high,Agent_1,2024-12-20 13:31:04
6,C,50,-50.0,0.0,ahn-control-high,Agent_1,2024-12-20 13:31:06
7,C,50,-50.0,0.0,ahn-control-high,Agent_1,2024-12-20 13:31:08
8,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:09
9,D,50,-250.0,-200.0,ahn-control-high,Agent_1,2024-12-20 13:31:10
10,C,50,-50.0,0.0,ahn-control-high,Agent_1,2024-12-20 13:31:10
11,C,50,-45.0,5.0,ahn-control-high,Agent_1,2024-12-20 13:31:11
12,C,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:12
13,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:14
14,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:14
15,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:15
16,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:15
17,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:16
18,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:17
19,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:20
20,D,50,-225.0,-175.0,ahn-control-high,Agent_1,2024-12-20 13:31:21
21,C,50,-40.0,10.0,ahn-control-high,Agent_1,2024-12-20 13:31:22
22,C,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:23
23,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:23
24,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:24
25,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:25
26,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:26
27,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:27
28,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:27
29,D,50,-200.0,-150.0,ahn-control-high,Agent_1,2024-12-20 13:31:28
30,C,50,-40.0,10.0,ahn-control-high,Agent_1,2024-12-20 13:31:31
31,C,50,-35.0,15.0,ahn-control-high,Agent_1,2024-12-20 13:31:31
32,C,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:33
33,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:33
34,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:34
35,D,50,-175.0,-125.0,ahn-control-high,Agent_1,2024-12-20 13:31:34
36,C,50,-35.0,15.0,ahn-control-high,Agent_1,2024-12-20 13:31:35
37,C,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:35
38,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:36
39,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:37
40,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:37
41,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:39
42,D,50,-150.0,-100.0,ahn-control-high,Agent_1,2024-12-20 13:31:39
43,C,50,-30.0,20.0,ahn-control-high,Agent_1,2024-12-20 13:31:40
44,C,50,-30.0,20.0,ahn-control-high,Agent_1,2024-12-20 13:31:40
45,C,50,-30.0,20.0,ahn-control-high,Agent_1,2024-12-20 13:31:41
46,C,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:41
47,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:42
48,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:43
49,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:44
50,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:45
51,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:45
52,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:46
53,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:47
54,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:48
55,D,50,-125.0,-75.0,ahn-control-high,Agent_1,2024-12-20 13:31:49
56,C,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:49
57,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:50
58,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:51
59,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:52
60,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:54
61,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:55
62,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:57
63,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:57
64,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:58
65,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:31:59
66,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:32:00
67,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:32:01
68,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:32:01
69,D,50,-125.0,-75.0,ahn-control-high,Agent_1,2024-12-20 13:32:02
70,C,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:32:02
71,D,50,0.0,50.0,ahn-control-high,Agent_1,2024-12-20 13:32:03
