trial,deck,gain,loss,net,trial_type,agentN,date
1,A,100,-250.0,-150.0,ahn-control-low,Agent_1,2024-12-20 14:56:07
2,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:07
3,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:09
4,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:10
5,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:11
6,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:12
7,C,50,0.0,50.0,ahn-control-low,Agent_1,2024-12-20 14:56:13
8,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:16
9,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:17
10,B,100,-1250.0,-1150.0,ahn-control-low,Agent_1,2024-12-20 14:56:17
11,C,50,0.0,50.0,ahn-control-low,Agent_1,2024-12-20 14:56:18
12,D,50,0.0,50.0,ahn-control-low,Agent_1,2024-12-20 14:56:19
13,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:19
14,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:20
15,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:21
16,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:21
17,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:22
18,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:22
19,B,100,-1400.0,-1300.0,ahn-control-low,Agent_1,2024-12-20 14:56:23
20,C,50,0.0,50.0,ahn-control-low,Agent_1,2024-12-20 14:56:23
21,B,100,-1550.0,-1450.0,ahn-control-low,Agent_1,2024-12-20 14:56:24
22,D,50,0.0,50.0,ahn-control-low,Agent_1,2024-12-20 14:56:25
23,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:25
24,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:26
25,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:27
26,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:28
27,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:29
28,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:31
29,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:32
30,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:33
31,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:34
32,B,100,-1700.0,-1600.0,ahn-control-low,Agent_1,2024-12-20 14:56:35
33,C,50,-35.0,15.0,ahn-control-low,Agent_1,2024-12-20 14:56:36
34,D,50,0.0,50.0,ahn-control-low,Agent_1,2024-12-20 14:56:37
35,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:39
36,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:41
37,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:41
38,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:42
39,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:43
40,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:43
41,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:44
42,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:44
43,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:45
44,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:46
45,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:47
46,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:47
47,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:48
48,B,100,-1850.0,-1750.0,ahn-control-low,Agent_1,2024-12-20 14:56:49
49,C,50,0.0,50.0,ahn-control-low,Agent_1,2024-12-20 14:56:50
50,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:50
51,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:51
52,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:52
53,B,100,-2000.0,-1900.0,ahn-control-low,Agent_1,2024-12-20 14:56:53
54,D,50,0.0,50.0,ahn-control-low,Agent_1,2024-12-20 14:56:53
55,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:55
56,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:57
57,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:57
58,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:56:59
59,B,100,0.0,100.0,ahn-control-low,Agent_1,2024-12-20 14:57:01
