trial,deck,gain,loss,net,trial_type,agentN,date
1,A,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:01:42
2,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,2024-12-21 20:01:43
3,B,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:01:55
4,B,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:01:57
5,B,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:01:57
6,B,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:02:15
7,B,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:02:16
8,B,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:02:16
9,C,50,0.0,50.0,wetzels-addict-high,Agent_1,2024-12-21 20:02:18
10,D,50,0.0,50.0,wetzels-addict-high,Agent_1,2024-12-21 20:02:20
11,D,50,0.0,50.0,wetzels-addict-high,Agent_1,2024-12-21 20:02:23
12,D,50,0.0,50.0,wetzels-addict-high,Agent_1,2024-12-21 20:02:27
13,C,50,0.0,50.0,wetzels-addict-high,Agent_1,2024-12-21 20:02:28
14,A,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:02:48
15,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,2024-12-21 20:02:49
16,B,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:02:49
17,B,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:02:50
18,B,100,-1250.0,-1150.0,wetzels-addict-high,Agent_1,2024-12-21 20:02:51
19,D,50,0.0,50.0,wetzels-addict-high,Agent_1,2024-12-21 20:03:15
20,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,2024-12-21 20:03:40
21,A,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:03:50
22,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,2024-12-21 20:03:51
23,C,50,-50.0,0.0,wetzels-addict-high,Agent_1,2024-12-21 20:03:54
24,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,2024-12-21 20:03:55
25,D,50,0.0,50.0,wetzels-addict-high,Agent_1,2024-12-21 20:03:56
26,D,50,0.0,50.0,wetzels-addict-high,Agent_1,2024-12-21 20:03:56
27,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,2024-12-21 20:03:58
28,A,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:03:59
29,A,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:03:59
30,A,100,-250.0,-150.0,wetzels-addict-high,Agent_1,2024-12-21 20:04:10
31,B,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:04:11
32,B,100,-1250.0,-1150.0,wetzels-addict-high,Agent_1,2024-12-21 20:04:13
33,A,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:04:13
34,A,100,0.0,100.0,wetzels-addict-high,Agent_1,2024-12-21 20:04:15
