trial,deck,gain,loss,net,trial_type,agentN,date
1,A,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:11
2,A,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:12
3,A,100,-250.0,-150.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:12
4,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:15
5,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:16
6,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:19
7,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:19
8,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:20
9,D,50,0.0,50.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:21
10,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:21
11,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:22
12,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:23
13,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:23
14,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:24
15,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:24
16,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:25
17,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:25
18,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:26
19,C,50,-50.0,0.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:27
20,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:28
21,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:29
22,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:30
23,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:30
24,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:31
25,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:31
26,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:32
27,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:33
28,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:34
29,D,50,0.0,50.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:37
30,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:37
31,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:38
32,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:39
33,A,100,-250.0,-150.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:40
34,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:41
35,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:42
36,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:42
37,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:43
38,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:44
39,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:44
40,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:45
41,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:45
42,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:46
43,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:47
44,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:49
45,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:50
46,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:51
47,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:52
48,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:53
49,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:55
50,D,50,0.0,50.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:56
51,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:57
52,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:53:58
53,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:00
54,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:00
55,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:02
56,A,100,-250.0,-150.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:02
57,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:04
58,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:05
59,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:05
60,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:06
61,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:06
62,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:08
63,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:08
64,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:09
65,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:10
66,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:10
67,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:12
68,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:15
69,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:19
70,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:22
71,C,50,-50.0,0.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:23
72,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:23
73,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:26
74,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:26
75,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:27
76,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:27
77,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:28
78,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:28
79,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:29
80,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:30
81,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:30
82,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:31
83,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:32
84,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:34
85,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:34
86,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:36
87,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:37
88,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:37
89,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:39
90,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:39
91,A,100,-250.0,-150.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:40
92,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:40
93,D,50,0.0,50.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:41
94,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:41
95,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:42
96,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:44
97,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:44
98,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:45
99,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:46
100,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:46
101,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:47
102,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:48
103,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:52
104,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:54
105,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:55
106,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:55
107,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:56
108,C,50,-50.0,0.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:57
109,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:57
110,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:58
111,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:58
112,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:59
113,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:54:59
114,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:55:02
115,B,100,-1250.0,-1150.0,wetzels-addict-low,Agent_1,2024-12-21 14:55:03
116,D,50,0.0,50.0,wetzels-addict-low,Agent_1,2024-12-21 14:55:03
117,B,100,0.0,100.0,wetzels-addict-low,Agent_1,2024-12-21 14:55:04
