trial,deck,gain,loss,net,trial_type,agentN,date
1,A,100,0.0,100.0,wetzels-control-high,Agent_1,2024-12-20 20:53:02
2,A,100,-250.0,-150.0,wetzels-control-high,Agent_1,2024-12-20 20:53:02
3,B,100,-1250.0,-1150.0,wetzels-control-high,Agent_1,2024-12-20 20:53:02
4,C,50,-50.0,0.0,wetzels-control-high,Agent_1,2024-12-20 20:53:07
5,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:07
6,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:08
7,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:08
8,D,50,-250.0,-200.0,wetzels-control-high,Agent_1,2024-12-20 20:53:12
9,C,50,-50.0,0.0,wetzels-control-high,Agent_1,2024-12-20 20:53:12
10,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:13
11,D,50,-250.0,-200.0,wetzels-control-high,Agent_1,2024-12-20 20:53:14
12,A,100,0.0,100.0,wetzels-control-high,Agent_1,2024-12-20 20:53:14
13,A,100,-250.0,-150.0,wetzels-control-high,Agent_1,2024-12-20 20:53:15
14,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:15
15,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:15
16,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:16
17,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:17
18,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:17
19,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:18
20,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:19
21,D,50,-250.0,-200.0,wetzels-control-high,Agent_1,2024-12-20 20:53:19
22,C,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:20
23,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:20
24,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:21
25,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:22
26,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:22
27,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:23
28,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:23
29,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:25
30,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:26
31,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:27
32,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:28
33,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:28
34,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:29
35,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:30
36,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:31
37,D,50,0.0,50.0,wetzels-control-high,Agent_1,2024-12-20 20:53:31
