trial,deck,gain,loss,net,trial_type,agentN,date
1,A,100,-250.0,-150.0,wetzels-control-low,Agent_1,2024-12-20 18:05:14
2,B,100,0.0,100.0,wetzels-control-low,Agent_1,2024-12-20 18:05:14
3,B,100,-1250.0,-1150.0,wetzels-control-low,Agent_1,2024-12-20 18:05:14
4,C,50,-50.0,0.0,wetzels-control-low,Agent_1,2024-12-20 18:05:14
5,D,50,0.0,50.0,wetzels-control-low,Agent_1,2024-12-20 18:05:15
6,D,50,0.0,50.0,wetzels-control-low,Agent_1,2024-12-20 18:05:17
7,D,50,0.0,50.0,wetzels-control-low,Agent_1,2024-12-20 18:05:19
8,D,50,0.0,50.0,wetzels-control-low,Agent_1,2024-12-20 18:05:20
9,D,50,0.0,50.0,wetzels-control-low,Agent_1,2024-12-20 18:05:25
10,D,50,0.0,50.0,wetzels-control-low,Agent_1,2024-12-20 18:05:26
11,D,50,0.0,50.0,wetzels-control-low,Agent_1,2024-12-20 18:05:31
12,D,50,-250.0,-200.0,wetzels-control-low,Agent_1,2024-12-20 18:05:31
13,C,50,-50.0,0.0,wetzels-control-low,Agent_1,2024-12-20 18:05:32
14,A,100,-250.0,-150.0,wetzels-control-low,Agent_1,2024-12-20 18:05:34
15,B,100,0.0,100.0,wetzels-control-low,Agent_1,2024-12-20 18:05:34
16,B,100,-1250.0,-1150.0,wetzels-control-low,Agent_1,2024-12-20 18:05:36
17,D,50,0.0,50.0,wetzels-control-low,Agent_1,2024-12-20 18:05:37
18,D,50,0.0,50.0,wetzels-control-low,Agent_1,2024-12-20 18:05:37
19,D,50,0.0,50.0,wetzels-control-low,Agent_1,2024-12-20 18:05:38
20,D,50,0.0,50.0,wetzels-control-low,Agent_1,2024-12-20 18:05:40
21,D,50,0.0,50.0,wetzels-control-low,Agent_1,2024-12-20 18:05:44
22,D,50,-250.0,-200.0,wetzels-control-low,Agent_1,2024-12-20 18:05:44
23,D,50,0.0,50.0,wetzels-control-low,Agent_1,2024-12-20 18:05:45
24,D,50,0.0,50.0,wetzels-control-low,Agent_1,2024-12-20 18:05:47
