index,parameter,value
1,K,2.40259370052723
2,K,2.50913590260052
3,K,2.11971215317884
4,K,2.01479378595091
5,K,2.31388002887432
6,K,2.07790408721807
7,K,2.66355700762018
8,K,2.12816886247417
9,K,2.58187073007253
10,K,2.71695991026878
11,K,2.32500791210059
12,K,2.52434760067154
13,K,2.27186685110282
14,K,2.48014594225321
15,K,2.38664135423187
16,K,2.31674027362404
17,K,2.11226085426557
18,K,2.03208915255676
19,K,1.83420703189804
20,K,2.38958862477058
21,K,2.13108761209239
22,K,2.44715072408922
23,K,2.45271228315336
24,K,2.40406928574371
25,K,2.33353922338832
26,K,2.05189564606303
27,K,2.18618631150586
28,K,2.38289657373043
29,K,2.44986471656926
30,K,2.35934167280604
31,K,2.52083066857569
32,K,1.85393408881162
33,K,2.31627791159102
34,K,2.06715424008377
35,K,2.40738585615405
36,K,2.59475812524961
37,K,2.43194470670922
38,K,2.31800169317434
39,K,2.37235687078686
40,K,2.07898212513545
41,K,2.57042006679566
42,K,2.34843007764569
43,K,2.48400878354525
44,K,2.27940479069966
45,K,2.66823647836004
46,K,1.74140409893928
47,K,2.46379829867211
48,K,2.96069312901505
49,K,2.22556079524043
50,K,2.14247603881354
51,K,2.27107608005917
52,K,2.47380780691004
53,K,2.05813027646978
54,K,2.5148981450946
55,K,2.45757080267343
56,K,2.13303027562492
57,K,2.00614516939672
58,K,2.53296109942394
59,K,2.60980068289771
60,K,2.76851047586688
61,K,1.92574369393673
62,K,2.36077742486585
63,K,2.57358095855778
64,K,2.11752988039734
65,K,1.75638080617477
66,K,2.07758934020406
67,K,2.45760712700522
68,K,2.08951383042512
69,K,2.79310189476661
70,K,1.77495406345413
71,K,2.30048321467999
72,K,2.37722785200531
73,K,2.41616683393685
74,K,2.56199326509563
75,K,2.41534239355692
76,K,2.14587408929675
77,K,2.66746321424049
78,K,2.33551692558971
79,K,2.38487850018294
80,K,1.83263083472463
81,K,2.28624947449117
82,K,2.24677731473378
83,K,2.76331485771875
84,K,2.35286609008858
85,K,2.14713438452108
86,K,2.60962620989144
87,K,2.06710250641177
88,K,1.94887026308966
89,K,2.47393406579556
90,K,1.96145550552141
91,K,1.877513766497
92,K,2.93005020228631
93,K,1.89613256872389
94,K,1.72444996520203
95,K,2.62474359305314
96,K,2.07894788882557
97,K,2.00414139919105
98,K,2.16604750963284
99,K,1.96775462133323
100,K,2.42068959939753
101,K,2.6701993007679
102,K,2.58047708435775
103,K,2.50147827639435
104,K,2.24757898745677
105,K,2.28824826118903
106,K,2.11364011689205
107,K,2.06604338541753
108,K,2.48152207100119
109,K,2.20282436897963
110,K,1.94252274568061
111,K,2.58798382340694
112,K,2.49150695604401
113,K,2.1691243157076
114,K,2.36584483988587
115,K,2.34371067492978
116,K,2.53192933400547
117,K,1.87920935385281
118,K,2.45511634533293
119,K,2.5740909250931
120,K,2.44167448263712
121,K,2.40347965375936
122,K,2.14463705516342
123,K,1.81246509607227
124,K,2.37288310032527
125,K,1.92099819209323
126,K,2.42733204321814
127,K,2.51045005218358
128,K,2.88975009408499
129,K,2.35195730319343
130,K,2.10465813371385
131,K,2.00517651706751
132,K,2.34838954013296
133,K,2.55905887912504
134,K,2.24021881967627
135,K,2.61465501062692
136,K,2.58737912150715
137,K,2.46067699886064
138,K,2.13119287884572
139,K,2.70657603185542
140,K,2.54067931041668
141,K,2.54809699095201
142,K,2.04992829259846
143,K,2.77072718444044
144,K,2.3648593416008
145,K,2.21821001208454
146,K,1.98572445051428
147,K,2.3070830251202
148,K,2.23453658689943
149,K,2.15776269293267
150,K,2.38059966333551
151,K,2.23968915251382
152,K,2.77552437282127
153,K,2.16433456014493
154,K,2.67485411642798
155,K,2.3813214457273
156,K,2.3005694167995
157,K,2.75448616546516
158,K,2.06825086743064
159,K,2.03970598712225
160,K,2.34637223428489
161,K,2.12197566995456
162,K,2.88892175366455
163,K,2.09940026569765
164,K,2.23116923735469
165,K,2.36241418048637
166,K,2.7120044912759
167,K,2.34441073340853
168,K,1.93324073034309
169,K,2.54833055023533
170,K,2.7734087377809
171,K,2.4978348121748
172,K,2.04948332452484
173,K,2.20686443507479
174,K,2.49916341539725
175,K,2.50652306914119
176,K,2.34019604784579
177,K,2.09581767148291
178,K,2.50568992575181
179,K,2.30070780743896
180,K,1.9459311776257
181,K,2.78756800163004
182,K,2.46624609439678
183,K,2.24360604528609
184,K,1.97700509860171
185,K,2.1691475927386
186,K,2.3919314083362
187,K,2.87599824382596
188,K,2.21763509557918
189,K,2.75607891991376
190,K,1.98266840597474
191,K,2.6359301119883
192,K,2.23185673068228
193,K,2.29220503250677
194,K,2.4030138492091
195,K,2.68099362589397
196,K,2.45326466673723
197,K,2.43281259913374
198,K,2.28616298225886
199,K,2.61278650660886
200,K,2.48460391647002
201,K,2.51224422447157
202,K,2.58466729046963
203,K,2.62292050505224
204,K,2.52647428304546
205,K,2.46330385065331
206,K,1.90415148229097
207,K,2.0442996375005
208,K,2.28598455523899
209,K,2.21487783494979
210,K,2.28768858171482
211,K,2.58912915095912
212,K,2.47742602975332
213,K,2.15876436714785
214,K,2.1623888187003
215,K,2.0462493804842
216,K,2.21485530699628
217,K,2.61193238488671
218,K,2.46583806702466
219,K,2.02455922199372
220,K,2.62185027442504
221,K,2.3595127116354
222,K,1.91211579558713
223,K,2.24283175889436
224,K,2.35545044913805
225,K,2.43636752599143
226,K,2.4157314946637
227,K,1.83644631914589
228,K,2.17043840329744
229,K,3.13804048722059
230,K,2.14422862801448
231,K,2.40183755338182
232,K,2.02028060518694
233,K,2.24320165207344
234,K,2.03786907135373
235,K,2.2320046173238
236,K,2.58121267729061
237,K,2.36546869467996
238,K,1.8502283170869
239,K,2.47121641076578
240,K,2.19830804457209
241,K,2.87135847242532
242,K,2.76600268850985
243,K,2.15817122825852
244,K,2.76546813899645
245,K,2.24764689992797
246,K,2.22234678269042
247,K,2.34286500016081
248,K,2.52178124462045
249,K,1.91563711089757
250,K,2.21035301065405
251,K,2.13603121653912
252,K,2.01458147022505
253,K,2.51937611531202
254,K,1.84577173279416
255,K,2.45253151325771
256,K,2.15103198362715
257,K,2.44573857018371
258,K,2.74416068452337
259,K,2.36599086090708
260,K,2.74001590954195
261,K,2.51908979755449
262,K,2.54178627951798
263,K,2.75689171434153
264,K,1.7613729294901
265,K,2.3456132532476
266,K,2.14561915914188
267,K,2.22972306266937
268,K,2.64193218234826
269,K,2.35667426868803
270,K,2.26271144676043
271,K,2.12209406616065
272,K,2.3270731795924
273,K,2.33496592179971
274,K,2.05662655424798
275,K,2.39374946431491
276,K,2.41116238946268
277,K,2.18011736027478
278,K,1.99423232334018
279,K,2.02580119168337
280,K,1.83911816361427
281,K,2.31702882920094
282,K,2.71086309325697
283,K,2.27178263539416
284,K,2.7361257331017
285,K,2.27993402996268
286,K,2.38582351079761
287,K,1.98012299995778
288,K,2.13293480555375
289,K,2.40260035177952
290,K,1.97148615981233
291,K,2.36692955700961
292,K,2.07790072641584
293,K,2.37308072945986
294,K,2.26349271891728
295,K,1.97131510688611
296,K,2.39485407742067
297,K,2.10973735964456
298,K,2.26176041172734
299,K,1.96165072405928
300,K,2.56281148491319
301,K,1.81637304962562
302,K,2.24771180312225
303,K,2.59626648105237
304,K,1.87938932140085
305,K,2.45718540376034
306,K,2.38786988593603
307,K,2.75519284165293
308,K,2.15296410129935
309,K,2.24537701057498
310,K,2.45887513235487
311,K,2.07793419005363
312,K,2.12896443890739
313,K,2.2938755579411
314,K,2.68489438898991
315,K,2.29184533261579
316,K,2.39409727506397
317,K,2.58289666819169
318,K,2.20652514348551
319,K,2.26313790382411
320,K,2.11829255949396
321,K,1.86411798185136
322,K,2.22211924583104
323,K,2.30943465819803
324,K,2.45861314243305
325,K,2.10121972277703
326,K,2.61217528273495
327,K,2.26755061033547
328,K,2.64130230287097
329,K,2.64121190296258
330,K,2.16391620113255
331,K,1.97748142173411
332,K,1.64578448639937
333,K,2.11359970534485
334,K,2.65800747894633
335,K,2.37953069376294
336,K,2.28461226353522
337,K,2.30281096942999
338,K,2.25579155358336
339,K,2.45873773485999
340,K,2.3893885826178
341,K,2.387931712115
342,K,2.52645411218192
343,K,2.26132949382595
344,K,2.02193259444048
345,K,2.2577524783804
346,K,2.53284200194625
347,K,2.44844396850491
348,K,2.82257682930784
349,K,1.90710381291719
350,K,2.17736990509588
351,K,2.53954584409433
352,K,2.78524665520317
353,K,2.33088614952973
354,K,2.45381369921317
355,K,2.18599367709892
356,K,2.34452989062635
357,K,2.22672832483002
358,K,2.31020117422054
359,K,1.69311527603709
360,K,2.20568756027409
361,K,2.50181247606712
362,K,2.26181626108569
363,K,2.63461618152409
364,K,2.30176951716415
365,K,2.36256697956431
366,K,2.67714445491661
367,K,3.0784229028816
368,K,2.14739756520821
369,K,2.97051911086701
370,K,1.77676114759246
371,K,2.33293647009698
372,K,2.16065017618557
373,K,2.28137407015771
374,K,2.22550708956528
375,K,2.34734443074888
376,K,2.15022597334149
377,K,2.67112232748386
378,K,2.36611887055544
379,K,2.23879952514498
380,K,2.4890516482841
381,K,2.4811761981228
382,K,2.50514811182792
383,K,2.20281627853552
384,K,2.30308745466434
385,K,2.36284698998601
386,K,2.13080236217912
387,K,2.3475716652881
388,K,2.61979828787096
389,K,1.9354661547641
390,K,2.23058524119615
391,K,2.01614134462119
392,K,2.06661911386197
393,K,2.57928037723014
394,K,2.37938500711577
395,K,2.28350772821801
396,K,2.38238707180374
397,K,2.46682486879792
398,K,2.24901395961716
399,K,2.64566236990155
400,K,1.87191728434735
401,K,2.15681841594668
402,K,2.23950516489429
403,K,2.44869239003915
404,K,1.99433833373639
405,K,2.06428495213254
406,K,2.33642685550771
407,K,2.23841855384174
408,K,2.26768799956993
409,K,2.75811886145802
410,K,1.80636843401096
411,K,2.15932015238161
412,K,1.99911164556493
413,K,2.00870321293864
414,K,2.3594864464522
415,K,2.33165749778351
416,K,1.98190509137591
417,K,2.3907839815054
418,K,2.11213025039368
419,K,2.13635977188084
420,K,2.44336644276466
421,K,2.43798212219059
422,K,2.27953703566289
423,K,2.14492443709459
424,K,2.25118042763816
425,K,2.12203341175421
426,K,2.01852411661281
427,K,2.12225102208633
428,K,2.01055411697868
429,K,2.16644713754011
430,K,2.43453986366477
431,K,2.40450739379498
432,K,2.55507661989673
433,K,2.72879471010786
434,K,2.69328659662154
435,K,2.41838722057875
436,K,2.13056382984777
