index,parameter,value
1,K,2.19013154125044
2,K,2.11886783604712
3,K,2.18889580380843
4,K,2.2849135922332
5,K,2.48304660415061
6,K,2.19056023645986
7,K,2.59778885370631
8,K,2.16869239898451
9,K,2.25201681207458
10,K,2.36835706519667
11,K,2.05133028154647
12,K,2.11943089409337
13,K,2.24069140153489
14,K,2.40501067986072
15,K,2.81328834144941
16,K,1.98417923145815
17,K,2.27084550975761
18,K,2.2278022530021
19,K,1.89704651002232
20,K,2.66038990550626
21,K,2.13750945726897
22,K,2.24633997312098
23,K,1.91094638478764
24,K,2.16826698006928
25,K,2.4083736519668
26,K,1.98542293464037
27,K,1.89397974677241
28,K,2.35438797369548
29,K,2.34646326429498
30,K,2.72545098772794
31,K,1.82197543996709
32,K,2.38068132917077
33,K,1.74110685135684
34,K,2.00952912912733
35,K,1.85249901242978
36,K,1.87524180786911
37,K,2.10768989379633
38,K,2.07588603906952
39,K,1.82698352762642
40,K,2.23825956251956
41,K,2.06672922420154
42,K,2.47607896287512
43,K,2.2630763530639
44,K,2.11247073362023
45,K,2.23281738903688
46,K,2.05591455238192
47,K,2.20089790896425
48,K,2.44117772777183
49,K,2.38016737533186
50,K,2.32172707885351
51,K,1.78999569266575
52,K,2.20489543271123
53,K,2.35185542055648
54,K,1.62945080944648
55,K,2.12232224007737
56,K,2.33143247861387
57,K,1.70312118604714
58,K,2.23006742373569
59,K,1.97008564008523
60,K,1.46841734368401
61,K,2.19526446098192
62,K,2.49460213652192
63,K,2.41985247478866
64,K,1.73698421771022
65,K,2.27880006085848
66,K,1.843748817022
67,K,2.18269458869899
68,K,2.58735082819222
69,K,2.16184037930324
70,K,2.38873827471429
71,K,2.60137316723384
72,K,2.13097981608374
73,K,2.29002138661177
74,K,2.10517750365965
75,K,2.19355082485519
76,K,2.27827003570449
77,K,2.05843152637968
78,K,2.12545403383337
79,K,1.71505277004555
80,K,2.08678478764239
81,K,1.49067366840868
82,K,2.04841527824723
83,K,2.02513156823851
84,K,2.47638776323805
85,K,1.88518851505886
86,K,2.00586097368587
87,K,2.10607036721203
88,K,2.58109480416769
89,K,2.15563826901868
90,K,2.22458424199909
91,K,2.4095854735209
92,K,2.53274653701882
93,K,2.3921489665231
94,K,2.05018330813522
95,K,1.80450334380746
96,K,2.00181331217881
97,K,1.83436767150199
98,K,1.98834453166027
99,K,2.14947726863423
100,K,1.80139326439113
101,K,1.94675996177491
102,K,2.06284913949341
103,K,1.96486410115513
104,K,2.1421541099232
105,K,2.19794775105546
106,K,1.77147574966165
107,K,2.55473353982431
108,K,2.22850712752019
109,K,2.03002531237607
110,K,1.74259817595341
111,K,2.43046170934925
112,K,2.08558694303398
113,K,2.24925444269943
114,K,1.91855007124483
115,K,1.97037561378269
116,K,2.18160858738116
117,K,2.50156461865392
118,K,2.07185287245758
119,K,2.13216409520111
120,K,1.47968519656591
121,K,2.40260231587651
122,K,2.32075481151498
123,K,2.41374698967979
124,K,2.24283453861475
125,K,1.87829317337738
126,K,1.89456580002698
127,K,2.09785545344657
128,K,2.4509661031308
129,K,1.7220202118379
130,K,2.18112570069644
131,K,2.3732553519337
132,K,2.07783874038556
133,K,2.50834761394714
134,K,2.2823518589371
135,K,2.46986475617074
136,K,2.41609178872339
137,K,2.04301957310394
138,K,1.94768366678888
139,K,2.50894769583371
140,K,2.33522179622678
141,K,2.39046014264742
142,K,2.4743647247689
143,K,2.4162723230469
144,K,2.07960467206747
145,K,2.04368393179048
146,K,2.16047411418222
147,K,2.42415283774169
148,K,2.33632776228024
149,K,2.25148575560093
150,K,2.18239680037449
151,K,2.30698276774194
152,K,2.11637964601728
153,K,2.1389630176171
154,K,2.40532876562241
155,K,1.94938988914583
156,K,2.12555180368884
157,K,2.5293294266866
158,K,2.15171767054223
159,K,2.44459080052141
160,K,2.21585264383224
161,K,1.99307313955375
162,K,1.99969761622384
163,K,2.35723334645499
164,K,2.03272361090532
165,K,1.87819972516066
166,K,2.17228526991394
167,K,2.13072461684501
168,K,2.18889387497483
169,K,1.89093570550752
170,K,2.14866109025787
171,K,1.59827154972972
172,K,2.03660727983915
173,K,2.18659570262711
174,K,1.70015654864358
175,K,2.01994453562244
176,K,2.38666146228126
177,K,2.49446885784751
178,K,2.05148182757879
179,K,1.83153277109584
180,K,2.12799783356845
181,K,1.42018661327789
182,K,2.03261818769393
183,K,2.39837409420255
184,K,2.214340241182
185,K,2.22940870184582
186,K,2.70392715409124
187,K,2.39723679829302
188,K,2.04621321483081
189,K,2.54588065427406
190,K,1.99909291528461
191,K,2.2269820687272
192,K,2.32764572348397
193,K,2.2863555217742
194,K,1.73513616405301
195,K,2.45046697784138
196,K,2.79187000409087
197,K,2.24985732354871
198,K,2.20716788058889
199,K,1.93112478532822
200,K,2.33237559982704
201,K,1.86512332160303
202,K,2.20892781477159
203,K,2.59394113184133
204,K,1.90605939183636
205,K,2.16812729513984
206,K,1.79703130792022
207,K,2.37668758124695
208,K,1.96183715030784
209,K,1.66426209347531
210,K,2.22484779659502
211,K,1.77530127711799
212,K,1.92369577561919
213,K,1.87604565764481
214,K,1.95183131948774
215,K,1.79690849845919
216,K,2.30289526714076
217,K,2.50844312784996
218,K,2.07982602379476
219,K,1.74066872366579
220,K,1.90123230130444
221,K,1.76924971925086
222,K,2.28774711429428
223,K,2.25543384994257
224,K,2.27239336928774
225,K,2.15100834904454
226,K,1.96609089883264
227,K,1.75418609916059
228,K,2.22566658272835
229,K,2.09728425775529
230,K,2.2264375864393
231,K,2.61151932335676
232,K,2.12308039298468
233,K,2.05011574187332
234,K,2.10132770246999
235,K,2.3768064700268
236,K,2.54038009156713
237,K,1.70591180818069
238,K,2.08316842665742
239,K,1.85491280054622
240,K,2.20985531862595
241,K,1.99590162000694
242,K,1.80386819346893
243,K,2.62759432572926
244,K,1.8836013451663
245,K,2.44210461803981
246,K,1.77482955656092
247,K,2.19913734609361
248,K,1.94313030209959
249,K,2.50818574273654
250,K,1.79838858479829
251,K,1.93638392047444
252,K,1.952473583923
253,K,2.2495394096581
254,K,1.8466863586474
255,K,2.42902329978581
256,K,2.21164396714958
257,K,2.81182221350394
258,K,2.25581649531701
259,K,2.13716900030042
260,K,2.1563844639732
261,K,1.92064786369659
262,K,1.69367285317408
263,K,2.1835621777866
264,K,2.04783940968318
265,K,1.49140467280546
266,K,2.19201447671192
267,K,2.1947570677356
268,K,2.04725621192794
269,K,1.94017357194771
270,K,2.32633213756997
271,K,2.19498320076251
272,K,2.32604602460026
273,K,2.06568662906218
274,K,1.85101714957306
275,K,1.83666755690051
276,K,2.22835141004918
277,K,2.0206988169558
278,K,2.34942258842517
279,K,1.86284963452209
280,K,2.21692900198466
281,K,1.95322113463544
282,K,2.36857298037146
283,K,1.90544860718102
284,K,1.93665007868371
285,K,2.26975980234319
286,K,2.10182021939566
287,K,2.31827273353146
288,K,2.03107542075438
289,K,2.23441424561365
290,K,2.13907576071157
291,K,2.29364405381835
292,K,2.41880698037409
293,K,2.61460364019625
294,K,2.16970070336411
295,K,1.7643264157399
296,K,2.36466461085097
297,K,2.21380417494723
298,K,2.01191567174335
299,K,2.12199151418579
300,K,2.51110399226584
301,K,2.35616114328603
302,K,1.9512341616258
303,K,2.41973416033718
304,K,2.56324579092553
305,K,2.1840976729699
306,K,2.16312096033274
307,K,2.01304051723918
308,K,2.12016630640245
309,K,1.86495722573212
310,K,2.46287783615896
311,K,2.6234090962371
312,K,2.40568232283986
313,K,1.98189304841383
314,K,2.10917330701424
315,K,1.90588011618808
316,K,2.22792683979657
317,K,2.09216097308798
318,K,2.09844222523813
319,K,2.02067942015954
320,K,1.63121368899615
321,K,2.28240223250315
322,K,2.23529143619257
323,K,2.31091998902271
324,K,2.09918331206676
325,K,2.03958281151074
326,K,2.86830737823098
327,K,2.19620466548389
328,K,2.1999244216995
329,K,2.23715551142225
330,K,1.98630945921041
331,K,2.26211304096576
332,K,2.71655875366605
333,K,1.99017765937775
334,K,2.4827583487311
335,K,1.87120751540536
336,K,1.83327213284818
337,K,2.1647212471011
338,K,1.81701421654982
339,K,2.38068628711912
340,K,2.2469220961416
341,K,2.76993829137026
342,K,1.89252234467126
343,K,2.1761247224459
344,K,2.35423936636453
345,K,2.12364518734999
346,K,1.97453311702312
347,K,2.27918322436607
348,K,2.13431285297281
349,K,1.80948037005336
350,K,2.31189476303998
351,K,1.87990822570897
352,K,2.48918125585382
353,K,1.66483329712661
354,K,2.36317390129495
355,K,2.14134276584209
356,K,2.37658308632979
357,K,2.33840445605102
358,K,2.62238886289743
359,K,1.65967489904105
360,K,2.21589483695953
361,K,2.43229366970561
362,K,1.56134230700108
363,K,2.32386284521164
364,K,1.76391246378094
365,K,2.1035768895972
366,K,2.18062100300404
367,K,2.11971382064314
368,K,2.33861030383273
369,K,1.93034238672151
370,K,2.18208836232729
371,K,2.57610645677485
372,K,1.85361596343562
373,K,2.18888488640491
374,K,1.99846662728857
375,K,2.02666456377554
376,K,2.26707582553111
377,K,2.14837289955939
378,K,2.30412958655724
379,K,2.55878812009156
380,K,2.36346018947362
381,K,2.44262842718219
382,K,2.0090200329598
383,K,2.01157634641771
384,K,2.41080672384625
385,K,2.40917156850451
386,K,1.99776470874576
387,K,2.12536844062926
388,K,1.90446118693137
389,K,2.2585655690503
390,K,2.03148334321067
391,K,2.20499124061688
392,K,2.20540060589902
393,K,2.07110831020036
394,K,1.89121528859362
395,K,2.24138680554766
396,K,2.35476363118264
397,K,1.85106983772748
398,K,2.3786556431189
399,K,1.94545099944096
400,K,2.21256883536221
401,K,2.22861083695783
402,K,2.71943138330314
403,K,2.03975303311793
404,K,2.13725120820712
405,K,2.19350605042874
406,K,2.36698584198208
407,K,2.62995869610361
408,K,1.95103204513472
409,K,1.99429693649532
410,K,2.34950338850808
411,K,1.98749356814104
412,K,2.18633485357936
413,K,1.90441724843697
414,K,2.4567472975543
415,K,2.09814247724699
416,K,1.93095023997879
417,K,1.8647098242948
418,K,2.40713321274197
419,K,1.71082456297649
420,K,2.00323053756194
421,K,2.13049338615133
422,K,2.04911195067455
423,K,1.75417295539083
424,K,1.73531253268816
425,K,1.96221380571682
426,K,2.26705587112858
427,K,2.07074385179024
428,K,2.53973686523958
429,K,2.27258114421332
430,K,2.54670143143864
431,K,2.17142234346014
432,K,1.92048905410937
433,K,2.47416013976104
434,K,2.45187724789751
435,K,2.16254833072387
436,K,1.969015338855
437,K,2.23552995667423
438,K,2.11638816646685
439,K,1.93205602638609
440,K,1.72796156053049
441,K,2.39435038515198
442,K,1.81523075491328
443,K,2.48936110912645
444,K,1.84857240875603
445,K,2.28569402628478
446,K,2.1212612848954
447,K,2.57096085658308
448,K,1.96297572960199
449,K,2.06288457872875
450,K,2.4209941018113
451,K,2.1237758448757
452,K,2.06785847575797
453,K,2.48440867347125
454,K,1.99849312870714
455,K,2.05950245300831
456,K,2.3579697372668
457,K,2.08632823137002
458,K,2.0646395956282
459,K,1.69746417509275
460,K,2.00286689668381
461,K,1.83691802956268
462,K,2.07148029069374
463,K,2.14421636081906
464,K,1.99261409144152
465,K,2.14812797172895
466,K,2.09346493676742
467,K,1.75199717298007
468,K,2.40435053933624
469,K,2.1387317149933
470,K,2.33917237566926
471,K,2.2539901648735
472,K,1.80858597009933
473,K,2.10210178011909
474,K,2.01150624242717
475,K,1.91225128939912
476,K,2.4438151562298
477,K,2.46265591881739
478,K,1.93705328913438
479,K,1.84086424309525
480,K,2.20013390411278
481,K,2.24404588914567
482,K,2.41697458221472
483,K,1.99617315652863
484,K,2.34925045608761
485,K,2.33691032941137
486,K,1.90262783380307
487,K,1.90871809987507
488,K,2.38509827175453
489,K,2.08967882361564
490,K,2.19444537640298
491,K,1.80721209903158
492,K,2.67807367570158
493,K,2.15490018021048
494,K,2.20241373611805
495,K,1.91490457340245
496,K,2.20466619438049
