index,parameter,value
1,K,1.6833297416595
2,K,1.49225320792059
3,K,2.14634776036024
4,K,1.48232067031645
5,K,1.8419472730728
6,K,1.71830566864201
7,K,2.17070958411702
8,K,1.92226575769423
9,K,1.96404601394361
10,K,1.8858382876102
11,K,1.78915934275026
12,K,2.38790159139573
13,K,2.026419365419
14,K,1.87034448926343
15,K,2.21567194175816
16,K,1.78597896591675
17,K,1.94805463435601
18,K,1.92663758505434
19,K,2.20528905209344
20,K,1.92147110608347
21,K,2.26064791371417
22,K,1.81260214574202
23,K,1.876419875841
24,K,1.5700229175247
25,K,2.14591652808239
26,K,1.72726070700914
27,K,1.98424942842441
28,K,2.13517413773611
29,K,2.20948593077034
30,K,2.07410772846341
31,K,1.56292900491198
32,K,2.11017722785884
33,K,1.5801242107197
34,K,1.6796554106536
35,K,2.02370424843827
36,K,2.00639767026093
37,K,2.03816649364594
38,K,1.50126239047845
39,K,2.10235574792846
40,K,1.96250206230783
41,K,1.85740834771849
42,K,1.85640615602265
43,K,2.19135658827661
44,K,1.77591334451833
45,K,1.97626825457749
46,K,1.88672052246243
47,K,2.11890694791608
48,K,2.2973299420695
49,K,1.69216777878274
50,K,1.82762584631588
51,K,1.82221283652322
52,K,1.98974628685359
53,K,2.02221540685908
54,K,2.00606802085515
55,K,1.91600858049543
56,K,1.95398240870002
57,K,1.49921773077732
58,K,1.91781203687398
59,K,1.97836489875262
60,K,1.76820691292684
61,K,2.51450024435744
62,K,1.71008760888861
63,K,1.79894447733507
64,K,1.95639729481111
65,K,1.91826306892292
66,K,1.81794785649518
67,K,1.8224152958028
68,K,1.6615444548775
69,K,1.95004652530129
70,K,1.95825743731321
71,K,1.55142499341523
72,K,2.09043424597947
73,K,1.61474782012406
74,K,1.8990218149981
75,K,2.00042863581897
76,K,2.10834180708462
77,K,1.86398653498055
78,K,1.59324920901202
79,K,1.98722935317351
80,K,2.32914256922694
81,K,1.71472375510175
82,K,1.73841212687529
83,K,2.12942404687753
84,K,1.68527446757347
85,K,2.04331230690083
86,K,1.62209343275364
87,K,2.17877066327082
88,K,2.12606804129878
89,K,1.70157174224268
90,K,1.67509134870116
91,K,2.20572408470646
92,K,1.77164755058189
93,K,2.06788178026015
94,K,2.20507345479174
95,K,1.87999493404544
96,K,1.8614162954964
97,K,1.48623634474935
98,K,1.43889092447349
99,K,1.96552369445515
100,K,1.49897916340235
101,K,2.35193048294923
102,K,1.8629005550451
103,K,2.04830769515116
104,K,1.75100975759361
105,K,1.93847190913737
106,K,1.85880686310227
107,K,2.34691120768649
108,K,2.25713932795317
109,K,2.16944710171083
110,K,2.19597044305321
111,K,1.88011902322537
112,K,2.14719217902693
113,K,2.08814966933347
114,K,1.5284031005906
115,K,1.68791320866349
116,K,1.91606780011845
117,K,1.73143089242356
118,K,1.79221091173505
119,K,1.84720652922506
120,K,2.21304888085818
121,K,2.03696931113985
122,K,2.54341677650621
123,K,1.72965396894504
124,K,1.91316580560199
125,K,1.81423247896651
126,K,1.54544077849353
127,K,1.98367172975824
128,K,1.93730667522868
129,K,2.13739809526321
130,K,1.78692714301577
131,K,1.91175808638337
132,K,2.02532400598655
133,K,2.08268610961435
134,K,1.99027115375992
135,K,2.00231231711661
