index,parameter,value
1,K,1.92144709174376
2,K,1.54814792256199
3,K,1.69265945796656
4,K,2.12111879397678
5,K,1.95511263448259
6,K,1.84088527204924
7,K,1.93243129697095
8,K,1.98504311197527
9,K,1.70718361273699
10,K,1.63618226574733
11,K,1.79066261716939
12,K,1.87586898047756
13,K,1.98763644271829
14,K,2.0796666017493
15,K,1.86922546970617
16,K,1.52696744571997
17,K,2.1308204007058
18,K,1.40581854211444
19,K,1.60329034557979
20,K,1.4638929998502
21,K,1.85496369508691
22,K,1.42297261166823
23,K,1.77160996538811
24,K,2.08452451549267
25,K,1.51373487339414
26,K,1.93814538123446
27,K,1.77253957002817
28,K,1.4764302907827
29,K,1.70214649060471
30,K,1.49239818851394
31,K,1.56163977483629
32,K,2.34197426789256
33,K,1.8632273838797
34,K,2.0769000449783
35,K,1.83110293246087
36,K,2.09512310019998
37,K,1.85153010836824
38,K,1.93584510553636
39,K,2.16725279786015
40,K,1.75959085786984
41,K,1.85310466913104
42,K,1.54802425404817
43,K,1.91315644558863
44,K,1.79935456084547
45,K,2.04995339102799
46,K,1.67833877485237
47,K,1.97590441854289
48,K,1.82423354614086
49,K,1.86941291497566
50,K,1.77353113562708
51,K,1.87899144798765
52,K,1.51025986416999
53,K,1.79519690475013
54,K,1.94541480361517
55,K,1.62735616973544
56,K,2.07987060521456
57,K,1.75466138002259
58,K,1.97464892181364
59,K,1.42968628560014
60,K,1.86586883396687
61,K,1.75148893815928
62,K,2.10381332588011
63,K,1.83320977507928
64,K,1.18614397569824
65,K,1.68524656201088
66,K,1.72444861297629
67,K,1.64460447692767
68,K,1.61062386866312
69,K,2.07098331542198
70,K,1.62412878971603
71,K,2.21511005848184
72,K,2.02216683620956
73,K,1.71538220025758
74,K,1.84531337520488
75,K,2.19628436539888
76,K,1.87185184431387
77,K,1.85425727744469
78,K,1.60988824662563
79,K,2.14142588197198
80,K,1.99911822259994
81,K,1.6748937622472
82,K,1.37934357503027
83,K,1.88813902094205
84,K,1.99888576158116
85,K,1.93309949632732
86,K,1.74616193572157
87,K,1.88204198680583
88,K,1.5755226582521
89,K,1.6568980369963
90,K,1.85992363984873
91,K,1.94186326306457
92,K,1.67137500770608
93,K,2.12317626056196
94,K,1.89092212858865
95,K,1.55864334846733
96,K,1.37625050002232
97,K,2.17103387849539
98,K,1.71725551800378
99,K,1.96899518755425
100,K,1.70313209604712
101,K,2.34452459321688
102,K,1.63199762756317
103,K,2.26494552557785
104,K,1.41310878599498
105,K,1.92578127615474
106,K,1.67404660618051
107,K,1.55774371167469
108,K,1.79776034727069
109,K,1.59196611748615
110,K,1.93784258673757
111,K,1.869864538274
112,K,2.0124210724633
113,K,1.53790154105344
114,K,1.57842865669445
115,K,2.12069775371073
116,K,2.41358203104782
117,K,1.7247348068442
118,K,1.62000328734261
119,K,1.96887970952803
120,K,1.77580717026558
121,K,1.54991841244715
122,K,2.15947743749936
123,K,2.1995989973374
124,K,1.88489156809939
125,K,1.9708984814336
126,K,1.63504087530373
127,K,2.08781673681935
128,K,1.76809465271738
129,K,1.63937522239833
130,K,2.10036210708144
131,K,1.91015728674423
132,K,1.84542006477115
133,K,2.08780182518982
134,K,1.91764801670298
135,K,1.96558765338844
136,K,2.16438621137806
137,K,1.93892891201404
138,K,1.54544655419883
139,K,1.58871102044945
140,K,1.56691001750287
141,K,1.83472186278109
142,K,1.66214025373489
143,K,1.46368560796131
144,K,2.21340643106841
145,K,1.81257261480369
146,K,1.79956112571026
147,K,1.8184427906464
148,K,1.83554406932005
149,K,1.64116587530897
150,K,1.76374278309745
151,K,1.88147894213522
152,K,1.68336909589585
153,K,1.54190697089314
154,K,2.02933560635826
155,K,1.82729972382154
156,K,1.56164535471155
157,K,1.97724818154874
158,K,1.64220186835211
159,K,1.56930062004433
160,K,1.76956891531519
161,K,1.8387991668724
162,K,1.56248315958431
163,K,1.74941420213847
164,K,1.70019692753401
165,K,1.60203000095742
166,K,1.68413092110142
167,K,1.51231305286392
168,K,2.07799133049863
169,K,1.32836462343632
170,K,1.70530081152158
171,K,1.87860789485876
172,K,1.88057965064661
173,K,1.7574269800821
174,K,1.68636958815969
175,K,2.20776408131614
176,K,1.68037394980624
177,K,1.84247805000315
178,K,1.91008152548793
179,K,1.52004080241761
180,K,1.80355619122157
181,K,1.40071069927425
182,K,1.77918722381237
183,K,1.81646009866103
184,K,1.66771123730305
185,K,2.09897920542723
186,K,1.88244547083695
187,K,1.72053552998939
188,K,2.1822809002752
189,K,1.53995170913964
190,K,1.42191904947395
191,K,1.70349716778824
192,K,2.46294912335541
193,K,1.79211794807876
194,K,1.90487879748146
195,K,1.91649481285442
196,K,2.10873507619621
197,K,1.59394599884896
198,K,1.54773942123925
199,K,1.49447010486727
200,K,2.37401650154892
201,K,2.20657058078394
202,K,1.6135841032216
203,K,2.12829427005057
204,K,1.87388514734692
205,K,1.54845685627854
206,K,2.10436352436937
207,K,1.66043090167679
208,K,1.63978306544668
209,K,1.90606083469111
210,K,2.11079151276573
211,K,1.74149820877497
212,K,1.65657466768717
213,K,1.62842161600652
214,K,1.72939070856134
215,K,1.78924642840114
216,K,1.67208387516932
217,K,1.98324682271263
218,K,1.71184870410482
219,K,1.86412526420897
220,K,1.86501965240224
221,K,1.78753851916407
222,K,2.28914253757643
223,K,2.21418795805776
224,K,1.69620728570836
225,K,1.57269671592016
226,K,1.66007665377788
227,K,1.76637266495854
228,K,1.94984320241773
229,K,1.98385897019005
230,K,1.42103093361353
231,K,1.51284296412789
232,K,1.74417907488088
233,K,1.83436984447797
234,K,1.63272348641198
235,K,1.43068743478674
236,K,2.14406573708312
237,K,1.54536526315471
238,K,1.8605688514931
239,K,2.45202278689086
240,K,1.76112390255045
241,K,1.65387296964397
242,K,1.80598407366712
243,K,1.71162797969804
244,K,2.07091491705842
245,K,1.61861720306568
246,K,2.2967658000457
247,K,1.91764717670139
248,K,1.80424239717522
249,K,1.62687351844478
250,K,1.87109009191532
251,K,1.61166464326416
252,K,2.02985976061545
253,K,1.96082630109705
254,K,1.86751297796991
255,K,2.18743213436929
256,K,1.81549393062524
257,K,1.76230464275719
258,K,1.64490358781528
259,K,1.91571274149628
260,K,1.67679735645151
261,K,1.91413381082891
262,K,1.94204787957504
263,K,1.34005711618323
264,K,1.71938963801183
265,K,1.83609388208785
266,K,1.69256547495835
267,K,1.70592671114416
268,K,1.40008132896509
269,K,1.46475180264191
270,K,1.59171221467012
271,K,2.10390749946426
272,K,1.93654178957279
273,K,2.06414399963988
274,K,1.46590945425193
275,K,1.82817694209208
276,K,1.35692389785498
277,K,1.68312231678257
278,K,2.09725999313689
279,K,1.82535591603431
280,K,1.55011419760673
281,K,1.69191696284958
282,K,1.84316169794461
283,K,1.82865723619909
284,K,2.39527756422678
285,K,2.01890890236911
286,K,1.99429273929815
287,K,1.52396408111369
288,K,1.92844906828451
289,K,2.10746325922722
290,K,1.64470496422109
291,K,2.09071077663479
292,K,1.8143018935974
293,K,1.88901060740385
294,K,1.82335791766901
295,K,2.0841381739666
296,K,1.82758134044752
297,K,1.5413417601045
298,K,1.64977558734846
299,K,1.99998710654919
300,K,1.3807760159019
301,K,1.6349783012058
302,K,1.704372726237
303,K,1.39416648955558
304,K,1.70136379997326
305,K,1.91124013378533
306,K,1.8488413206277
307,K,1.97230183135461
308,K,2.12296236918385
309,K,1.89253179598091
310,K,1.29275807655285
311,K,1.80257396827867
312,K,1.65586403939545
313,K,1.79574764999426
314,K,1.70127922739452
315,K,1.41384298740428
316,K,1.79609416879252
317,K,1.94796600929816
318,K,1.81801783762243
319,K,2.14399884838263
320,K,1.42918690142261
321,K,1.71451673432717
322,K,1.80634087135882
323,K,2.18668151490116
324,K,1.16455000551195
325,K,1.4461278372248
326,K,1.38723966773132
327,K,1.3284470552015
328,K,1.67034600070209
329,K,1.92807129685578
330,K,1.59600276385637
331,K,2.36920448898034
332,K,2.24853403924141
333,K,1.88044628494951
334,K,1.58168460897815
335,K,1.91160654795626
336,K,1.91791430051912
337,K,1.59791116062885
338,K,1.70061232169688
339,K,1.69189420937
340,K,1.40165295421202
341,K,1.79210547783578
342,K,1.88720540417422
343,K,1.59075683688237
344,K,1.80695164687152
345,K,1.67010616461811
