index,parameter,value
1,K,2.3583155641952
2,K,1.88021327886674
3,K,1.88023004610912
4,K,1.98583427059228
5,K,2.29879987527422
6,K,2.03735258953529
7,K,1.73384319243679
8,K,2.09793190386482
9,K,2.28020080476229
10,K,2.30457415965489
11,K,1.53477459178349
12,K,2.47181158027446
13,K,2.1353772838294
14,K,2.11552341748913
15,K,2.05478354241157
16,K,2.27788825680676
17,K,2.10897862771163
18,K,2.47597532943976
19,K,2.79325555640346
20,K,2.31981622556566
21,K,2.78998866428435
22,K,2.46112795736798
23,K,2.35043566544905
24,K,2.24417983366604
25,K,2.48165418890418
26,K,2.27306284475336
27,K,2.04268984408021
28,K,2.28640593453187
29,K,1.77472329086194
30,K,2.01607454109167
31,K,2.39803676553794
32,K,1.86817209913621
33,K,2.46779806657317
34,K,2.07641921313497
35,K,2.33035050660062
36,K,2.37618264148787
37,K,2.36126797642125
38,K,2.15599759861051
39,K,1.94782604835992
40,K,2.59520021084484
41,K,2.36578566074994
42,K,1.81251443353706
43,K,2.76913491281873
44,K,1.84181840056191
45,K,2.41354792927313
46,K,2.13372283384793
47,K,2.40512568386468
48,K,1.89370086120219
49,K,2.10791895858413
50,K,2.24368159967976
51,K,2.04421019751129
52,K,2.24442421911769
53,K,2.29388349706612
54,K,2.50285404105102
55,K,2.24756268057769
56,K,1.99706432441391
57,K,2.16929002475059
58,K,2.31940025851523
59,K,1.92721908949345
60,K,1.87454241778873
61,K,2.20743806687134
62,K,3.09195650389609
63,K,2.53389497327078
64,K,2.35624100991598
65,K,2.61978149957148
66,K,2.38285640261753
67,K,2.29544101434815
68,K,2.12037311563245
69,K,1.75477186959232
70,K,2.32814879460233
71,K,2.80788201629545
72,K,2.1983878385006
73,K,2.34528248029971
74,K,2.03324959669705
75,K,2.14163413231539
76,K,2.06002652641385
77,K,2.36084979860322
78,K,2.32865990038608
79,K,2.14033421827396
80,K,2.43484712781226
81,K,2.04876983986199
82,K,1.89534861523566
83,K,2.31414727599291
84,K,2.49326798393631
85,K,2.04704914300948
86,K,1.96627226058096
87,K,2.12007504087476
88,K,1.85491091674275
89,K,2.11534490892958
90,K,2.51639655285328
91,K,2.91006221186841
92,K,2.39968731335901
93,K,1.86133818164987
94,K,2.09852831964305
95,K,1.88924581439992
96,K,1.53583367488491
97,K,2.56060474273625
98,K,2.22102763406019
99,K,2.21725116426402
100,K,2.51220104342113
101,K,2.44005809629281
102,K,2.45610782462284
103,K,2.77893340211411
104,K,2.07373532918813
105,K,1.86190363074441
106,K,2.63036009811586
107,K,2.4170743182625
108,K,1.96652111402239
109,K,2.55444255024369
110,K,2.56188096474071
111,K,2.2416292657427
112,K,2.97731845891886
113,K,1.74700536151596
114,K,2.32170692502449
115,K,1.92778501325008
116,K,2.23996910643709
117,K,2.23678224233268
118,K,2.4824665639018
119,K,2.60032597493459
120,K,1.98952126646397
121,K,2.14068183971761
122,K,2.37516349526298
123,K,1.8123012390548
124,K,2.72799906867172
125,K,2.03369120958234
126,K,1.97036201246374
127,K,2.69552400147208
128,K,2.71847000807383
129,K,2.83105990515649
130,K,2.12272776877636
131,K,2.00297912160797
132,K,2.18255621777568
133,K,2.40602249017875
134,K,2.15272321542041
135,K,2.2520374783926
136,K,2.0319743830532
137,K,2.36502415237801
138,K,2.70106331188262
139,K,2.12586913679337
140,K,2.15700374592507
141,K,2.2824721753763
142,K,2.41938260173959
143,K,1.6453408933083
144,K,2.50656854976518
145,K,2.20141806321379
146,K,1.58849612614385
147,K,2.57292586793199
148,K,2.01804514069394
149,K,2.08153107610866
150,K,2.36778853871999
151,K,2.55740589746702
152,K,2.40746658089685
153,K,2.24863786615782
154,K,2.43193230661463
155,K,2.10572417263419
156,K,1.91765731883306
157,K,2.43415871342197
158,K,1.86011153278591
159,K,2.49303563362955
160,K,1.80450128562747
161,K,1.79799816531565
162,K,2.36159282270855
163,K,2.22479131349837
164,K,2.18312622732185
165,K,2.15836288319334
166,K,1.92743277299704
167,K,1.85446948836625
168,K,1.53526863395863
169,K,2.182802546582
170,K,2.22460354741752
171,K,2.10493499468368
172,K,2.18272307193573
173,K,2.63465474145836
174,K,1.76318354776342
175,K,2.60694060033944
176,K,2.06124232940272
177,K,1.906615116279
178,K,1.96820691069461
179,K,2.32780390670096
180,K,3.00836290472844
181,K,2.55324939649967
182,K,1.77015051070605
183,K,2.5648707557846
184,K,2.04621935439789
185,K,2.93484584911694
186,K,2.30156920045865
187,K,2.79059115802184
188,K,2.89255994195493
189,K,1.88355578288032
190,K,2.37525055702814
191,K,2.07400908871929
192,K,2.39422160669997
193,K,2.32738145965702
194,K,2.17914642265422
195,K,2.07785689324171
196,K,1.85359480828907
197,K,2.36973277371699
198,K,2.38024804993769
199,K,1.97293006155073
200,K,2.38696039493098
201,K,1.88760563916387
202,K,2.02270620319888
203,K,2.26175274845915
204,K,1.88272286866114
205,K,2.25975807393054
206,K,2.08216629308982
207,K,2.41104450267018
208,K,2.16547044842213
209,K,2.25860910571231
210,K,2.5937897220577
211,K,2.44052543859038
212,K,1.9045960068836
213,K,2.39547064428766
214,K,2.12238519666388
215,K,2.06271722256126
216,K,2.26977106917858
217,K,2.32020616458027
218,K,2.39873076084835
219,K,2.41619073948242
220,K,2.24984111589164
221,K,2.14491423482937
222,K,1.98478140270791
223,K,2.15967072784365
224,K,1.98688471270971
225,K,2.77799086266637
226,K,1.94800356816839
227,K,1.89520840049382
228,K,2.23053653601149
229,K,2.31346825285322
230,K,1.68906907177738
231,K,2.73868575373779
232,K,2.62713288320492
233,K,2.37765695756912
234,K,2.39625812304734
235,K,2.45237238391071
236,K,2.49804892112392
237,K,2.27040961608749
238,K,1.99791292645388
239,K,2.3476136735277
240,K,1.94485905232264
241,K,2.0008573121342
242,K,1.68940379064581
243,K,2.3240800707676
