index,parameter,value
1,K,1.85399067761783
2,K,1.84960818421781
3,K,1.79043692696832
4,K,1.63384984823744
5,K,1.81035186940284
6,K,1.54364142105246
7,K,1.81592838710979
8,K,1.59945923857614
9,K,1.75027168144686
10,K,1.4472743034688
11,K,1.38385453840866
12,K,1.70361559253647
13,K,1.56870082389056
14,K,1.92336334564479
15,K,1.67184471511267
16,K,1.5630235926504
17,K,2.05814372791058
18,K,1.67982188519188
19,K,1.23412126865319
20,K,1.36725307525527
21,K,2.13213416764917
22,K,1.70543196970311
23,K,1.81800924532151
24,K,1.63346036248247
25,K,1.58945783001162
26,K,1.27290950852304
27,K,1.72448429858787
28,K,1.79872596709164
29,K,1.96116264725983
30,K,1.9745472264867
31,K,1.46413500268734
32,K,1.82158315341724
33,K,1.46900038455948
34,K,2.16051261142358
35,K,1.64166349267062
36,K,1.53087649718564
37,K,1.72933356791296
38,K,1.7326161355354
39,K,1.89367772222366
40,K,2.10729111109375
41,K,1.93660755783777
42,K,1.81404620544377
43,K,1.74175147198987
44,K,2.35132188326527
45,K,1.75338574468408
46,K,1.34619279643647
47,K,1.99691941861261
48,K,1.62331804292712
49,K,1.34042987620899
50,K,2.13742479025361
51,K,1.5288902409836
52,K,1.6619862679042
53,K,1.44824857549182
54,K,1.77464135670847
55,K,1.51990755359533
56,K,1.41597810104548
57,K,1.51665852758679
58,K,1.90718063462394
59,K,1.91522148793968
60,K,1.85100415013061
61,K,2.00777948329802
62,K,1.54572941600533
63,K,1.55566075149047
64,K,1.55512381053395
65,K,1.76655984281993
66,K,1.65796691967826
67,K,1.77443284292922
68,K,1.82776707354698
69,K,1.86925486287255
70,K,1.71896998919226
71,K,1.52033953351891
72,K,1.82523249576355
73,K,1.63785114112292
74,K,1.71093153254183
75,K,1.74793449504083
76,K,1.42892350942876
77,K,1.79748353201122
78,K,1.97380834439785
79,K,1.61270993857652
80,K,1.71586150621341
81,K,1.37539727338975
82,K,2.04244422148598
83,K,1.48178640188382
84,K,1.59901949535664
85,K,1.21402551754182
86,K,1.91843704444402
87,K,1.40614860190966
88,K,1.59830612746923
89,K,1.80415551197098
90,K,2.23351032721318
91,K,1.51178361073503
92,K,1.46814978407036
93,K,1.76505925121997
94,K,1.46241829309603
95,K,1.90928757979422
96,K,2.11521770962131
97,K,1.67876519316603
98,K,1.41678660765611
99,K,1.47789332202339
100,K,1.87277709141326
101,K,1.95212396281376
102,K,1.93220631064741
103,K,1.70151663497722
104,K,1.37349336963746
105,K,1.66948898177463
106,K,1.51972210316338
107,K,1.88945410163988
108,K,1.74009038091717
109,K,1.50737541910056
110,K,1.86981262800819
111,K,1.79551822990656
112,K,1.85873328215749
113,K,1.53741014079117
114,K,1.23249007301815
115,K,1.38421823100762
116,K,1.43379439793953
117,K,2.17863145881501
118,K,1.80814092925231
119,K,1.6209707132073
120,K,1.58997481395098
121,K,1.665112215449
122,K,1.42919147785648
123,K,1.45988184575677
124,K,2.29076923461242
125,K,1.80338531138492
126,K,1.78527738810868
127,K,1.85477913453738
128,K,1.99232447515884
129,K,1.68745335503312
130,K,1.61720165415064
131,K,1.82727351604267
132,K,1.46659979859544
133,K,2.40889125653525
134,K,1.76702863256663
135,K,2.11499307324571
136,K,1.89144573287449
137,K,1.39344094201602
138,K,1.41061907963579
139,K,1.89148009491561
140,K,1.74660555042146
141,K,1.95982602868151
142,K,1.30137709718145
143,K,1.98664480785812
144,K,1.16685374730933
145,K,1.92247610458935
146,K,1.40233751633384
147,K,1.46025360085586
148,K,1.34928583796228
149,K,1.55663246082799
150,K,1.7138607835964
151,K,1.28889746629715
152,K,1.6038950543388
153,K,1.46410366169647
154,K,1.42570009423805
155,K,1.75978993653723
156,K,1.4387722376537
157,K,1.89743146259345
158,K,1.11007277492476
159,K,1.40633582692922
160,K,1.51014948916141
161,K,1.68366232626481
162,K,1.75935082214426
163,K,1.46962684561375
164,K,1.71552343216739
165,K,1.86889954799411
166,K,1.65921077766563
167,K,2.18668758404178
168,K,2.03551076006947
169,K,2.06748201671948
170,K,1.68325814926659
171,K,2.1438399199735
172,K,1.72498678707407
173,K,1.85065846979268
174,K,1.7941452724301
175,K,1.81189320202836
176,K,1.42482994463077
177,K,1.82204349064895
178,K,1.68119831731437
179,K,1.65344598155038
180,K,1.62942146900392
181,K,1.83936843885238
182,K,1.63517268984387
183,K,1.61641076751528
184,K,1.48980073676787
185,K,1.80984413003043
186,K,1.66840114363951
187,K,1.77062059783863
188,K,2.149259429735
189,K,2.03125646608308
190,K,1.5796632812276
191,K,1.62978776333932
192,K,1.39220048920408
193,K,1.7346906400006
194,K,1.69017674837653
195,K,2.06277611120615
196,K,1.71367135277645
197,K,1.69425276024202
198,K,1.59013197886253
199,K,1.30960467305564
200,K,1.94468553076048
201,K,2.04354583418395
202,K,1.67180826834198
203,K,1.8906402224525
204,K,1.57569378416314
205,K,1.92859848576159
206,K,1.64111014178543
207,K,1.58696335801028
208,K,1.61580473077209
209,K,1.44799054588409
210,K,1.27560882940819
211,K,1.14590994567911
212,K,1.74158085532861
213,K,1.56690640235346
214,K,1.73339632523331
215,K,1.75491119630632
216,K,1.56155932622734
217,K,1.81321968029124
218,K,2.39896485375369
219,K,1.66433727049907
220,K,1.33234078787761
221,K,2.01621124827118
222,K,2.10101230508693
223,K,1.9505453762696
224,K,1.91464861885403
225,K,1.96915643442488
226,K,2.11320606349668
227,K,1.98989277778492
228,K,1.64093030722526
229,K,1.95025043768419
230,K,2.13445600575092
231,K,1.55431280593142
232,K,1.6587199518586
233,K,1.89599499086087
234,K,2.01536487109304
235,K,1.45415797458551
236,K,1.99732522268555
237,K,1.41178454182014
238,K,2.19251982445881
239,K,1.98524040450252
240,K,1.08956746118841
241,K,1.87214709595874
242,K,1.65805471911041
243,K,1.64105116013884
244,K,1.88779356282577
245,K,1.42607361793148
246,K,1.47170398209218
247,K,1.29786665150997
248,K,1.26878917478832
249,K,2.09870697784055
250,K,1.63134529439476
251,K,1.44954973274599
252,K,1.56000058775698
253,K,1.57893697118727
254,K,1.5125511789317
255,K,2.07433198721784
256,K,1.30397270555767
257,K,1.7381990601563
258,K,1.74768981929359
259,K,1.48022911818759
260,K,1.96985263405477
261,K,1.67225937748648
262,K,1.22903497021067
263,K,1.64363657434893
264,K,1.88875458690087
265,K,1.45659305285432
266,K,1.49478315778881
267,K,1.60913153175126
268,K,1.33209742798512
269,K,1.91519227384119
270,K,1.55750493687153
271,K,2.08852901534139
272,K,2.068920767058
273,K,1.72423598059099
274,K,1.70423249580169
275,K,1.63215240802043
276,K,1.80882149869212
277,K,1.76488940947615
278,K,1.93064475160649
279,K,1.67442983878317
280,K,1.69710435366466
281,K,2.05184631802107
282,K,1.20709889708061
283,K,2.14468261013611
284,K,1.45185914233514
285,K,1.39714820166123
286,K,1.90903850205015
287,K,1.60919310359541
288,K,1.7452380522629
289,K,1.45402929160002
290,K,1.7200018423307
291,K,1.76747140809338
292,K,1.81961881619362
293,K,1.26225746976468
294,K,1.53730388755418
295,K,1.70128007312453
296,K,2.09286753980143
297,K,1.55141787890836
298,K,1.89019510604104
299,K,1.6380926253584
300,K,1.61105725584147
301,K,1.33913096439405
302,K,1.68872885491365
303,K,1.34179831558603
304,K,1.60348603605113
305,K,1.96911857716469
306,K,1.30149658196024
307,K,1.52431222791317
308,K,1.62083534210501
309,K,1.21200571386347
310,K,1.44010300636789
311,K,1.41942040307628
312,K,1.87604057959672
313,K,1.49857408271318
314,K,1.3106400843298
315,K,1.76700095060354
316,K,1.52896914055427
317,K,1.62702296359979
318,K,1.75065192421037
319,K,1.56461532949142
320,K,1.87196278404853
321,K,1.50646412759982
322,K,2.08626030696595
323,K,1.83380572351436
324,K,1.64545782301051
325,K,1.73390975415869
326,K,1.71498479569591
327,K,1.93026873390114
328,K,1.27399101434105
329,K,2.81127723034066
330,K,1.84841021165374
331,K,1.49181638554728
332,K,1.50750073443231
333,K,1.76347724777788
334,K,1.69904985890848
335,K,2.0667269366631
336,K,2.27487398119607
337,K,1.70266641347768
338,K,2.04553448380282
339,K,1.50830326268634
340,K,1.51115377361971
341,K,1.85678827265682
342,K,1.81692394442896
343,K,1.0343969803501
344,K,1.6351802343999
345,K,1.73727693519845
346,K,1.53893494524396
347,K,1.89050035595824
348,K,1.69590241026928
349,K,1.45860835416416
350,K,2.02507590417037
351,K,1.91651261325644
352,K,1.50258281359857
353,K,1.29913865664182
354,K,2.0710600862625
355,K,1.4380683127081
356,K,2.05959504364521
357,K,1.84641874252403
358,K,1.60875866923473
359,K,1.62409395706882
360,K,1.86502577835268
361,K,1.85367231527497
362,K,1.76664725590878
363,K,1.62067727152171
364,K,1.57162787058436
365,K,1.67952350996876
366,K,1.9494029088568
367,K,1.65423803002291
368,K,2.16113265957852
369,K,1.87577845617383
370,K,1.85028174202636
371,K,1.61232987664695
372,K,2.09420420358748
373,K,1.60511520381308
374,K,1.79676491788614
375,K,1.60596254966682
376,K,1.81780050328246
377,K,1.35432578291279
378,K,1.49914597061998
379,K,1.76650121944527
380,K,1.6598137471463
381,K,1.58140495472588
382,K,1.51192304530696
383,K,1.34064039233703
384,K,1.53749134332045
385,K,1.65517978600676
386,K,1.44669875568508
387,K,1.52129270178707
388,K,1.52118588261167
389,K,1.34788334694576
390,K,1.67047020229298
391,K,1.53353450133878
392,K,1.42309578337697
393,K,2.06593861149962
394,K,1.49649987338849
395,K,1.95317641431982
396,K,1.70549382127536
397,K,1.50038099761325
398,K,1.72768075196836
399,K,1.94941025638377
400,K,2.01285446084978
401,K,2.14118046607777
402,K,1.5307748003794
403,K,1.71241490033294
404,K,1.67675442438018
405,K,1.69473599585785
406,K,1.59095642967076
407,K,2.04667268621482
408,K,1.86287489727677
409,K,1.17056223190251
410,K,1.77304545441253
411,K,1.76983943987192
412,K,1.91622488395203
413,K,1.72771583119581
414,K,1.74653489213696
415,K,2.07885492236254
416,K,1.10289873860734
417,K,1.80097894576313
418,K,1.55302258749978
419,K,1.89352483379077
420,K,1.66826588829559
421,K,1.83157808994138
422,K,1.387005088756
423,K,1.25087355135154
424,K,2.052893956971
425,K,1.77694689083049
426,K,1.54264923528083
427,K,1.52135352596594
428,K,1.83507715266208
429,K,1.50980344688949
430,K,1.5380435673049
431,K,1.39218448596146
432,K,1.30415115607404
433,K,1.38954391853889
434,K,1.69639644881713
435,K,2.04373406088521
436,K,1.84148146623102
437,K,2.03307187699038
438,K,1.71751805003235
439,K,1.47737841614284
440,K,1.48354582897186
441,K,1.85663157049881
442,K,1.83223044414436
443,K,2.1307985885994
444,K,1.96861951970878
445,K,1.6893141818383
446,K,1.74956103857731
447,K,1.73814020750315
448,K,2.08503161143335
449,K,1.75232444796455
450,K,1.4986359193597
451,K,1.58936292945312
452,K,1.58500950678472
453,K,1.44266627156449
454,K,1.87694965514548
455,K,1.95534116858724
456,K,1.73324508476297
457,K,1.85775303871892
458,K,1.40339172569741
459,K,1.59332209195588
460,K,1.4627405552972
461,K,1.67721113256505
462,K,1.53728820039146
463,K,1.42008166739952
464,K,1.73738904078518
465,K,1.76242588830562
466,K,1.20498770003025
467,K,1.51608195158002
468,K,1.91130821706462
469,K,2.41251382170235
470,K,1.45871271167674
471,K,1.79442376715034
472,K,1.68740555127352
473,K,1.6978315679904
474,K,1.54273738918058
475,K,1.88121685310119
476,K,1.80808617583311
477,K,1.64315359157489
478,K,1.58481640185
479,K,1.6242340660849
480,K,1.50297353763244
481,K,1.8168537894475
482,K,1.48225118030862
483,K,1.59497902017453
484,K,1.50220768034322
485,K,1.96578048030085
486,K,1.87878239641567
487,K,1.78383880989732
488,K,1.9344575928457
489,K,1.87457143812977
490,K,1.79035047799973
491,K,1.418122119501
492,K,1.78733937883178
493,K,1.86291823995516
494,K,1.46186101495112
495,K,1.47748979284972
496,K,1.98153541125923
497,K,1.56745933625837
498,K,1.85460626011888
499,K,1.28176274508385
500,K,2.02854347314011
501,K,1.94934956726027
502,K,1.56050679401089
503,K,1.43699790862493
504,K,1.89776140167558
505,K,1.78915958515603
506,K,1.86027581572309
507,K,1.67955474465613
508,K,1.42069665333243
509,K,1.88819263940622
510,K,2.04540639795987
511,K,1.84776482465743
512,K,1.48065725446429
513,K,2.03526358114889
514,K,1.57533713890197
515,K,1.71904628986794
516,K,1.91617794368153
517,K,2.00788230929566
518,K,1.57291938513299
519,K,1.64094284662173
520,K,1.76064139169564
521,K,1.57400349715214
522,K,1.84524841506744
523,K,2.11361692512863
524,K,1.64226472146632
525,K,1.49980123714068
526,K,2.15762954593488
527,K,2.10263002729261
528,K,2.11926038747817
529,K,1.56066531248374
530,K,1.53157341680242
531,K,1.71616250830364
532,K,1.98885968463674
533,K,1.40570694462706
534,K,2.56078352164976
535,K,1.70116646441206
536,K,1.92071396187442
537,K,1.89055858378196
538,K,1.59972429649522
539,K,1.9024565379509
540,K,1.69579404734141
541,K,1.85499964334949
542,K,1.96236309991603
543,K,2.34596270209107
544,K,1.89531390004673
545,K,1.64562860556161
546,K,1.56781048411551
547,K,2.05040222884606
548,K,1.49654666111036
549,K,1.44418934897787
550,K,1.60997882957636
551,K,1.64120000189949
552,K,1.37322148577451
553,K,1.41222767441009
554,K,1.69693660972025
555,K,1.59959034571123
556,K,1.30972365199007
557,K,1.5135341515418
558,K,1.74939685700739
559,K,1.72175388249685
560,K,2.25169826404493
561,K,1.97503197736166
562,K,1.57177122807029
563,K,1.43387551736443
564,K,1.57148817054078
565,K,2.50934207510564
566,K,2.09360732648707
567,K,2.07070082986014
568,K,1.62062820534103
569,K,1.6636525376402
570,K,1.65212109008546
571,K,1.67730780234504
572,K,1.72053318429313
573,K,2.01775310475487
574,K,1.89410623948147
575,K,2.02499631123855
576,K,1.86020097805145
577,K,1.50330374675438
578,K,1.46136667497803
579,K,2.41528108085586
580,K,1.6663738365852
581,K,2.02332379375148
582,K,1.66435209861417
583,K,1.54035431476107
584,K,1.84408346098671
585,K,1.4987703090176
586,K,1.72080096000209
587,K,1.37105177067339
588,K,1.74386355471111
589,K,1.65401419091916
590,K,1.87149600687846
591,K,2.03289847221943
592,K,1.51104385861025
593,K,1.18345286249581
594,K,1.70448673362499
595,K,1.55885667792698
596,K,1.54200536493831
597,K,1.59261097150181
598,K,1.72766140477421
599,K,1.6479685225405
600,K,1.65836126848226
601,K,1.70270357726381
602,K,1.55175296661327
603,K,1.90200323464843
604,K,1.57149365323806
605,K,2.22995225548578
606,K,1.42359892649098
607,K,1.364088091514
608,K,1.18405240988496
609,K,1.36900897044224
610,K,1.36446417039241
611,K,1.66352550079939
612,K,1.47740317722085
613,K,1.59902499465042
614,K,2.01670976982036
615,K,1.93905372865186
616,K,1.89210918278742
617,K,1.63110776735307
618,K,1.95331528048591
619,K,1.70301440647098
620,K,1.86205879387069
621,K,1.4854788925454
622,K,1.5699468304501
623,K,1.94913408262364
624,K,1.73310617605193
625,K,1.5578321870881
626,K,1.5323841821137
627,K,1.72909114753277
628,K,1.79972970345544
629,K,1.86469618668037
630,K,1.46025626640617
631,K,1.61612805431651
632,K,1.50360598502178
633,K,1.40145772832049
634,K,1.40520903116916
635,K,1.32870732406883
636,K,1.98470137941543
637,K,1.9509683122299
638,K,1.58908651400275
639,K,1.87790773203422
640,K,1.69991822229622
641,K,1.47465485572678
642,K,1.79457532561413
643,K,2.12243391789722
644,K,1.52997707064023
645,K,1.39318313229302
646,K,1.69030937236125
647,K,1.73394944646027
648,K,1.85505889564766
649,K,1.41981126298143
650,K,1.71209720707841
651,K,2.45186940618817
652,K,2.08232117257489
653,K,1.64032382364077
654,K,1.59458869172796
655,K,2.03448583117642
656,K,1.86632720729109
657,K,1.7497975593799
658,K,1.70986494841746
659,K,1.71570356289125
660,K,1.434614437999
661,K,1.48168751047567
662,K,1.68919425118743
663,K,1.38328864137341
664,K,1.70647143312825
665,K,1.4608318364539
666,K,1.71164187758579
667,K,1.75125939767238
668,K,1.72531253639117
669,K,2.0730219723462
670,K,1.74717032889769
671,K,1.3777896854894
672,K,1.55948176402599
673,K,1.89742699843456
674,K,2.37049006964284
675,K,1.83870118323668
676,K,2.15980754729119
677,K,2.35169850089307
678,K,1.81113471602149
679,K,1.72441853744465
680,K,1.57563445867428
681,K,1.3741957706456
682,K,1.46080431355808
683,K,1.60365930296426
684,K,1.99007301666572
685,K,1.91772708638963
686,K,1.54046552538962
687,K,1.79609081348974
688,K,2.05186925390198
689,K,1.40079924748178
690,K,1.43310111173963
691,K,2.02834989060036
692,K,1.82830575275981
693,K,2.26775212924217
694,K,1.82899771344971
695,K,1.62233140864164
696,K,1.81012099305276
697,K,1.45914357096639
698,K,1.77254023974139
699,K,1.48063472670405
700,K,1.26324397976963
701,K,1.13803223521498
702,K,1.1262867424529
703,K,1.75943376875672
704,K,1.55476831452345
705,K,1.68624608730308
706,K,1.55714392751263
707,K,1.31708355048197
708,K,1.59768758861356
709,K,1.63769517933036
710,K,2.03135782234318
711,K,1.6322957516365
712,K,1.81240024093434
713,K,1.90094992739211
714,K,1.65556587390909
715,K,1.8937107390505
716,K,2.2528944030941
717,K,1.79532424451412
718,K,1.77902650937111
719,K,1.6774785745875
720,K,1.77811546437447
721,K,1.81180072649703
