subject,parameter,value
1,K,2.89532632162373
1,a_pun,0.0519597890357687
1,a_rew,0.370121951106522
1,deviance,212.960161487447
1,omega_f,2.44728429008187
1,omega_p,1.3837060925286
1,theta,1
2,K,3.06219884903283
2,a_pun,0.0527945411709801
2,a_rew,0.40710108439002
2,deviance,269.916301955089
2,omega_f,0.0534312156017674
2,omega_p,-0.419329870142255
2,theta,1
3,K,3.18267837694849
3,a_pun,0.175983027492889
3,a_rew,0.0605084139512926
3,deviance,263.410564484272
3,omega_f,0.0352851997302312
3,omega_p,-0.454407511322864
3,theta,1
4,K,3.2526539543699
4,a_pun,0.0591538508103385
4,a_rew,0.227851106911651
4,deviance,261.769808955422
4,omega_f,0.335025028682757
4,omega_p,2.97990842544852
4,theta,1
5,K,2.89602641429794
5,a_pun,0.0889488075913004
5,a_rew,0.439301653776999
5,deviance,255.444477266282
5,omega_f,2.05066517076752
5,omega_p,-0.886152588905115
5,theta,1
6,K,1.35904142951117
6,a_pun,0.114004490538254
6,a_rew,0.207307701083234
6,deviance,249.730078260172
6,omega_f,-3.53210377049525
6,omega_p,-2.28340999020436
6,theta,1
7,K,0.422431298788274
7,a_pun,0.0649526408579174
7,a_rew,0.11688839108052
7,deviance,261.778912229257
7,omega_f,2.22777442551708
7,omega_p,-2.72693950479348
7,theta,1
8,K,3.50186466669374
8,a_pun,0.0608593271238631
8,a_rew,0.353709983121792
8,deviance,264.264915437086
8,omega_f,0.879706558680187
8,omega_p,1.71866600399942
8,theta,1
9,K,0.946057674095549
9,a_pun,0.0481834101944005
9,a_rew,0.062616614146751
9,deviance,252.906765471909
9,omega_f,2.41001588912384
9,omega_p,-3.02445251583899
9,theta,1
10,K,2.99543392762181
10,a_pun,0.0389244701664109
10,a_rew,0.182763383966339
10,deviance,255.643334476421
10,omega_f,1.34704811114919
10,omega_p,2.05619652041548
10,theta,1
11,K,3.06696777253573
11,a_pun,0.114563627940315
11,a_rew,0.530748447184409
11,deviance,220.378865137598
11,omega_f,1.94557714576192
11,omega_p,0.00235993964878057
11,theta,1
12,K,1.06001149748316
12,a_pun,0.0862314610894253
12,a_rew,0.339555397755652
12,deviance,216.431719015048
12,omega_f,1.27752200786102
12,omega_p,2.07618153554965
12,theta,1
13,K,1.13659300505691
13,a_pun,0.0522658134156931
13,a_rew,0.68296953903542
13,deviance,247.451934814618
13,omega_f,0.559017291656545
13,omega_p,-3.21246047953869
13,theta,1
14,K,3.77253140698133
14,a_pun,0.0309503430174825
14,a_rew,0.155295532610906
14,deviance,262.670855232507
14,omega_f,0.965152874619187
14,omega_p,2.54788966183604
14,theta,1
15,K,1.6620817529653
15,a_pun,0.0385468789651521
15,a_rew,0.198228168344086
15,deviance,234.299999601339
15,omega_f,2.61783249516719
15,omega_p,-5.34788480518446
15,theta,1
16,K,3.46425071354262
16,a_pun,0.0801365262572607
16,a_rew,0.257015056500068
16,deviance,199.912506211801
16,omega_f,2.27068184524533
16,omega_p,2.10606145016307
16,theta,1
17,K,2.01245418526986
17,a_pun,0.133825403679695
17,a_rew,0.0890555686885461
17,deviance,261.988284399356
17,omega_f,1.8483969901292
17,omega_p,-1.36138184244524
17,theta,1
18,K,0.957319656668648
18,a_pun,0.0446477020858971
18,a_rew,0.393519510959455
18,deviance,241.702145911541
18,omega_f,0.980056371957836
18,omega_p,-3.69982551460119
18,theta,1
19,K,1.17648326645619
19,a_pun,0.0892628161584829
19,a_rew,0.172398801000024
19,deviance,258.184969894215
19,omega_f,2.62308906321424
19,omega_p,-2.08353646703865
19,theta,1
20,K,2.69122613507299
20,a_pun,0.117152705313637
20,a_rew,0.0723016668324084
20,deviance,183.593824183062
20,omega_f,1.452844339737
20,omega_p,5.55549102686469
20,theta,1
21,K,3.34040763505524
21,a_pun,0.0336631759842276
21,a_rew,0.335307524872595
21,deviance,264.487870483521
21,omega_f,0.224464689979369
21,omega_p,1.89929846902539
21,theta,1
22,K,3.54546837121751
22,a_pun,0.0554799750520033
22,a_rew,0.0694495010690812
22,deviance,254.519313334727
22,omega_f,2.44226842676945
22,omega_p,1.41641320330224
22,theta,1
23,K,2.9447196955157
23,a_pun,0.0655828627384644
23,a_rew,0.135557849439858
23,deviance,232.128600383751
