subject,parameter,value
1,K,2.41394462376708
1,a_pun,0.835618256889021
1,a_rew,0.844961581210056
1,deviance,106.220007408834
1,omega_f,1.53816923061639
1,omega_p,0.458983734590782
1,theta,1
2,K,0.168275557612535
2,a_pun,0.123463642526738
2,a_rew,0.925514929355406
2,deviance,103.072941860945
2,omega_f,1.29359278114222
2,omega_p,4.20604093125949
2,theta,1
3,K,1.92772356510506
3,a_pun,0.0840303354477697
3,a_rew,0.241066191958497
3,deviance,75.9558199912734
3,omega_f,5.8654744914819
3,omega_p,-3.11863620444322
3,theta,1
4,K,0.626244310810842
4,a_pun,0.141327963882194
4,a_rew,0.9364536572564
4,deviance,93.8002072963405
4,omega_f,2.25869423905877
4,omega_p,2.78487915069196
4,theta,1
5,K,2.56612084437452
5,a_pun,0.738599087063208
5,a_rew,0.514182455772058
5,deviance,15.7352478628905
5,omega_f,3.470048104934
5,omega_p,0.749202084399816
5,theta,1
6,K,2.72770064502233
6,a_pun,0.790001480243874
6,a_rew,0.663244624361276
6,deviance,25.8663674474149
6,omega_f,2.64372241538534
6,omega_p,0.30396886086085
6,theta,1
7,K,2.70819571420155
7,a_pun,0.892678464773165
7,a_rew,0.862427626020316
7,deviance,75.89088191086
7,omega_f,1.91937643020179
7,omega_p,-1.26791854570912
7,theta,1
8,K,2.5187268404744
8,a_pun,0.0558817364968235
8,a_rew,0.262889219341453
8,deviance,69.8439697258973
8,omega_f,4.72152371602824
8,omega_p,-1.82084480451824
8,theta,1
9,K,1.89166689032836
9,a_pun,0.074298387810926
9,a_rew,0.306042415109815
9,deviance,75.7453425284729
9,omega_f,5.12390058101062
9,omega_p,-2.7516996198643
9,theta,1
10,K,2.13943793271313
10,a_pun,0.154685200028947
10,a_rew,0.95944535185091
10,deviance,100.564985853753
10,omega_f,4.1735534085651
10,omega_p,-1.4906031404988
10,theta,1
11,K,2.7107854950342
11,a_pun,0.860329666727099
11,a_rew,0.868240467766775
11,deviance,64.5277664866194
11,omega_f,2.26570019975174
11,omega_p,-0.826840344809685
11,theta,1
12,K,2.26718749719784
12,a_pun,0.154127755391514
12,a_rew,0.925580555359113
12,deviance,84.2410232678736
12,omega_f,3.35458148121679
12,omega_p,-0.108662863424753
12,theta,1
13,K,2.70278565275857
13,a_pun,0.70102950605213
13,a_rew,0.739775624160627
13,deviance,103.891282929949
13,omega_f,1.8441112742365
13,omega_p,0.247908333547953
13,theta,1
14,K,2.26023381936628
14,a_pun,0.104393396122137
14,a_rew,0.758360874412486
14,deviance,103.029293388001
14,omega_f,1.89885881075869
14,omega_p,2.64947793387528
14,theta,1
15,K,2.49050572398551
15,a_pun,0.857258298839095
15,a_rew,0.870840596192726
15,deviance,51.8901285935765
15,omega_f,2.28400554546528
15,omega_p,-1.21599816583484
15,theta,1
16,K,2.05000245141794
16,a_pun,0.157461771832411
16,a_rew,0.929770670910293
16,deviance,91.1120278140869
16,omega_f,4.93536118422331
16,omega_p,-2.89933826948255
16,theta,1
17,K,2.68231146168606
17,a_pun,0.780193154465675
17,a_rew,0.885012271390501
17,deviance,75.2570908713263
17,omega_f,1.93544682618916
17,omega_p,-0.304296145100287
17,theta,1
18,K,2.94239570607607
18,a_pun,0.868521096470326
18,a_rew,0.898802715215126
18,deviance,81.686553807876
18,omega_f,1.43157107909584
18,omega_p,0.734657579458508
18,theta,1
19,K,2.67886599472055
19,a_pun,0.0480167247528551
19,a_rew,0.166406546873852
19,deviance,109.555876013246
19,omega_f,4.24113543153905
19,omega_p,-0.519118008048724
19,theta,1
20,K,1.15628804382879
20,a_pun,0.0760056822483834
20,a_rew,0.282199080568678
20,deviance,67.0430869042595
20,omega_f,6.56781403335463
20,omega_p,-4.59558619981978
20,theta,1
21,K,1.35119556587921
21,a_pun,0.0567349372865061
21,a_rew,0.548191173987938
21,deviance,119.88329637325
21,omega_f,2.0719896941025
21,omega_p,3.31305950050539
21,theta,1
22,K,1.70554218733031
22,a_pun,0.120785360517914
22,a_rew,0.91825217359784
22,deviance,94.7657263608544
22,omega_f,2.9245292711497
22,omega_p,1.15835535092703
22,theta,1
23,K,2.46935967480213
23,a_pun,0.745136437092513
23,a_rew,0.829113273641082
23,deviance,98.140167654786
23,omega_f,1.62615772947225
23,omega_p,0.337183130797612
23,theta,1
24,K,2.62726694543411
24,a_pun,0.884398309397502
24,a_rew,0.899907298505288
24,deviance,83.9656940523344
24,omega_f,1.90713192230028
24,omega_p,-1.44380662814871
24,theta,1
25,K,1.69123840278948
25,a_pun,0.092779085383005
25,a_rew,0.258871183725119
25,deviance,91.0506951740511
25,omega_f,5.90214607875763
25,omega_p,-3.48228465068314
25,theta,1
26,K,1.73988992181617
26,a_pun,0.0842909259246334
26,a_rew,0.292862132828977
26,deviance,72.5785237725945
26,omega_f,5.56795996257852
26,omega_p,-3.36176690351303
26,theta,1
27,K,2.57947831677657
27,a_pun,0.764001049972668
27,a_rew,0.461253001955505
27,deviance,15.1276567601421
27,omega_f,3.4615160898086
27,omega_p,0.704085220036712
27,theta,1
28,K,2.68918768537914
28,a_pun,0.280275506590418
28,a_rew,0.868972264280855
28,deviance,60.9756305831932
28,omega_f,2.98468211213922
28,omega_p,0.906189151926504
28,theta,1
29,K,2.51311256122202
29,a_pun,0.650646740693873
29,a_rew,0.375561914724548
29,deviance,13.4752854913393
29,omega_f,3.69507984050251
29,omega_p,0.700593623835605
29,theta,1
30,K,2.55938544952956
30,a_pun,0.886766522023675
30,a_rew,0.890788053047729
30,deviance,113.168607103346
30,omega_f,1.20380219062362
30,omega_p,-0.613086653935389
30,theta,1
31,K,1.92105339650703
31,a_pun,0.15419813886154
31,a_rew,0.882907356955967
31,deviance,79.4207864934404
31,omega_f,5.73598555791767
31,omega_p,-3.85208060465938
31,theta,1
32,K,2.84743168299802
32,a_pun,0.0641092625450447
32,a_rew,0.216976648641608
32,deviance,98.0141882383896
32,omega_f,4.37591828260028
32,omega_p,-0.0977197575863503
32,theta,1
33,K,1.65876561849097
33,a_pun,0.073577498289132
33,a_rew,0.292696394337851
33,deviance,79.7352997483919
33,omega_f,5.33568519704643
33,omega_p,-3.221255547504
33,theta,1
34,K,2.57594753628486
34,a_pun,0.86453401834101
34,a_rew,0.904235064180385
34,deviance,70.3101538620893
34,omega_f,2.21791184985517
34,omega_p,-1.52037183603859
34,theta,1
35,K,2.02203340418121
35,a_pun,0.208385599252118
35,a_rew,0.950568345889409
35,deviance,91.7089704398066
35,omega_f,4.94214139585811
35,omega_p,-2.67229031294154
35,theta,1
36,K,2.57631239537606
36,a_pun,0.869225476349244
36,a_rew,0.899993660062081
36,deviance,68.8244619794769
36,omega_f,2.1601451100138
36,omega_p,-1.51567174785921
36,theta,1
37,K,2.75617154699992
37,a_pun,0.11338251461291
37,a_rew,0.369816093928453
37,deviance,151.268048828527
37,omega_f,2.24788224500877
37,omega_p,3.46984016453334
37,theta,1
38,K,2.95950320617419
38,a_pun,0.43349425327743
38,a_rew,0.892642532608525
38,deviance,93.1106520877034
38,omega_f,2.39080514408526
38,omega_p,-0.406617152114332
38,theta,1
39,K,0.235931487739956
39,a_pun,0.129489416867901
39,a_rew,0.902720205973075
39,deviance,102.989944197089
39,omega_f,1.7226202860799
39,omega_p,4.0294894687285
39,theta,1
40,K,2.82645753409769
40,a_pun,0.0496611645584267
40,a_rew,0.186246932782512
40,deviance,110.267911631788
40,omega_f,3.87847195919439
40,omega_p,-0.473008029932097
40,theta,1
41,K,2.62342795866433
41,a_pun,0.803378019503764
41,a_rew,0.610983768440814
41,deviance,16.2833314696885
41,omega_f,3.28200730525248
41,omega_p,0.668822685607226
41,theta,1
42,K,2.68019910552241
42,a_pun,0.854833381265438
42,a_rew,0.822467406249288
42,deviance,47.2333685375065
42,omega_f,2.33362629180457
42,omega_p,-0.514290156394988
42,theta,1
