subject,parameter,value
1,K,0.296524679004889
1,a_pun,0.0698418696687348
1,a_rew,0.305446762676222
1,deviance,87.9910317489141
1,omega_f,7.4974848149815
1,omega_p,-4.94259429621602
1,theta,1
2,K,2.61896220552146
2,a_pun,0.398646515544634
2,a_rew,0.632407271364278
2,deviance,83.5101703790098
2,omega_f,3.06582004283541
2,omega_p,-1.69594196163177
2,theta,1
3,K,1.54015417030967
3,a_pun,0.084027541649341
3,a_rew,0.32400763308361
3,deviance,87.5453827304783
3,omega_f,5.63346990194357
3,omega_p,-2.84033886771403
3,theta,1
4,K,1.34773971448982
4,a_pun,0.224717212938169
4,a_rew,0.952365705595779
4,deviance,84.8208404958738
4,omega_f,4.84338880038147
4,omega_p,-3.23595056258087
4,theta,1
5,K,0.788191684816445
5,a_pun,0.078801579259831
5,a_rew,0.668693665090169
5,deviance,133.497019124216
5,omega_f,1.53228376034897
5,omega_p,4.57647202832436
5,theta,1
6,K,2.98118582889738
6,a_pun,0.0637586283235084
6,a_rew,0.28902816578975
6,deviance,125.80642439467
6,omega_f,3.07201836751022
6,omega_p,2.10237633082498
6,theta,1
7,K,0.513533578412642
7,a_pun,0.226077104601477
7,a_rew,0.945598385692206
7,deviance,81.3046430838226
7,omega_f,5.24090771675548
7,omega_p,-3.83246940999441
7,theta,1
8,K,2.82890293922905
8,a_pun,0.738460163637944
8,a_rew,0.901100915736003
8,deviance,81.1481243528209
8,omega_f,2.02685699924724
8,omega_p,-1.2404907456428
8,theta,1
9,K,2.77853107472412
9,a_pun,0.827875973522583
9,a_rew,0.836775844918599
9,deviance,60.6930550943873
9,omega_f,1.72593704546664
9,omega_p,-0.741782987747314
9,theta,1
10,K,2.66750973451619
10,a_pun,0.485555256593868
10,a_rew,0.649879592310248
10,deviance,93.4644124401511
10,omega_f,2.056806243538
10,omega_p,0.889027772991651
10,theta,1
11,K,2.29907195680302
11,a_pun,0.270231034357436
11,a_rew,0.953184861712666
11,deviance,125.88308400521
11,omega_f,4.00739795020967
11,omega_p,-2.56547722373524
11,theta,1
12,K,2.13572136380644
12,a_pun,0.157971809327572
12,a_rew,0.937451728083088
12,deviance,129.581468980801
12,omega_f,3.78722063957159
12,omega_p,-0.959619534598969
12,theta,1
13,K,0.919668073133424
13,a_pun,0.166852159340693
13,a_rew,0.965366251097928
13,deviance,101.851519252407
13,omega_f,4.98392875493119
13,omega_p,-3.24942254766035
13,theta,1
14,K,0.1590857781669
14,a_pun,0.230720260507779
14,a_rew,0.950987127598071
14,deviance,99.5714801150879
14,omega_f,5.89704329372815
14,omega_p,-6.05469623951739
14,theta,1
15,K,0.120115389268453
15,a_pun,0.172169136295213
15,a_rew,0.97740406456624
15,deviance,97.8110388973233
15,omega_f,7.26292833545342
15,omega_p,-7.96437542080046
15,theta,1
16,K,2.24330594113076
16,a_pun,0.0587047037389691
16,a_rew,0.313342803451069
16,deviance,75.4275847515162
16,omega_f,4.88388901897742
16,omega_p,-2.383411173606
16,theta,1
17,K,0.953900676166686
17,a_pun,0.55948080568324
17,a_rew,0.932576832826139
17,deviance,94.5040736687485
17,omega_f,2.83216666872037
17,omega_p,-3.24692410557692
17,theta,1
18,K,1.65655686790203
18,a_pun,0.0750993236372265
18,a_rew,0.31648496607819
18,deviance,97.5421143691664
18,omega_f,5.33459636012229
18,omega_p,-2.06431238670721
18,theta,1
19,K,1.92487317455591
19,a_pun,0.0724359995169662
19,a_rew,0.272864573663337
19,deviance,78.6839429659815
19,omega_f,5.16725289720312
19,omega_p,-2.69693263573637
19,theta,1
20,K,0.414465212630858
20,a_pun,0.113826326525537
20,a_rew,0.894984448267198
20,deviance,160.908895298227
20,omega_f,4.54127129024015
20,omega_p,-3.72595123452227
20,theta,1
21,K,2.02219583041076
21,a_pun,0.161640998475645
21,a_rew,0.94536403750411
21,deviance,122.112461900736
21,omega_f,4.50663959532845
21,omega_p,-2.07234691169575
21,theta,1
22,K,3.0168661709133
22,a_pun,0.177576847320871
22,a_rew,0.896942155752813
22,deviance,94.724289663837
22,omega_f,3.58954425969642
22,omega_p,-0.781601612871991
22,theta,1
23,K,1.33519247252338
23,a_pun,0.0723106212309739
23,a_rew,0.237635880958589
23,deviance,97.8875677458208
23,omega_f,5.54153835071919
23,omega_p,-2.62158432648631
23,theta,1
24,K,2.29608165331156
24,a_pun,0.0810669801050708
24,a_rew,0.353332350210681
24,deviance,92.9112561615966
24,omega_f,4.6577238455006
24,omega_p,-1.53434576976584
24,theta,1
25,K,1.50989491360766
25,a_pun,0.0890350081169889
25,a_rew,0.871827976170604
25,deviance,214.267763248628
25,omega_f,1.87186242939085
25,omega_p,-0.281348717361243
25,theta,1
26,K,2.32183651071174
26,a_pun,0.265900505697151
26,a_rew,0.930463405456228
26,deviance,97.553916212849
26,omega_f,3.2407839437931
26,omega_p,-0.678720155487694
26,theta,1
27,K,2.30348198247647
27,a_pun,0.141486581069068
27,a_rew,0.85532480644955
27,deviance,103.562420704316
27,omega_f,3.78506959810158
27,omega_p,-1.07835583650142
27,theta,1
28,K,2.85438048880485
28,a_pun,0.109992727193327
28,a_rew,0.516909594015608
28,deviance,108.831391984429
28,omega_f,4.44486450357493
28,omega_p,-1.29579341932508
28,theta,1
29,K,3.17897646453611
29,a_pun,0.0920156605484114
29,a_rew,0.853843089740751
29,deviance,145.418035204554
29,omega_f,2.17257599169379
29,omega_p,1.48075437015477
29,theta,1
30,K,0.836245927280848
30,a_pun,0.0630045645130606
30,a_rew,0.206833539458888
30,deviance,85.2435301105202
30,omega_f,5.97557228733284
30,omega_p,-3.41945586359079
30,theta,1
31,K,1.8681428610623
31,a_pun,0.167960212229934
31,a_rew,0.950642296161006
31,deviance,93.0827124898732
31,omega_f,4.68974927139577
31,omega_p,-1.90165509354244
31,theta,1
32,K,1.43322715623567
32,a_pun,0.194213550612427
32,a_rew,0.946120831680829
32,deviance,68.0901181716418
32,omega_f,6.02749622920495
32,omega_p,-4.29086952852127
32,theta,1
33,K,2.12750881235166
33,a_pun,0.143023550848255
33,a_rew,0.944624342425397
33,deviance,144.932766899699
33,omega_f,3.51298745754101
33,omega_p,-1.4995582015605
33,theta,1
34,K,1.98697798793081
34,a_pun,0.257985497478735
34,a_rew,0.935808028851956
34,deviance,95.6056516580422
34,omega_f,3.44890545246235
34,omega_p,-1.30419313663989
34,theta,1
35,K,0.151357439643091
35,a_pun,0.134256518134587
35,a_rew,0.904622693646387
35,deviance,115.83775490173
35,omega_f,1.8467318890493
35,omega_p,3.94382464354255
35,theta,1
36,K,2.85305282904717
