subject,parameter,value
1,K,2.52057394653949
1,a_pun,0.0828402094531898
1,a_rew,0.560188328334935
1,deviance,255.318135458527
1,omega_f,1.67694434244036
1,omega_p,-2.03419588579276
1,theta,1
2,K,0.418413111881586
2,a_pun,0.0448289781569385
2,a_rew,0.406581772436091
2,deviance,261.618548644856
2,omega_f,-0.577343397308326
2,omega_p,-2.43281466309697
2,theta,1
3,K,2.63892294670038
3,a_pun,0.107341818384804
3,a_rew,0.307704036685425
3,deviance,231.196638607222
3,omega_f,0.373472925782119
3,omega_p,4.07422833503939
3,theta,1
4,K,3.54884332501673
4,a_pun,0.0805427497143864
4,a_rew,0.26448318094402
4,deviance,267.550604349158
4,omega_f,0.825918466354116
4,omega_p,1.66854172795871
4,theta,1
5,K,2.48490994719463
5,a_pun,0.0644377550873533
5,a_rew,0.423788351001166
5,deviance,265.828537419796
5,omega_f,-2.01306651690212
5,omega_p,-0.557792964321117
5,theta,1
6,K,1.49717646343803
6,a_pun,0.018434871643187
6,a_rew,0.296638102332357
6,deviance,232.305153272869
6,omega_f,1.37812858385498
6,omega_p,-5.35029943177598
6,theta,1
7,K,2.37512290151593
7,a_pun,0.0458539914343509
7,a_rew,0.388257454758745
7,deviance,258.470789876016
7,omega_f,0.40194684914123
7,omega_p,1.86194500716077
7,theta,1
8,K,1.78964624594075
8,a_pun,0.0200367318702034
8,a_rew,0.268957818906566
8,deviance,256.409941513293
8,omega_f,1.09588750394963
8,omega_p,-3.38854206579706
8,theta,1
9,K,1.23292446586596
9,a_pun,0.0197040824147112
9,a_rew,0.0894834146016393
9,deviance,190.463270676926
9,omega_f,6.52932892413464
9,omega_p,-7.4913915565503
9,theta,1
10,K,2.58773535087839
10,a_pun,0.0430698317500394
10,a_rew,0.140417465855282
10,deviance,276.393696453972
10,omega_f,0.57977542693744
10,omega_p,-0.180919174970942
10,theta,1
11,K,0.211579928043007
11,a_pun,0.035302480193444
11,a_rew,0.616432648857781
11,deviance,229.787174467594
11,omega_f,-1.98876396650255
11,omega_p,-3.81214365096649
11,theta,1
12,K,1.6127116349266
12,a_pun,0.0236615526680047
12,a_rew,0.173616684331513
12,deviance,250.017702938791
12,omega_f,2.59088150241305
12,omega_p,-2.75872285225846
12,theta,1
13,K,3.93649919149278
13,a_pun,0.0187681405105797
13,a_rew,0.248268448717612
13,deviance,243.476275748708
13,omega_f,0.488420100636079
13,omega_p,3.48724439076525
13,theta,1
14,K,1.84514023234063
14,a_pun,0.197139293524101
14,a_rew,0.329924247587842
14,deviance,184.943503173703
14,omega_f,0.780422745131418
14,omega_p,4.50043644078318
14,theta,1
15,K,0.69657548982546
15,a_pun,0.106149764880885
15,a_rew,0.0900631886026678
15,deviance,104.955117631005
15,omega_f,1.89631982264588
15,omega_p,4.20825415520463
15,theta,1
16,K,2.78953215733218
16,a_pun,0.0353300257608267
16,a_rew,0.785726603342533
16,deviance,208.023746328752
16,omega_f,0.954523571033996
16,omega_p,2.88839023700574
16,theta,1
17,K,2.88235886299575
17,a_pun,0.0377505839330666
17,a_rew,0.219263952391068
17,deviance,234.587453260491
17,omega_f,2.82645622706176
17,omega_p,-0.82687145183734
17,theta,1
18,K,1.39977892970765
18,a_pun,0.0234063167840085
18,a_rew,0.491796316098585
18,deviance,260.107375573421
18,omega_f,-0.111689199876341
18,omega_p,-1.72672360414716
18,theta,1
19,K,2.91436813174142
19,a_pun,0.0512978642750667
19,a_rew,0.0685457008524969
19,deviance,267.814235652626
19,omega_f,1.43706071205661
19,omega_p,0.741703459345645
19,theta,1
20,K,3.56286360452392
20,a_pun,0.135628738958117
20,a_rew,0.422252263681842
20,deviance,260.632674524028
20,omega_f,0.487727727984385
20,omega_p,2.18847336330731
20,theta,1
21,K,2.57986637658076
21,a_pun,0.0178193060742404
21,a_rew,0.237562452142057
21,deviance,221.845472696816
21,omega_f,2.10803229015741
21,omega_p,1.02367550478174
21,theta,1
22,K,0.965991314513171
22,a_pun,0.0359096102014195
22,a_rew,0.101732820395491
22,deviance,235.278970133396
22,omega_f,0.686081935242129
22,omega_p,-4.61249987141248
22,theta,1
23,K,3.53243216346422
23,a_pun,0.08401075617026
23,a_rew,0.620613498489711
23,deviance,255.617816506115
23,omega_f,-0.00936314060640612
23,omega_p,3.44311416005658
23,theta,1
24,K,0.568336969663635
24,a_pun,0.0364225316937937
24,a_rew,0.0679477711657147
24,deviance,222.455499639428
24,omega_f,4.18674760891544
24,omega_p,-4.87710776941418
24,theta,1
25,K,3.21492936487566
25,a_pun,0.0564714034892317
25,a_rew,0.09108318092684
25,deviance,265.098165027579
25,omega_f,1.4315026159733
25,omega_p,0.415053664406546
25,theta,1
26,K,1.74488066640128
26,a_pun,0.0342220121370615
26,a_rew,0.23065594854167
26,deviance,262.3668318203
26,omega_f,0.199260734843062
26,omega_p,-3.24224891033731
26,theta,1
27,K,2.43162157157367
27,a_pun,0.0198645928441337
27,a_rew,0.470379904970228
27,deviance,214.259487081007
27,omega_f,0.890115063837489
27,omega_p,2.54292546102885
27,theta,1
28,K,3.2104540762495
28,a_pun,0.0297710482464077
28,a_rew,0.766916514042703
28,deviance,245.638700468904
28,omega_f,0.718188635505924
28,omega_p,1.0397479271543
28,theta,1
29,K,2.54992829643647
29,a_pun,0.0229377495891525
29,a_rew,0.300770366139901
29,deviance,248.106059905547
29,omega_f,1.62622074653947
29,omega_p,-1.22864803354727
29,theta,1
30,K,2.24234624444863
30,a_pun,0.0682033067598126
30,a_rew,0.387087655221768
30,deviance,275.556627860209
30,omega_f,-0.323613138095251
30,omega_p,-0.898164247184254
30,theta,1
31,K,1.67867771026911
31,a_pun,0.120214977381447
31,a_rew,0.362015977300572
31,deviance,244.564501709167
31,omega_f,2.84308395081622
31,omega_p,-3.34066794812687
31,theta,1
32,K,3.64017244773849
32,a_pun,0.0269184943123159
32,a_rew,0.0614909138559097
32,deviance,260.176387445915
32,omega_f,0.330411280348619
32,omega_p,3.85091017639461
32,theta,1
33,K,3.02513725069053
33,a_pun,0.102396177592494
33,a_rew,0.560188108091298
33,deviance,243.150616661279
33,omega_f,1.15794628154837
33,omega_p,0.827902863413783
33,theta,1
34,K,3.25294346569479
34,a_pun,0.0688143770315
34,a_rew,0.691589433717127
34,deviance,245.846748130733
34,omega_f,1.2241780589273
34,omega_p,1.34883141721329
34,theta,1
35,K,0.47663417038545
