subject,parameter,value
1,K,3.62892323543099
1,a_pun,0.0162834547057262
1,a_rew,0.188178615469695
1,deviance,240.483873384515
1,omega_f,1.21189089299965
1,omega_p,3.92810473073364
1,theta,1
2,K,2.37780291444221
2,a_pun,0.0454025579854019
2,a_rew,0.874075632650094
2,deviance,228.347131262341
2,omega_f,0.892131611926715
2,omega_p,1.50943815743467
2,theta,1
3,K,3.01965202736143
3,a_pun,0.00943232712384064
3,a_rew,0.204433266584902
3,deviance,124.461802394
3,omega_f,4.5804388191812
3,omega_p,1.33804687714202
3,theta,1
4,K,2.46710040822604
4,a_pun,0.0320796150761272
4,a_rew,0.686643384161689
4,deviance,209.55535782485
4,omega_f,-1.8239243195035
4,omega_p,6.8367211954626
4,theta,1
5,K,3.37774918399344
5,a_pun,0.0939946567912789
5,a_rew,0.829813996917959
5,deviance,187.685713699801
5,omega_f,1.61033307036991
5,omega_p,2.21932192095876
5,theta,1
6,K,3.64636345576795
6,a_pun,0.0247232812974379
6,a_rew,0.501458817841375
6,deviance,254.278471405321
6,omega_f,-1.78739308353204
6,omega_p,3.78728726405333
6,theta,1
7,K,1.08827819780904
7,a_pun,0.00707688604688594
7,a_rew,0.182212946121112
7,deviance,166.476780671177
7,omega_f,7.29477357400752
7,omega_p,-3.36891139678429
7,theta,1
8,K,0.546361033037156
8,a_pun,0.301341357701133
8,a_rew,0.291703379777901
8,deviance,91.3314052802416
8,omega_f,-6.05061733243781
8,omega_p,5.7868873059383
8,theta,1
9,K,2.79191001816058
9,a_pun,0.00213556162625379
9,a_rew,0.386734356266956
9,deviance,202.325304506648
9,omega_f,-7.62045501161489
9,omega_p,7.965515026248
9,theta,1
10,K,0.13555265048245
10,a_pun,0.0334221428252614
10,a_rew,0.959970910835087
10,deviance,230.837670423595
10,omega_f,3.02242601731959
10,omega_p,-5.40169163322839
10,theta,1
11,K,0.477974805322594
11,a_pun,0.0613217870397899
11,a_rew,0.397958185933507
11,deviance,84.7257892786891
11,omega_f,-2.85442089515432
11,omega_p,5.53453069723802
11,theta,1
12,K,3.9720708657582
12,a_pun,0.068424002615324
12,a_rew,0.473736715193892
12,deviance,251.639738550216
12,omega_f,-0.160117170713413
12,omega_p,4.54635787933442
12,theta,1
13,K,4.04343678455417
13,a_pun,0.0203385725656093
13,a_rew,0.799077472471232
13,deviance,238.741048240175
13,omega_f,-1.50261801379992
13,omega_p,5.10817320985521
13,theta,1
14,K,0.28010055548216
14,a_pun,0.174329052951966
14,a_rew,0.951729687086176
14,deviance,186.896876672121
14,omega_f,4.03126852094882
14,omega_p,-4.38130579800887
14,theta,1
15,K,0.387643594362673
15,a_pun,0.090354345295029
15,a_rew,0.979666157461516
15,deviance,213.892477635325
15,omega_f,3.11979794260822
15,omega_p,-2.68246082411215
15,theta,1
16,K,2.76397689159893
16,a_pun,0.0110096818065596
16,a_rew,0.143935321457522
16,deviance,156.994770917233
16,omega_f,3.51433879857534
16,omega_p,-0.266598321793806
16,theta,1
17,K,3.74230977727931
17,a_pun,0.0358819742807148
17,a_rew,0.665743927228179
17,deviance,236.48032206528
17,omega_f,-0.150650223943656
17,omega_p,4.2279778178342
17,theta,1
18,K,0.539659207136353
18,a_pun,0.0444639187933479
18,a_rew,0.287920125837757
18,deviance,65.4686222817246
18,omega_f,1.31132636347122
18,omega_p,4.73226778373565
18,theta,1
19,K,2.8032104649344
19,a_pun,0.03833523013556
19,a_rew,0.565591577441359
19,deviance,202.909954007545
19,omega_f,-2.72790558938907
19,omega_p,7.30106370457865
19,theta,1
20,K,1.98551370333221
20,a_pun,0.11303840342974
20,a_rew,0.0359993083039752
20,deviance,75.2535096691269
20,omega_f,-8.95989652366521
20,omega_p,4.19136727603015
20,theta,1
21,K,1.51262113435722
21,a_pun,0.130829055959538
21,a_rew,0.928197440167788
21,deviance,182.213043782707
21,omega_f,3.13573700806377
21,omega_p,-1.25085709816966
21,theta,1
22,K,4.00786642832986
22,a_pun,0.0174651159280785
22,a_rew,0.165035287626664
22,deviance,247.642825053869
22,omega_f,0.632593733613385
22,omega_p,2.0503511666906
22,theta,1
23,K,0.131798695493231
23,a_pun,0.152201733874593
23,a_rew,0.976055513038272
23,deviance,108.41524506483
23,omega_f,6.73247752762022
23,omega_p,-6.41624844318615
23,theta,1
24,K,0.291628960964115
24,a_pun,0.187524256950523
24,a_rew,0.310073840613433
24,deviance,51.635723343615
24,omega_f,-3.681128925094
24,omega_p,6.45927279345021
24,theta,1
25,K,3.31290565115053
25,a_pun,0.0789322804341104
25,a_rew,0.82021322598936
25,deviance,235.139872527136
25,omega_f,0.579244957299429
25,omega_p,2.562972220046
25,theta,1
26,K,0.108285205956407
26,a_pun,0.0457019226855731
26,a_rew,0.471394161946029
26,deviance,240.176864390573
26,omega_f,1.64074474101764
26,omega_p,-4.73408587099149
26,theta,1
27,K,2.32450313341771
27,a_pun,0.0162530897363056
27,a_rew,0.415331848004397
27,deviance,86.367512924798
27,omega_f,3.48073054204168
27,omega_p,2.62354929236744
27,theta,1
28,K,0.0503757813671801
28,a_pun,0.0358532185619023
28,a_rew,0.739452192704762
28,deviance,181.048714051268
28,omega_f,-0.640524462558433
28,omega_p,5.46935385675871
28,theta,1
29,K,2.55246968578225
29,a_pun,0.0121264918869472
29,a_rew,0.115455561350168
29,deviance,164.610620624435
29,omega_f,3.61654673048797
29,omega_p,0.0826847245718223
29,theta,1
30,K,1.39627023102085
30,a_pun,0.00645785411848335
30,a_rew,0.191251116378334
30,deviance,131.085231445635
30,omega_f,3.69720582505752
30,omega_p,2.19822856851403
30,theta,1
31,K,2.91101057311424
31,a_pun,0.00304050133284149
31,a_rew,0.128808825500987
31,deviance,201.441945668878
31,omega_f,4.69568369088509
31,omega_p,-0.887143836821201
31,theta,1
32,K,1.63590473156391
32,a_pun,0.127745665555616
32,a_rew,0.118260969486787
32,deviance,67.064527814274
32,omega_f,0.163180085496359
32,omega_p,4.2612733317593
32,theta,1
33,K,1.07560732789481
33,a_pun,0.0184609955066261
33,a_rew,0.25770665328134
33,deviance,149.65247322905
33,omega_f,0.269588157962995
33,omega_p,3.7954272820415
33,theta,1
34,K,2.68585145609881
34,a_pun,0.0356271884749918
34,a_rew,0.675653848419839
34,deviance,201.771720779088
34,omega_f,-1.40547827454634
34,omega_p,6.60923001203069
34,theta,1
35,K,2.74441263635788
35,a_pun,0.0187164336287703
35,a_rew,0.516002592794388
35,deviance,212.053634029125
35,omega_f,-3.55056370785035
35,omega_p,7.00099404891222
35,theta,1
36,K,2.55068445622484
36,a_pun,0.0359372181102557
36,a_rew,0.363833336232099
36,deviance,207.791836147522
36,omega_f,-3.51282169274281
36,omega_p,7.25532070251328
36,theta,1
37,K,2.67680656318586
37,a_pun,0.0243514300289687
37,a_rew,0.263823849416803
37,deviance,201.449484592279
37,omega_f,0.830465915026973
37,omega_p,5.23298171564145
37,theta,1
38,K,0.08491098665598
38,a_pun,0.0640474452043865
38,a_rew,0.589801688475176
38,deviance,173.539536323529
38,omega_f,-0.968653404250609
38,omega_p,4.90584030900182
38,theta,1
39,K,1.30802788160382
39,a_pun,0.0905785237606378
39,a_rew,0.408050989422675
39,deviance,92.2975910553865
39,omega_f,-1.73364980635161
39,omega_p,5.49067883491837
39,theta,1
40,K,2.7195829378357
40,a_pun,0.0561584365191175
40,a_rew,0.91189089845783
40,deviance,245.405631934958
40,omega_f,1.64028141010093
40,omega_p,-0.211174090290201
40,theta,1
41,K,0.719352754575896
41,a_pun,0.14383247623891
41,a_rew,0.966836291111665
41,deviance,154.131005188986
41,omega_f,4.41476343519174
41,omega_p,-2.76399113391537
41,theta,1
42,K,0.253296199959181
42,a_pun,0.110603029815548
42,a_rew,0.425009732671967
42,deviance,59.3543066413721
42,omega_f,-2.27484516127191
42,omega_p,6.49276592023123
42,theta,1
