subject,parameter,value
1,K,2.57662972611751
1,a_pun,0.727081408631649
1,a_rew,0.46172970391701
1,deviance,15.1329717677742
1,omega_f,3.47218388976989
1,omega_p,0.65651956468204
1,theta,1
2,K,3.63618009061781
2,a_pun,0.0939835718562804
2,a_rew,0.432196773618398
2,deviance,235.897610048277
2,omega_f,-0.865078841067261
2,omega_p,6.07601072318728
2,theta,1
3,K,0.148807152353019
3,a_pun,0.388160173303728
3,a_rew,0.974681414688364
3,deviance,225.301568753716
3,omega_f,3.40525759335048
3,omega_p,-9.15863217824041
3,theta,1
4,K,3.0970190723934
4,a_pun,0.116605688132052
4,a_rew,0.883622655062203
4,deviance,158.865914178361
4,omega_f,2.09499387767372
4,omega_p,2.20392100908863
4,theta,1
5,K,2.99399679622704
5,a_pun,0.439701180411877
5,a_rew,0.946591382265003
5,deviance,151.056204180181
5,omega_f,2.05556462885454
5,omega_p,1.23705623064489
5,theta,1
6,K,3.45834699589699
6,a_pun,0.0646437456518918
6,a_rew,0.593355986644474
6,deviance,211.306608055192
6,omega_f,1.10007843277277
6,omega_p,3.49071594740016
6,theta,1
7,K,2.68856077707751
7,a_pun,0.219741277508759
7,a_rew,0.938499881187016
7,deviance,138.517885159396
7,omega_f,2.66941351648481
7,omega_p,0.211627551797356
7,theta,1
8,K,2.79197872583393
8,a_pun,0.213373143716965
8,a_rew,0.230335704234142
8,deviance,128.056091575007
8,omega_f,3.56441472623073
8,omega_p,0.304429459768782
8,theta,1
9,K,2.64886396859117
9,a_pun,0.260203810552211
9,a_rew,0.931260543720194
9,deviance,154.649948784811
9,omega_f,2.98686192627433
9,omega_p,-0.753211315654783
9,theta,1
10,K,0.212655394462636
10,a_pun,0.171051623591305
10,a_rew,0.966494762905137
10,deviance,106.957667804848
10,omega_f,6.16119238743793
10,omega_p,-5.15127026349895
10,theta,1
11,K,0.116040530685429
11,a_pun,0.196044236400042
11,a_rew,0.962583110556811
11,deviance,94.7483379149592
11,omega_f,6.16232875658538
11,omega_p,-6.7002139032699
11,theta,1
12,K,2.36263810311668
12,a_pun,0.0829705023497607
12,a_rew,0.286151487608034
12,deviance,113.262049388631
12,omega_f,4.26917166351405
12,omega_p,-0.394139368496605
12,theta,1
13,K,3.27107857756995
13,a_pun,0.0726444197819213
13,a_rew,0.207893670480096
13,deviance,204.696543379638
13,omega_f,1.49290713080916
13,omega_p,4.93291351046381
13,theta,1
14,K,0.343386545697585
14,a_pun,0.0712791532222196
14,a_rew,0.97309550215636
14,deviance,195.737320431426
14,omega_f,3.85952013088569
14,omega_p,-3.63034952521621
14,theta,1
15,K,3.2014509545274
15,a_pun,0.0452534265589802
15,a_rew,0.339553654598371
15,deviance,174.829078020964
15,omega_f,1.91736680940069
15,omega_p,3.98362505547261
15,theta,1
16,K,0.228610439722076
16,a_pun,0.176371779523427
16,a_rew,0.969609008331204
16,deviance,126.246441928984
16,omega_f,5.59372342267681
16,omega_p,-4.15535902312862
16,theta,1
17,K,0.621121443690918
17,a_pun,0.200937233761753
17,a_rew,0.900818942533124
17,deviance,191.014374543817
