subject,parameter,value
1,K,3.22246029486174
1,a_pun,0.037610111281368
1,a_rew,0.581129267414009
1,deviance,333.206866122411
1,omega_f,2.33782054737713
1,omega_p,-2.22174056387493
1,theta,1
2,K,1.22324228965917
2,a_pun,0.0881426068365055
2,a_rew,0.420095565774767
2,deviance,60.9825863637193
2,omega_f,2.88474110864644
2,omega_p,3.32930694826213
2,theta,1
3,K,3.20789153247647
3,a_pun,0.0154869867879084
3,a_rew,0.18992058878705
3,deviance,340.109616404001
3,omega_f,1.76097031221516
3,omega_p,1.11584618373024
3,theta,1
4,K,2.16601888274825
4,a_pun,0.0138980242891409
4,a_rew,0.361612935075883
4,deviance,123.009758187333
4,omega_f,5.23508902584733
4,omega_p,-2.0086315265786
4,theta,1
5,K,0.484664349640311
5,a_pun,0.142418987004208
5,a_rew,0.838428544951949
5,deviance,199.213038483579
5,omega_f,1.42908992433948
5,omega_p,3.57502431112411
5,theta,1
6,K,1.75832394944821
6,a_pun,0.0335647510359009
6,a_rew,0.314671004586777
6,deviance,326.383171693951
6,omega_f,3.53072868212356
6,omega_p,-3.01663635420074
6,theta,1
7,K,2.01465432126866
7,a_pun,0.0973662829834259
7,a_rew,0.259395628715539
7,deviance,147.836711925335
7,omega_f,1.11511692572414
7,omega_p,7.03709676502158
7,theta,1
8,K,2.80631645346977
8,a_pun,0.154363367357865
8,a_rew,0.572345993570356
8,deviance,311.098320839818
8,omega_f,1.82011697300796
8,omega_p,0.259023527934387
8,theta,1
9,K,2.8467240068755
9,a_pun,0.100512268433155
9,a_rew,0.470845423128933
9,deviance,258.305910470986
9,omega_f,1.7775671565366
9,omega_p,3.65904640118863
9,theta,1
10,K,3.21931031962971
10,a_pun,0.0914647585221176
10,a_rew,0.769297777328699
10,deviance,191.421070620932
10,omega_f,2.69341847510188
10,omega_p,1.87067252026537
10,theta,1
11,K,0.045295966626807
11,a_pun,0.0349822015133792
11,a_rew,0.32237976934464
11,deviance,197.469973143614
11,omega_f,1.01969117647223
11,omega_p,4.9142278990368
11,theta,1
12,K,0.518575896723255
12,a_pun,0.130918498905187
12,a_rew,0.663511622827664
12,deviance,288.844969527077
12,omega_f,0.996466083261125
12,omega_p,3.69835285186997
12,theta,1
13,K,1.90935108301073
13,a_pun,0.0441874386961094
13,a_rew,0.170323055241881
13,deviance,110.475486317089
13,omega_f,2.53573295936571
13,omega_p,3.81684307052688
13,theta,1
14,K,0.106708498676427
14,a_pun,0.0196147495957203
14,a_rew,0.531621876797979
14,deviance,187.09498082817
14,omega_f,-1.59837256384005
14,omega_p,5.58134131204383
14,theta,1
15,K,2.87762455896965
15,a_pun,0.107634276276204
15,a_rew,0.702580036382295
15,deviance,244.754246046758
15,omega_f,3.15164692297843
