subject,parameter,value
1,K,2.49150445229638
1,a_pun,0.139679659246083
1,a_rew,0.599218149657945
1,deviance,71.7989913289127
1,omega_f,5.12392562912297
1,omega_p,-1.28783306382854
1,theta,1
2,K,1.69110180494683
2,a_pun,0.0811205009793579
2,a_rew,0.202433034267561
2,deviance,99.536516777786
2,omega_f,5.22985953849751
2,omega_p,-1.70320629521195
2,theta,1
3,K,2.75036151502077
3,a_pun,0.291646137589567
3,a_rew,0.570831091249474
3,deviance,132.533834959174
3,omega_f,4.16254134033811
3,omega_p,-3.48243719461049
3,theta,1
4,K,1.12634475493988
4,a_pun,0.172743175268895
4,a_rew,0.386206376729002
4,deviance,91.6434718359874
4,omega_f,5.93945713200575
4,omega_p,-3.75987843283763
4,theta,1
5,K,0.61395817697435
5,a_pun,0.218944630992615
5,a_rew,0.946853487780776
5,deviance,115.863217669227
5,omega_f,2.99436796900368
5,omega_p,2.83456221383459
5,theta,1
6,K,0.0272195554874694
6,a_pun,0.931222633470852
6,a_rew,0.907563878156524
6,deviance,119.395962637868
6,omega_f,0.780193193166802
6,omega_p,6.62884281420192
6,theta,1
7,K,1.77662993132792
7,a_pun,0.162230641650807
7,a_rew,0.874670170544198
7,deviance,93.0117486349384
7,omega_f,5.18728190459219
7,omega_p,-1.45531434562811
7,theta,1
8,K,0.909209517257135
8,a_pun,0.210044045430061
8,a_rew,0.327486286397868
8,deviance,60.4781886093785
8,omega_f,7.38748889856663
8,omega_p,-4.96790368196873
8,theta,1
9,K,2.87599004506018
9,a_pun,0.291077844784835
9,a_rew,0.644516945670168
9,deviance,109.924354931135
9,omega_f,4.09288014744589
9,omega_p,-3.07823217984623
9,theta,1
10,K,1.25900639279437
10,a_pun,0.134108026064867
10,a_rew,0.380592200806857
10,deviance,66.5900845363972
10,omega_f,7.15965438657214
10,omega_p,-4.46433034251243
10,theta,1
11,K,2.71508353009059
11,a_pun,0.0697461967517703
11,a_rew,0.169323009545868
11,deviance,54.795018248702
11,omega_f,4.73903734615166
11,omega_p,1.16488993931471
11,theta,1
12,K,1.95265268609273
12,a_pun,0.145894823411819
12,a_rew,0.927814493328693
12,deviance,98.1812426396319
12,omega_f,4.74661523084111
12,omega_p,-0.901466867001868
12,theta,1
13,K,2.05985990530128
13,a_pun,0.101740262907659
13,a_rew,0.294855198318924
13,deviance,92.4806381305902
13,omega_f,5.34376882677295
13,omega_p,-2.76589728574816
13,theta,1
14,K,0.0357339914446719
14,a_pun,0.902332344949636
14,a_rew,0.827794701962193
14,deviance,110.101864237144
14,omega_f,1.14124785432467
14,omega_p,6.26225328858047
14,theta,1
15,K,1.47013769771016
15,a_pun,0.176321312591342
15,a_rew,0.956366081730312
15,deviance,119.821310504707
15,omega_f,5.71597705140076
15,omega_p,-4.27257564848053
15,theta,1
16,K,2.29580194816678
16,a_pun,0.0120995775623516
16,a_rew,0.111286816093986
16,deviance,207.239989231237
16,omega_f,7.63540098804725
16,omega_p,-1.94468789583353
16,theta,1
17,K,2.13455492218919
17,a_pun,0.196381396828502
17,a_rew,0.278527747677786
17,deviance,43.8005866079022
17,omega_f,6.59875813532939
17,omega_p,-3.42439338139167
17,theta,1
18,K,2.59899945790976
18,a_pun,0.225124521057721
18,a_rew,0.414687016882277
18,deviance,65.7786765343984
18,omega_f,3.75923279220478
18,omega_p,1.96385440710154
18,theta,1
19,K,2.1899195487171
19,a_pun,0.155508447116142
19,a_rew,0.926208590258545
19,deviance,116.455183184442
19,omega_f,4.99769378197508
19,omega_p,-2.55265711237253
19,theta,1
20,K,1.5201046311579
20,a_pun,0.26827591045418
20,a_rew,0.369361030737791
20,deviance,81.7376055977914
20,omega_f,6.7696781011386
20,omega_p,-4.00974724084259
20,theta,1
21,K,2.42559720631808
21,a_pun,0.155240639409164
21,a_rew,0.877932023236075
21,deviance,79.8879539037332
21,omega_f,5.01025043270379
21,omega_p,-1.00393362405203
21,theta,1
22,K,2.09704558343132
22,a_pun,0.233243225973913
22,a_rew,0.356280992266813
22,deviance,72.6045954810986
22,omega_f,5.7875333371064
22,omega_p,-3.58204707446106
22,theta,1
23,K,2.08822053803489
23,a_pun,0.15889093417162
23,a_rew,0.940570570223945
23,deviance,78.4810376347137
23,omega_f,5.58147313985795
23,omega_p,-2.29396665898477
23,theta,1
24,K,0.615139184259944
24,a_pun,0.195157241419437
24,a_rew,0.932042581818461
24,deviance,113.381639478313
24,omega_f,4.03992170009051
24,omega_p,1.32115857223168
24,theta,1
25,K,2.53476745199667
25,a_pun,0.0970183331293161
25,a_rew,0.268190110935672
25,deviance,82.4664236960224
25,omega_f,4.99733559915698
25,omega_p,-1.68172672016204
25,theta,1
26,K,2.37086848365275
26,a_pun,0.0766605345819088
26,a_rew,0.258441029664761
26,deviance,89.8834967909775
26,omega_f,4.91709092492525
26,omega_p,-1.6625581611693
26,theta,1
27,K,2.84428170425453
27,a_pun,0.222422425549819
27,a_rew,0.960516218219716
27,deviance,144.031220027392
27,omega_f,3.17183420913274
27,omega_p,1.21132756386779
27,theta,1
28,K,1.38225267073379
28,a_pun,0.158726772234165
28,a_rew,0.4392034853132
28,deviance,94.9154889890629
28,omega_f,4.24363641686868
28,omega_p,1.25427719285822
28,theta,1
29,K,0.521093616060784
29,a_pun,0.207781648237694
29,a_rew,0.95329932545267
29,deviance,155.490325921141
29,omega_f,5.52934937772353
29,omega_p,-4.53681618035557
29,theta,1
30,K,1.37632537434197
30,a_pun,0.0901482556036502
30,a_rew,0.264972780326251
30,deviance,102.316148931875
30,omega_f,5.98095548520461
30,omega_p,-3.3920230337223
30,theta,1
31,K,2.4570615099087
31,a_pun,0.139979719791688
31,a_rew,0.903600916490447
31,deviance,103.511655975256
31,omega_f,4.1710746729945
31,omega_p,-0.418602449045902
31,theta,1
32,K,2.14575561463677
32,a_pun,0.171515027708271
32,a_rew,0.943354998642284
32,deviance,96.547277652991
32,omega_f,5.20858003512292
32,omega_p,-2.82680025541884
32,theta,1
33,K,1.20614634290338
33,a_pun,0.190443694583158
33,a_rew,0.908314067576612
33,deviance,110.490779899786
33,omega_f,7.17547087811217
33,omega_p,-5.66936765615253
33,theta,1
34,K,1.92725669739033
34,a_pun,0.107976402009181
34,a_rew,0.303206686028122
34,deviance,92.1662743198457
34,omega_f,5.3983556172242
34,omega_p,-2.87332328730588
34,theta,1
35,K,0.273245027688649
