subject,parameter,value
1,K,0.753027137194423
1,a_pun,0.0853691196159815
1,a_rew,0.681795227652974
1,deviance,131.055657364856
1,omega_f,-0.455806323781384
1,omega_p,4.26933168010707
1,theta,1
2,K,3.10687246037963
2,a_pun,0.0892876298964593
2,a_rew,0.823538057642761
2,deviance,258.280709869072
2,omega_f,0.92799528656494
2,omega_p,5.42291811706205
2,theta,1
3,K,1.43761451215689
3,a_pun,0.0492514416614458
3,a_rew,0.364940600374591
3,deviance,106.873405860591
3,omega_f,1.87293360568416
3,omega_p,4.72854321111095
3,theta,1
4,K,1.03385884930963
4,a_pun,0.138476511695511
4,a_rew,0.946658173676385
4,deviance,200.467274447206
4,omega_f,4.14949370555586
4,omega_p,-2.33783989038205
4,theta,1
5,K,1.29065346080175
5,a_pun,0.0378727116337964
5,a_rew,0.20405139810386
5,deviance,181.696060643034
5,omega_f,4.85974278873256
5,omega_p,-3.12522219272873
5,theta,1
6,K,2.67539791221623
6,a_pun,0.153215046011681
6,a_rew,0.889665001161362
6,deviance,201.015462171206
6,omega_f,0.89670684736472
6,omega_p,6.05205262801316
6,theta,1
7,K,1.14066498510728
7,a_pun,0.0878274666076468
7,a_rew,0.511476544758337
7,deviance,263.832860100491
7,omega_f,3.63475419479279
7,omega_p,-1.43983018179998
7,theta,1
8,K,3.00210169492973
8,a_pun,0.114557775198597
8,a_rew,0.955342386677541
8,deviance,235.556925793644
8,omega_f,2.38347099263445
8,omega_p,1.99044642098531
8,theta,1
9,K,1.02336508857719
9,a_pun,0.183895368274007
9,a_rew,0.959174784733771
9,deviance,130.063423232488
9,omega_f,7.06215213303253
9,omega_p,-5.62315546585618
9,theta,1
10,K,1.52948405206169
10,a_pun,0.0101279633297939
10,a_rew,0.601253254079964
10,deviance,210.003429115547
10,omega_f,-3.10490741837162
10,omega_p,8.63556088151802
10,theta,1
11,K,1.58823209667098
11,a_pun,0.0355555508901444
11,a_rew,0.0829571464152511
11,deviance,163.186897119675
11,omega_f,4.43440378612067
11,omega_p,-1.29494580767419
11,theta,1
12,K,2.70133280847266
12,a_pun,0.0201560491020115
12,a_rew,0.114961709371732
12,deviance,87.7355492182848
12,omega_f,5.09139507099002
12,omega_p,-1.47867057346862
12,theta,1
13,K,2.60190210605721
13,a_pun,0.0307638387969083
13,a_rew,0.138435922993912
13,deviance,110.26043036369
13,omega_f,4.83111502928607
13,omega_p,-1.46729864124225
13,theta,1
14,K,0.938557313179723
14,a_pun,0.167970334547058
14,a_rew,0.903586485367232
14,deviance,115.137412957096
14,omega_f,6.5932525069015
14,omega_p,-4.78765638957113
14,theta,1
15,K,3.12935091792658
