subject,parameter,value
1,K,0.199084225480536
1,a_pun,0.0979920609944455
1,a_rew,0.227410053253471
1,deviance,100.572898660077
1,omega_f,6.40377255938256
1,omega_p,-4.82322302623207
1,theta,1
2,K,0.0272054097644823
2,a_pun,0.684851208315591
2,a_rew,0.845814770296719
2,deviance,167.358219034191
2,omega_f,1.41799984275891
2,omega_p,6.9009621053388
2,theta,1
3,K,0.410175816515994
3,a_pun,0.164157007254867
3,a_rew,0.880396248148174
3,deviance,155.914752337565
3,omega_f,6.7004469287084
3,omega_p,-4.28737308624402
3,theta,1
4,K,0.169305439614597
4,a_pun,0.00534644292013534
4,a_rew,0.162077900523617
4,deviance,208.088953897865
4,omega_f,9.40060044186251
4,omega_p,-4.82367756668314
4,theta,1
5,K,0.24430962806706
5,a_pun,0.185052738838056
5,a_rew,0.97605308030341
5,deviance,114.183930793283
5,omega_f,7.21903482970225
5,omega_p,-5.68732098017597
5,theta,1
6,K,2.80121034274619
6,a_pun,0.0849774791448613
6,a_rew,0.821917350943793
6,deviance,136.797670696374
6,omega_f,3.47908957565824
6,omega_p,1.03137255752916
6,theta,1
7,K,1.61918029235443
7,a_pun,0.156411422442062
7,a_rew,0.80522665511667
7,deviance,144.497641053509
7,omega_f,5.28806357925167
7,omega_p,-4.14113515262066
7,theta,1
8,K,2.83979387755828
8,a_pun,0.0658606888426959
8,a_rew,0.330348333488302
8,deviance,120.056719151387
8,omega_f,3.73890966013974
8,omega_p,0.339087619117056
8,theta,1
9,K,2.06495852831201
9,a_pun,0.0697313981784999
9,a_rew,0.25792163799488
9,deviance,181.771159705537
9,omega_f,3.99652528642879
9,omega_p,-0.67427792430897
9,theta,1
10,K,2.89247074376523
10,a_pun,0.123491771628245
10,a_rew,0.809529987585967
10,deviance,125.239457849579
10,omega_f,4.17001135368882
10,omega_p,-0.251025469657939
10,theta,1
11,K,2.48610982462515
11,a_pun,0.0499378662715263
11,a_rew,0.192481917180529
11,deviance,36.5260928929578
11,omega_f,5.09593234733416
11,omega_p,1.26577640618278
11,theta,1
12,K,0.146575267072331
12,a_pun,0.203588737151826
12,a_rew,0.974021876642165
12,deviance,113.971233759119
12,omega_f,6.06520418746225
12,omega_p,-5.56033742454121
12,theta,1
13,K,2.22085836042333
13,a_pun,0.138365889149794
13,a_rew,0.422284861143309
13,deviance,138.727484236452
13,omega_f,5.53289227065601
13,omega_p,-3.33271195215699
13,theta,1
14,K,2.62167139769009
14,a_pun,0.131801876159668
14,a_rew,0.75676286210537
14,deviance,181.455477374203
14,omega_f,4.20533514382751
14,omega_p,-2.3469109338311
14,theta,1
15,K,1.11621199919265
15,a_pun,0.103480613185691
15,a_rew,0.316260652396408
15,deviance,87.4583143360275
15,omega_f,6.65211400494288
15,omega_p,-4.47581161689865
15,theta,1
16,K,1.65588203177875
16,a_pun,0.162246823942241
16,a_rew,0.934818782502124
16,deviance,107.847184151749
16,omega_f,3.90653940330752
16,omega_p,0.231603898495523
16,theta,1
17,K,0.782644802054124
17,a_pun,0.180097993921345
17,a_rew,0.958877515720614
17,deviance,133.736467043186
17,omega_f,7.1699744251205
17,omega_p,-5.77476162928598
17,theta,1
18,K,0.0405615710605513
18,a_pun,0.5424677930412
18,a_rew,0.935958720470123
18,deviance,151.421097787684
18,omega_f,0.919198594410212
18,omega_p,5.23679298157733
18,theta,1
19,K,2.01055679925495
19,a_pun,0.173217239784304
19,a_rew,0.948447612099108
19,deviance,103.622078020173
19,omega_f,5.05607610520792
19,omega_p,-2.6683797406182
19,theta,1
20,K,2.40167737763768
20,a_pun,0.0610271603651236
20,a_rew,0.331330989242514
20,deviance,28.9012647158987
20,omega_f,4.89326317695961
20,omega_p,1.50375999431332
20,theta,1
21,K,1.18898792937766
21,a_pun,0.117839418387686
21,a_rew,0.314614376109321
21,deviance,119.868128135745
21,omega_f,6.45447726996943
21,omega_p,-4.21630434622714
21,theta,1
22,K,2.54287188034759
22,a_pun,0.0489543863513789
22,a_rew,0.172645274091795
22,deviance,36.9167071733756
22,omega_f,5.22079412109087
22,omega_p,1.03435661540571
22,theta,1
23,K,2.4998498094482
23,a_pun,0.0558187419730638
23,a_rew,0.356675450190583
23,deviance,174.654606534036
23,omega_f,2.73314371889408
23,omega_p,2.23555901376539
23,theta,1
24,K,0.51803520363773
24,a_pun,0.16764004626236
24,a_rew,0.966786477004033
24,deviance,219.646388498998
24,omega_f,4.2917987529098
24,omega_p,-3.00436297401563
24,theta,1
25,K,2.59707022645547
25,a_pun,0.17265997650268
25,a_rew,0.726812152439795
25,deviance,141.205138019131
25,omega_f,3.95891549348434
25,omega_p,-0.466041939901437
25,theta,1
26,K,0.792637744309594
26,a_pun,0.155151582677224
26,a_rew,0.969693405627236
26,deviance,157.731102467619
26,omega_f,4.45806812819439
26,omega_p,-2.16051534682705
26,theta,1
27,K,0.036655951041449
27,a_pun,0.95495592872693
27,a_rew,0.532892988078175
27,deviance,66.9095721005256
27,omega_f,2.62294458246742
27,omega_p,7.29872847461508
27,theta,1
28,K,2.37272518271661
28,a_pun,0.1365361392481
28,a_rew,0.960591760556316
28,deviance,117.724974287896
28,omega_f,3.33342222259409
28,omega_p,1.2172564979813
28,theta,1
29,K,1.88361444926139
29,a_pun,0.097669117771837
29,a_rew,0.606023555511295
29,deviance,169.675134313396
29,omega_f,4.58019623579021
29,omega_p,-1.55825472002602
29,theta,1
30,K,1.71368547852377
30,a_pun,0.0679266673938449
30,a_rew,0.330177352374547
30,deviance,83.8484307363854
30,omega_f,5.80416622616751
30,omega_p,-2.9032102392972
30,theta,1
31,K,2.50049589614519
31,a_pun,0.0462393079414713
31,a_rew,0.183769675184909
31,deviance,38.2522466773421
31,omega_f,4.98161040917967
31,omega_p,1.34350031225575
31,theta,1
32,K,3.18605288181309
32,a_pun,0.00509888902970198
32,a_rew,0.141542741780633
32,deviance,254.107907834899
32,omega_f,3.49440445425835
32,omega_p,2.18593605305872
32,theta,1
33,K,1.07320133656934
33,a_pun,0.173816267025103
33,a_rew,0.972146721213402
33,deviance,137.54164229771
33,omega_f,5.36733731831082
33,omega_p,-2.87270076891415
33,theta,1
34,K,2.64866711865666
34,a_pun,0.184608550680609
34,a_rew,0.197684763468185
34,deviance,71.1157271573355
34,omega_f,5.11878032010038
34,omega_p,-0.94012571407872
34,theta,1
35,K,2.71450528529923
35,a_pun,0.0544562077794886
35,a_rew,0.232692154957156
35,deviance,47.7722845702223
35,omega_f,4.94434905060866
35,omega_p,0.533340284602655
35,theta,1
36,K,1.91488846121964
36,a_pun,0.119755039658129
36,a_rew,0.689097657334421
36,deviance,190.845946200952
36,omega_f,5.08767231240595
36,omega_p,-3.16682214582508
36,theta,1
37,K,1.43688908024266
37,a_pun,0.194581384184162
37,a_rew,0.890217343239256
37,deviance,128.414687908615
37,omega_f,4.37390748460768
37,omega_p,-0.538332115254207
37,theta,1
38,K,3.05696288212104
38,a_pun,0.247357105561858
38,a_rew,0.907225179302011
38,deviance,151.569953991556
38,omega_f,3.83878234583164
38,omega_p,-1.79550123032787
38,theta,1
39,K,2.12363211428921
39,a_pun,0.118186811823207
39,a_rew,0.94967518620375
39,deviance,235.148731281076
39,omega_f,4.82686787225078
39,omega_p,-4.63300942366129
39,theta,1
40,K,1.18970348656528
40,a_pun,0.196067436475986
40,a_rew,0.947020301867458
40,deviance,116.241332505103
40,omega_f,6.07674251903873
40,omega_p,-3.94117261235953
40,theta,1
41,K,1.94798672491928
41,a_pun,0.0468393070128618
41,a_rew,0.17228997298965
41,deviance,152.151100250413
41,omega_f,4.24189755146954
41,omega_p,-1.34752691567164
41,theta,1
42,K,1.77892384762086
42,a_pun,0.178180911130856
42,a_rew,0.948155227126913
42,deviance,138.529975845885
42,omega_f,5.27854224529554
42,omega_p,-3.89664347512674
42,theta,1
