index,parameter,value
1,K,1.89970714648079
2,K,1.79513858256783
3,K,2.2604334675193
4,K,2.04918500125771
5,K,2.02030688522462
6,K,2.25263212122892
7,K,1.96461396108072
8,K,2.0823452516375
9,K,2.17897124168555
10,K,2.17062436720671
11,K,1.84406254297051
12,K,2.38085244727421
13,K,2.19452797165217
14,K,2.22169571229442
15,K,2.18016451740709
16,K,2.70544154871388
17,K,2.35517677487178
18,K,1.96883385806828
19,K,2.3497430861352
20,K,1.87826085501851
21,K,2.13914758470166
22,K,2.21334516270997
23,K,2.0329991773043
24,K,2.22840272877697
25,K,2.19372422133607
26,K,1.75500650401454
27,K,2.38207738033117
28,K,2.41097854015147
29,K,2.04619506058199
30,K,2.29728591035957
31,K,2.53835243266943
32,K,2.00474501232584
33,K,2.25800426115328
34,K,2.16104253488412
35,K,1.97293401292566
36,K,2.48737187454222
37,K,1.83691768610412
38,K,2.06521015427915
39,K,1.98303560058337
40,K,2.17794135336772
41,K,2.39663760623131
42,K,2.41276173651273
43,K,1.97153209329961
44,K,2.26751982568088
45,K,2.41524649663436
46,K,2.32410111214236
47,K,2.05765292070528
48,K,1.88872323020407
49,K,1.97976178498038
50,K,1.6984564082981
51,K,2.27176037826596
52,K,1.9864289723933
53,K,2.0376652520807
54,K,1.92826358720669
55,K,2.56502752514602
56,K,2.04946783310514
57,K,2.2493400044086
58,K,2.00577710057941
59,K,1.98055968674145
60,K,2.44209045315232
61,K,2.33947621435902
62,K,2.52013658176899
63,K,2.34567503351201
64,K,2.09897802707651
65,K,1.85539702169684
66,K,2.38271488580364
67,K,2.07241106835562
68,K,2.09673916200275
69,K,2.58082572692777
70,K,2.36853564833248
71,K,2.77253571499077
72,K,1.98789958868106
73,K,2.26706353716655
74,K,1.75618402523777
75,K,2.35543371547706
76,K,2.01180678821948
77,K,2.45306046958214
78,K,2.6087035435916
79,K,2.20820652588611
80,K,2.16295910265239
81,K,2.54032403710264
82,K,1.89262222154369
83,K,2.05473660583809
84,K,1.8350447149085
85,K,2.24284926153614
86,K,1.99539010677069
87,K,2.302570975476
88,K,2.18612021694712
89,K,2.51499677967085
90,K,1.97433884587233
91,K,2.41021523396018
92,K,2.07403365348595
93,K,2.1462025983977
94,K,2.10621362131434
95,K,2.39562643469932
96,K,2.81366268121255
97,K,1.87006051226185
98,K,1.81128923737503
99,K,2.00379104220932
100,K,2.03741203111694
101,K,2.07706181296057
102,K,2.04858441260388
103,K,2.05097822849905
104,K,2.59066245653229
105,K,2.22087936802191
106,K,2.46001174708183
107,K,2.08346561652013
108,K,1.68421696765884
109,K,1.93073889197277
110,K,2.19524839099922
111,K,2.03361758120267
112,K,2.03085058459603
113,K,2.03490149575774
114,K,2.26174122251265
115,K,2.22247584236408
116,K,2.3381563093425
117,K,2.11928354001121
118,K,2.03453797525248
119,K,2.34670259422067
120,K,2.15397857989901
121,K,2.193975046166
122,K,2.15123574915607
123,K,2.32701663278902
124,K,2.28375205660364
125,K,2.17715565900092
126,K,1.9777013101302
127,K,2.10438676941788
128,K,2.25674610980301
129,K,1.93563581585493
130,K,2.10355405075727
131,K,2.28305641823543
132,K,2.32667694258956
133,K,2.14510720920749
134,K,2.08920863978585
135,K,2.12517030326047
136,K,2.01751187157561
137,K,2.32732722245161
138,K,2.16798044854249
139,K,2.38153466238493
140,K,2.19889642129557
141,K,2.16237421297108
142,K,2.09760525392978
143,K,2.1565608103297
144,K,1.80885375500189
145,K,2.30375265244175
146,K,2.2966976899625
147,K,2.30543785232435
148,K,2.0090293893074
149,K,2.41963325466242
150,K,2.14209566030362
151,K,1.96529260884927
152,K,2.05758229016266
153,K,2.00468859833374
154,K,1.98534172594064
155,K,2.15697258934052
156,K,2.24919980219003
157,K,2.08032471876738
158,K,2.25493596590334
159,K,2.14614365760583
160,K,2.48580436085609
161,K,2.60052252191716
162,K,2.11896746193711
163,K,2.23667127766792
164,K,2.00435348217823
165,K,2.07680377120521
166,K,1.95985620364157
167,K,2.15011979416327
168,K,2.71956131082112
169,K,2.75000691228119
170,K,2.60649184536854
171,K,1.76411234205545
172,K,2.61025015972286
173,K,1.80248893494369
174,K,2.16114829455362
175,K,2.32641657357545
176,K,2.23254072486709
177,K,2.3699380402169
178,K,2.09458991294125
179,K,1.94856471422543
180,K,2.71639097693089
181,K,2.18828417102135
182,K,1.96889378813929
183,K,2.33082241574675
184,K,1.98763845449522
185,K,1.99369021978964
186,K,2.22745311155639
187,K,2.14421057468696
188,K,2.29677579814121
189,K,2.57539410289432
190,K,2.04241262125988
191,K,1.96995777787738
192,K,2.19931760853236
193,K,1.99197116166792
194,K,2.34617965222307
195,K,2.08584958916386
196,K,1.79210230572172
197,K,2.15557940577529
198,K,2.85236676807877
199,K,1.81116655658281
200,K,2.13215263393611
201,K,2.1176974645786
202,K,2.54745995075383
203,K,1.95719741052873
204,K,2.41779750867356
205,K,1.79743104891163
206,K,2.21873620566046
207,K,2.07503596837917
208,K,2.56614262096719
209,K,2.44665621861138
210,K,2.04578091674004
211,K,1.79968581127099
212,K,1.98219461920434
213,K,2.27917092113986
214,K,1.71711263670703
215,K,2.18648871075468
216,K,2.52405678635687
217,K,2.2135519100032
218,K,2.33442733524141
219,K,1.89574579321762
220,K,2.10367569744597
221,K,2.0456873678678
222,K,2.10804740752157
223,K,2.10745332194188
224,K,2.42426461004423
225,K,2.06823653153629
226,K,2.04973247163517
227,K,1.97625047993321
228,K,1.87760292469873
229,K,2.3539639633403
230,K,2.0572894195556
231,K,1.77328434186328
232,K,2.57435508255936
233,K,2.1131924333838
234,K,2.31126070389968
235,K,1.80741802121558
236,K,2.04496039209649
237,K,2.30412907648148
238,K,2.46257143046681
239,K,2.04250017368839
240,K,2.42095469955872
241,K,1.90970795695767
242,K,2.41378839569555
243,K,2.14899756607393
244,K,1.9820026896022
245,K,2.12705693029272
246,K,2.33456603241685
247,K,1.847305131356
248,K,2.21978157902081
249,K,2.14939043861328
250,K,2.16552158698369
251,K,2.26378850018024
252,K,1.98914924540644
253,K,2.51492382122759
254,K,2.0004199397862
255,K,1.98297528536975
256,K,2.51015497576332
257,K,2.41482720868455
258,K,1.9333287130327
259,K,2.43745461734622
260,K,2.09054402844068
261,K,1.92811402082515
262,K,2.12045920494533
263,K,2.03691002372392
264,K,2.17418973232132
265,K,2.02948809856776
