index,parameter,value
1,K,2.2868070118224
2,K,2.30370911615384
3,K,2.21024670032705
4,K,1.57953893574645
5,K,1.71398078270126
6,K,2.14708675539772
7,K,1.83988549832217
8,K,1.80069036536798
9,K,1.75937090996742
10,K,2.03403202805958
11,K,1.90314770937407
12,K,2.00933419807165
13,K,1.95287294381779
14,K,1.68031131117589
15,K,1.6262757073046
16,K,1.52527412951962
17,K,2.43991570154153
18,K,2.23939825148882
19,K,1.93842064286934
20,K,2.05533325008527
21,K,2.04069827831013
22,K,2.27880302076604
23,K,1.84313804580135
24,K,1.6389811536107
25,K,1.69607602516148
26,K,2.00180782469726
27,K,2.12593419445263
28,K,2.0286364390711
29,K,1.92543988546135
30,K,1.93979986086861
31,K,2.35108956436046
32,K,2.04668915106563
33,K,2.20167088904832
34,K,1.78062248506532
35,K,2.06167376144696
36,K,1.8452878204738
37,K,2.05505635896853
38,K,2.27223636615147
39,K,2.03306088893882
40,K,2.07896067512263
41,K,2.27570405980311
42,K,1.90662532265631
43,K,2.11551951827041
44,K,1.52114705775884
45,K,1.71377282051722
46,K,2.05996386314412
47,K,2.03544719765604
48,K,1.45265858925249
49,K,2.18203763228717
50,K,1.87091425897851
51,K,1.98246014334282
52,K,1.34979185481694
53,K,2.037990411447
54,K,2.18864837595544
55,K,1.86695437469895
56,K,1.81581269819391
57,K,1.93984868492753
58,K,2.3838131687305
59,K,1.81369245122076
60,K,2.05130627392027
61,K,1.76445015470683
62,K,1.62879145764693
63,K,1.89861919261309
64,K,1.94619347919951
65,K,2.15478266165756
66,K,2.02944363893882
67,K,2.15277559133809
68,K,1.97975098883199
69,K,2.24195264938096
70,K,1.96465038797654
71,K,1.82383646635391
72,K,1.85837314037404
73,K,2.14403470495938
74,K,1.85389476171231
75,K,1.85857839918358
76,K,1.88246586269891
77,K,1.80804815956143
78,K,1.83011364209132
79,K,1.6156220365366
80,K,1.96449459589724
81,K,2.15483376407975
82,K,2.27244367029006
83,K,2.17132624359687
84,K,2.05467340856951
85,K,2.50057360449452
86,K,1.90119325881394
87,K,1.65113246954359
88,K,1.981769025066
89,K,1.98267170228489
90,K,2.01738046771197
91,K,2.46252938909181
92,K,1.75113647144114
93,K,2.04554766405639
94,K,2.27540453270559
95,K,2.3358110431869
96,K,1.87666461590151
97,K,1.24576335274642
98,K,1.93184955853897
99,K,2.01977970128982
100,K,2.11851112189138
101,K,2.02263584640182
102,K,2.26526773729098
103,K,2.03953259909128
104,K,1.76923435531222
105,K,2.25532633744083
106,K,1.60937005899729
107,K,1.74848274646537
108,K,2.03404374711702
109,K,2.20058956419141
110,K,1.78327522579821
111,K,1.62819067446453
112,K,2.12235631250531
113,K,1.65225063720435
114,K,2.00739103424765
115,K,1.85269464139908
116,K,2.33812856841407
117,K,2.32500492899406
118,K,2.06124997415918
119,K,1.78150558328034
120,K,2.03375926981703
121,K,1.89831052053602
