index,parameter,value
1,K,1.34258955569282
2,K,1.46029665480079
3,K,1.21202188780219
4,K,1.46489841995415
5,K,1.66589210109762
6,K,1.975937876286
7,K,1.59669173290561
8,K,1.56587900510301
9,K,1.85899680924827
10,K,1.59885084330517
11,K,1.50218221878256
12,K,1.62339363021391
13,K,1.43955369935028
14,K,1.95006099432326
15,K,1.73111141977222
16,K,1.72487128299473
17,K,1.4051678147377
18,K,1.45737461324387
19,K,1.42480050837516
20,K,1.7551181804297
21,K,1.97642518462554
22,K,1.82453867739076
23,K,1.83940786616616
24,K,1.37178380490414
25,K,1.47306633784187
26,K,1.6316740005045
27,K,1.64125258562412
28,K,1.67440611221978
29,K,1.61905779014049
30,K,1.88772165294542
31,K,1.87323712286914
32,K,1.5174731936392
33,K,1.85307348738374
34,K,1.6301212077357
35,K,1.66109404772029
36,K,1.48275923151305
37,K,1.57708584462137
38,K,1.63133816293254
39,K,1.98956875770346
40,K,1.85863061521359
41,K,1.50777979821348
42,K,1.88412062339528
43,K,1.9005430867224
44,K,1.72384155698726
45,K,1.55210732167086
46,K,1.95674531349638
47,K,1.58742819934778
48,K,1.59611845645503
49,K,2.17771703839771
50,K,1.29075104234975
51,K,1.62099697202355
52,K,1.82681869378984
53,K,1.36680965664527
54,K,2.00119264349068
55,K,1.89624299101034
56,K,1.65574610534835
57,K,1.54023648572867
58,K,1.6506412191144
59,K,1.64450032446331
60,K,1.35670283946031
61,K,1.62569530563407
62,K,1.48291326226562
63,K,1.84484663741552
64,K,1.69108805725776
65,K,1.70490183349236
66,K,1.80171876665287
67,K,1.45159607463382
68,K,1.32725109206461
69,K,1.86552380220316
70,K,1.80466277724515
71,K,1.88378767567564
72,K,1.86971185290169
73,K,1.49004670578147
74,K,2.08032718162177
75,K,1.78077418803407
76,K,1.47040066623162
77,K,1.52585428307925
78,K,1.52176444195447
79,K,1.71666203089161
80,K,1.87124376911011
81,K,1.88975745769929
82,K,1.92968417637206
83,K,1.57304914722358
84,K,1.5951740977926
85,K,1.88052762450026
86,K,1.47014384401352
87,K,1.77409813509336
88,K,2.04152315464268
89,K,1.58850713076481
90,K,1.90529579456321
91,K,1.69058514983761
92,K,1.70727066477749
93,K,1.7833784526768
94,K,2.15797350794574
95,K,1.72928952912934
96,K,2.07345476297859
97,K,1.74864381753152
98,K,1.71414622252173
99,K,1.81486514452991
100,K,1.70175631746132
101,K,1.91784917699415
102,K,1.43121692026463
103,K,1.44411864209437
104,K,1.56416968711259
105,K,1.54777345341061
106,K,1.30233983342806
107,K,2.04185326259924
108,K,1.54950987083764
109,K,1.42765060820021
110,K,1.85601868592401
111,K,1.2583355577598
112,K,1.5539263873699
113,K,1.83523171588468
114,K,1.563254351396
115,K,1.30530505887918
116,K,1.62501633901617
117,K,1.77592678108626
118,K,1.69728172933261
119,K,2.03116764734936
120,K,1.60538362379701
121,K,1.47646329750228
122,K,1.60384605314465
123,K,1.47614409441138
124,K,1.15874879424149
125,K,1.39613930162171
126,K,1.15702649337555
127,K,1.47629778561284
128,K,1.75806578043359
129,K,1.60204917400625
130,K,1.61598062143085
131,K,1.77255116805018
132,K,1.58307473528466
133,K,1.66846502306096
134,K,1.33091803792857
135,K,1.48337822090982
136,K,1.42776641121601
137,K,1.71844909538193
138,K,2.00168519220211
139,K,1.57400042700536
140,K,1.75210629248068
141,K,1.8902013158351
142,K,1.6839739461065
143,K,2.04517143070096
