index,parameter,value
1,K,1.80081988540859
2,K,1.29820403719876
3,K,1.94020871361022
4,K,1.59037941752172
5,K,1.60775187632687
6,K,1.35071710046092
7,K,1.89785473528391
8,K,1.50397299146705
9,K,2.01181875443341
10,K,1.89267939866017
11,K,1.69962303601338
12,K,1.69045772082072
13,K,2.24791923110383
14,K,1.84526979007987
15,K,1.93177780566519
16,K,1.39310989559099
17,K,1.83382895821453
18,K,1.704216357143
19,K,1.83194966188884
20,K,1.73996638228516
21,K,1.7970620123492
22,K,1.68927400656255
23,K,2.08316311344393
24,K,2.03748495858796
25,K,1.62558735732971
26,K,2.04102217926978
27,K,1.7144966872244
28,K,1.8039697086853
29,K,1.83500972771885
30,K,1.59191467834184
31,K,2.27377471796372
32,K,1.61827992345201
33,K,2.00358048139519
34,K,1.82166513283582
35,K,1.38693108714807
36,K,1.5599789104808
37,K,1.65244427697994
38,K,1.42117161447616
39,K,1.85921357626035
40,K,1.82732541382887
41,K,2.07066670760966
42,K,1.42777131402525
43,K,1.94434172142067
44,K,1.93421263367095
45,K,2.01656359802468
46,K,1.32436494956577
47,K,1.87152782421248
48,K,1.45656169115385
49,K,1.6602085386132
50,K,1.94666966366515
51,K,1.91424451120489
52,K,1.6959690714132
53,K,2.10605241894999
54,K,1.94171756486332
55,K,1.73409711941178
56,K,1.70386200248572
57,K,2.19039764851232
58,K,2.21564352284495
59,K,1.90729706948438
60,K,1.65218477585423
61,K,2.04629822293226
62,K,2.094158763935
63,K,1.56178989584436
64,K,1.49378400660907
65,K,1.56644638201068
66,K,1.97659957453485
67,K,1.54200838799446
68,K,1.68435129981485
69,K,1.3752555019781
70,K,1.52816262923318
71,K,1.34975076122621
72,K,1.57009505928115
73,K,1.80061543965736
74,K,1.72832015850226
75,K,1.69640683325476
76,K,1.52849993539374
77,K,1.72239359153108
78,K,1.7823948344566
79,K,1.5940003302679
80,K,1.93373161975387
81,K,1.49096535180584
82,K,2.11937175312005
83,K,1.71908518649181
84,K,1.95166987969295
85,K,1.70682163931678
86,K,1.80899105690397
87,K,1.80695630167461
88,K,2.01855588685282
89,K,1.88596605035917
90,K,1.50896039505487
91,K,2.16275217639263
92,K,1.37500419888343
93,K,1.5155410096081
94,K,1.58986881422154
95,K,1.61722610419922
96,K,1.78029071307493
97,K,1.96949702700276
98,K,1.47798243060099
99,K,1.48247443738729
100,K,1.4381595306233
101,K,1.39539987899562
102,K,1.12349158354794
103,K,1.58044997344741
104,K,1.43376550141114
105,K,1.95837125598001
106,K,1.37953664767457
107,K,1.84506445457531
108,K,1.51370722079001
109,K,1.74265170156498
110,K,1.71932698572696
111,K,1.72452090194913
112,K,1.75565657835274
113,K,2.1182008360639
114,K,1.99692409839016
115,K,1.41006939661377
116,K,1.35389011855955
117,K,1.40591382654789
118,K,1.53628534022439
119,K,1.40959405480063
120,K,1.79485351243911
121,K,1.49367171085149
122,K,1.71888487076454
123,K,1.39784194172486
124,K,1.7121740876459
125,K,1.62854012750262
126,K,1.94801479636155
127,K,1.66806837651154
128,K,2.09606112485581
