index,parameter,value
1,K,1.817944242167
2,K,1.32943265572611
3,K,2.03676985455423
4,K,1.82161186856507
5,K,1.48035723291025
6,K,1.96383385065591
7,K,1.60466779670447
8,K,1.64086632340121
9,K,1.56354976859643
10,K,1.78936879953286
11,K,1.74595901594289
12,K,1.97138857467879
13,K,1.99494746592548
14,K,1.85775817610603
15,K,1.93340526428434
16,K,1.77055380229768
17,K,2.17651147787718
18,K,1.79446635111569
19,K,2.28663811784822
20,K,1.39192547150608
21,K,1.80675876102545
22,K,1.61419054543055
23,K,1.74287410111507
24,K,1.89761504084787
25,K,1.92410442957761
26,K,2.22888767988886
27,K,1.49064402223887
28,K,1.89766483685421
29,K,2.22503133845355
30,K,1.8908718361175
31,K,2.11138645166404
32,K,1.67465117178716
33,K,1.59548234757094
34,K,2.04198156304175
35,K,1.85947265288962
36,K,2.09089304974428
37,K,1.66807969678437
38,K,1.57343385987609
39,K,1.1048284658613
40,K,1.73951073524823
41,K,1.66647806184988
42,K,1.74034314200593
43,K,1.58214315283301
44,K,1.48326727631048
45,K,1.46157326211408
46,K,1.79720454288588
47,K,1.65795763858931
48,K,2.26598361238237
49,K,1.7555492435014
50,K,1.64207678426594
51,K,1.79683865259749
52,K,2.23186116597736
53,K,1.55804105100821
54,K,1.71869998399722
55,K,1.2766161047433
56,K,1.40607186208937
57,K,1.60894471850816
58,K,1.49597184298994
59,K,1.7421820762239
60,K,1.70180666386042
61,K,1.6893705023678
62,K,1.76005608409538
63,K,1.79952685573273
64,K,1.87596931074986
65,K,1.64342509062388
66,K,1.98487359095391
67,K,1.79840151583974
68,K,1.48931095677577
69,K,1.71721791366051
70,K,1.54487493998146
71,K,1.69934493353968
72,K,1.71803091578313
73,K,1.26419578367357
74,K,1.65436097648402
75,K,1.6541878447987
76,K,1.57036384906086
77,K,1.61724022187222
78,K,2.08767310519708
79,K,2.01781313995141
80,K,1.73332134412503
81,K,2.02631013316373
82,K,2.09129564133675
83,K,1.760147774015
84,K,1.58230407348653
85,K,1.29444422344979
86,K,2.02360658895488
87,K,1.7479433242854
88,K,1.66520256425131
89,K,2.09708983775656
90,K,1.32191900630159
91,K,1.79043393007851
92,K,2.34121774605859
93,K,1.76125463893955
94,K,1.90031795497352
95,K,1.69056483612212
96,K,1.70555335846
97,K,1.98508335836411
98,K,1.90113694674117
99,K,1.80897559478652
100,K,1.49389401020256
101,K,1.9212410457786
102,K,1.61190343699963
103,K,1.96883617211096
104,K,1.74535036946663
105,K,1.52376351189531
106,K,1.7683353774943
107,K,1.68280666195213
108,K,2.21810866424992
109,K,1.9073741643496
110,K,1.81349908620923
111,K,1.8104908087779
112,K,1.77484426462421
113,K,1.89861808169895
114,K,1.74815366784512
115,K,1.84584475867205
116,K,1.88530107594509
117,K,1.93458262445267
118,K,1.96830299050795
119,K,2.09081582111606
120,K,1.51335230281979
121,K,1.74775378682231
122,K,2.20168951434483
123,K,1.51220736104758
124,K,1.87253607330936
125,K,1.43320163325971
126,K,2.07311084427771
127,K,1.67284085973326
128,K,1.79961107531447
129,K,1.72875297181653
130,K,1.36585773328724
131,K,1.79166088663394
132,K,1.91682166378091
133,K,2.04496362285948
134,K,1.54260866684931
135,K,1.88779254119086
136,K,1.45515800859903
137,K,1.7047008641217
138,K,1.97433092278225
139,K,1.69084590643042
140,K,2.2021386274729
141,K,1.58469057046281
142,K,1.70766402822157
143,K,1.33332384522788
144,K,1.67663721197815
145,K,1.72816302021868
146,K,1.98549755117713
147,K,1.75537613234591
148,K,1.57100991764866
149,K,1.77303230801208
150,K,2.16716524774887
151,K,1.63116477509885
152,K,1.95699706562343
153,K,1.50569371031901
154,K,2.18215512408958
155,K,1.92991608834833
156,K,1.72037569410073
157,K,1.9231130399307
158,K,1.78955717658391
159,K,1.80989839333614
160,K,1.85465934860559
161,K,1.59167921133139
162,K,1.81033608935367
163,K,1.89754550855616
164,K,1.52626461579698
165,K,1.53907869624502
166,K,1.86721210701005
167,K,1.98648136569409
168,K,2.01520031067418
169,K,1.51157619061549
170,K,1.83611436115512
171,K,1.93004068333757
172,K,2.01775451038121
173,K,1.86450261566015
174,K,2.16185420227514
175,K,1.8418852960432
176,K,1.62047900335651
177,K,2.00328823134842
178,K,1.45462825749907
179,K,1.6477473657201
180,K,1.81304613029132
181,K,1.91489708988619
182,K,1.91228623859868
183,K,1.7221362184371
184,K,1.18243813378364
185,K,1.48269426203112
186,K,1.92295330076896
187,K,1.93120051526995
188,K,1.45826957234853
189,K,1.44898236234344
190,K,2.05720011979453
191,K,1.60150024014584
192,K,1.51048374172579
193,K,1.84040218620915
194,K,1.90402673372821
195,K,1.58481433661372
196,K,1.6825776879962
197,K,1.71888301055507
198,K,1.96119989642175
199,K,1.84405692628949
200,K,1.93609723043155
201,K,1.44096531167241
202,K,1.88038734724472
203,K,1.76229583961511
204,K,1.52085861647727
205,K,1.98814346864382
206,K,1.55654192601459
207,K,1.5227644664629
208,K,1.56040972593592
209,K,1.8076716828178
210,K,1.5645802096208
211,K,1.6311357920922
212,K,1.84861837718074
213,K,2.09794618893747
214,K,1.65726824396942
215,K,2.00174066703087
216,K,1.76528636326951
217,K,1.71579846094747
218,K,1.51434290257943
219,K,1.85732324656107
220,K,1.29087607202539
221,K,1.65891845179643
222,K,1.55583791366257
223,K,1.93603169683935
224,K,1.71048907185469
225,K,1.79464990856585
226,K,1.52748999180113
227,K,1.6109939270497
228,K,2.31328882996128
229,K,1.989787428558
230,K,1.90803295598999
231,K,1.81140876123289
232,K,1.58589233721079
233,K,1.87542234451818
234,K,1.93683421009184
235,K,2.17480111585032
236,K,1.95663999796389
237,K,2.08722564221259
238,K,1.75331669825699
239,K,1.80812372776211
240,K,1.85882619163744
241,K,1.84573858581912
242,K,1.65581194762562
243,K,1.94793432115528
244,K,1.71766323289658
245,K,1.66865512828857
246,K,1.54047882659287
247,K,2.02323617091117
248,K,1.59593177083337
249,K,1.90061275484024
250,K,1.81464534303105
251,K,2.02076336004158
252,K,1.62403774814406
253,K,1.23634735822482
254,K,2.36667499777143
255,K,1.88815299866982
256,K,1.53379841464777
257,K,1.82074387672977
258,K,1.60564383459243
259,K,2.0906414381195
260,K,1.93437303452624
261,K,1.8670626441865
262,K,1.82621722813767
263,K,2.21922002885807
264,K,2.28349325205985
265,K,1.76235271617048
266,K,1.63917959927777
267,K,1.76195820355073
268,K,1.44517321255641
269,K,1.33885618312575
270,K,1.77544506190611
271,K,2.12145691511762
272,K,2.11310591802311
273,K,1.72583683099582
274,K,2.08001982940143
275,K,1.8763473121066
276,K,1.7364504158664
277,K,1.38304053008212
278,K,1.41104827983175
