trial,deck,gain,loss,net,agentN,trial_type
1,A,100,-250.0,-150.0,Agent_1,control-low
2,B,100,-1250.0,-1150.0,Agent_1,control-low
3,C,50,0.0,50.0,Agent_1,control-low
4,D,50,0.0,50.0,Agent_1,control-low
5,C,50,-50.0,0.0,Agent_1,control-low
6,A,100,-250.0,-150.0,Agent_1,control-low
7,D,50,0.0,50.0,Agent_1,control-low
8,C,50,-50.0,0.0,Agent_1,control-low
9,D,50,0.0,50.0,Agent_1,control-low
10,C,50,0.0,50.0,Agent_1,control-low
1,A,100,-250.0,-150.0,Agent_2,control-low
2,B,100,-1250.0,-1150.0,Agent_2,control-low
3,C,50,0.0,50.0,Agent_2,control-low
4,D,50,0.0,50.0,Agent_2,control-low
5,C,50,-50.0,0.0,Agent_2,control-low
6,A,100,-250.0,-150.0,Agent_2,control-low
7,D,50,0.0,50.0,Agent_2,control-low
8,C,50,-50.0,0.0,Agent_2,control-low
9,D,50,0.0,50.0,Agent_2,control-low
10,C,50,0.0,50.0,Agent_2,control-low
