index,parameter,value
1,K,2.14791829032177
2,K,2.31521138772231
3,K,2.43508884224306
4,K,2.91243645646304
5,K,1.96817391267275
6,K,2.20633906263254
7,K,1.83184203162252
8,K,2.27735317035073
9,K,2.4480766820551
10,K,2.9611459173671
11,K,2.45192310265633
12,K,2.0666880235369
13,K,2.25261886834045
14,K,2.23399890361646
15,K,1.81210949187672
16,K,2.14484955263893
17,K,1.90998094825643
18,K,2.58080506902381
19,K,2.24544431050837
20,K,2.35256837023324
21,K,2.64418506467991
22,K,2.07943677843111
23,K,2.05827577810157
24,K,2.36760251707065
25,K,2.27207504112915
26,K,2.41700326057531
27,K,2.12802750317205
28,K,1.90852172722091
29,K,2.31462380536708
30,K,2.34776867717495
31,K,2.35752697207245
32,K,2.53768431930073
33,K,2.29796568316869
34,K,2.45277212413657
35,K,1.8974662644032
36,K,2.23881173170573
37,K,2.24179268645986
38,K,2.15800817642827
39,K,2.10230237578948
40,K,2.16108537502259
41,K,2.64530680398868
42,K,2.53909674178537
43,K,2.48386573128103
44,K,2.29713739627136
45,K,2.74104162954231
46,K,2.03952641227459
47,K,2.52232805022635
48,K,2.80788368550789
49,K,2.33838702053076
50,K,2.97474671701056
51,K,2.80107862234958
52,K,2.06688996057864
53,K,2.39602261757086
54,K,2.34169552290592
55,K,2.3721378127119
56,K,2.44363157263865
57,K,2.66380406505683
58,K,2.22432104949982
59,K,2.62822249948276
60,K,2.43797728415301
61,K,1.98948058113531
62,K,2.47264746873755
63,K,1.91628434232533
64,K,2.55755559550645
65,K,1.92301656440752
66,K,2.00151726384547
67,K,2.3957157437576
68,K,2.36387583472495
69,K,1.98124228670624
70,K,2.78178898307499
71,K,2.21524725803312
72,K,2.39024711766432
73,K,2.46672258656688
74,K,2.31694677581484
75,K,2.37661956374159
76,K,2.02242215355649
77,K,2.28669504196119
78,K,2.69957691361058
79,K,1.98155378042418
80,K,2.75009263217562
81,K,2.40416326254853
82,K,2.18708839912371
83,K,1.69150494022013
84,K,2.24553088307666
85,K,2.08368230427018
86,K,2.26690973085138
87,K,2.8372335175996
88,K,2.4442767030479
89,K,2.36909207493846
90,K,1.96341210036399
91,K,2.5137000857634
92,K,2.08031832348589
93,K,2.15558929006292
94,K,2.52702619519057
95,K,2.29469980435886
96,K,2.75899102658493
97,K,2.28664557146369
98,K,2.39589618262111
99,K,2.11472279414307
100,K,2.22525639136854
101,K,1.9357979366693
102,K,2.71756275727375
103,K,2.18369642327106
104,K,2.22131407718908
105,K,2.3285401937383
106,K,2.3398492595998
107,K,2.3366822012829
108,K,2.16727412801183
109,K,2.37604436590375
110,K,2.1376600716344
111,K,2.80453045110698
112,K,2.13496809379308
113,K,2.25194053503217
114,K,2.13387805646013
115,K,2.58762115201873
116,K,2.18443236672285
117,K,2.33637478480676
118,K,2.72567828252087
119,K,2.02325773833783
120,K,2.0611185323888
121,K,2.07293765807291
122,K,2.77659357143616
123,K,2.69343868419883
124,K,2.33071071553036
125,K,2.17252437196765
126,K,2.3219139296266
127,K,2.37148201433334
